Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,1,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,1,0,NULL,NULL,NULL
2020-03-04,2,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,1,0,NULL,NULL,NULL
2020-03-09,2,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,2,1,NULL,NULL,NULL
2020-03-12,1,1,NULL,NULL,NULL
2020-03-13,0,1,NULL,NULL,NULL
2020-03-14,2,1,NULL,NULL,NULL
2020-03-15,0,1,NULL,NULL,NULL
2020-03-16,2,1,NULL,NULL,NULL
2020-03-17,2,1,NULL,NULL,NULL
2020-03-18,4,1,NULL,NULL,NULL
2020-03-19,1,1,NULL,NULL,NULL
2020-03-20,3,2,NULL,NULL,NULL
2020-03-21,1,2,NULL,NULL,NULL
2020-03-22,4,2,NULL,NULL,NULL
2020-03-23,6,3,NULL,NULL,NULL
2020-03-24,2,3,NULL,NULL,NULL
2020-03-25,32,7,NULL,NULL,NULL
2020-03-26,3,7,NULL,NULL,NULL
2020-03-27,11,8,NULL,NULL,NULL
2020-03-28,16,11,NULL,NULL,NULL
2020-03-29,10,12,NULL,NULL,NULL
2020-03-30,28,15,NULL,NULL,NULL
2020-03-31,29,18,NULL,NULL,NULL
2020-04-01,22,17,NULL,NULL,NULL
2020-04-02,42,22,NULL,NULL,NULL
2020-04-03,35,26,NULL,NULL,NULL
2020-04-04,24,27,NULL,NULL,NULL
2020-04-05,37,31,NULL,NULL,NULL
2020-04-06,30,31,NULL,NULL,NULL
2020-04-07,56,35,NULL,NULL,NULL
2020-04-08,20,35,NULL,NULL,NULL
2020-04-09,39,34,NULL,NULL,NULL
2020-04-10,47,36,NULL,NULL,NULL
2020-04-11,23,36,NULL,NULL,NULL
2020-04-12,51,38,NULL,NULL,NULL
2020-04-13,58,42,NULL,NULL,NULL
2020-04-14,49,41,NULL,NULL,NULL
2020-04-15,70,48,NULL,NULL,NULL
2020-04-16,55,50,NULL,NULL,NULL
2020-04-17,65,53,NULL,NULL,NULL
2020-04-18,26,53,NULL,NULL,NULL
2020-04-19,63,55,NULL,NULL,NULL
2020-04-20,29,51,NULL,NULL,NULL
2020-04-21,65,53,NULL,NULL,NULL
2020-04-22,84,55,NULL,NULL,NULL
2020-04-23,59,56,NULL,NULL,NULL
2020-04-24,94,60,NULL,NULL,NULL
2020-04-25,133,75,NULL,NULL,NULL
2020-04-26,68,76,NULL,NULL,NULL
2020-04-27,171,96,NULL,NULL,NULL
2020-04-28,126,105,NULL,NULL,NULL
2020-04-29,109,108,NULL,NULL,NULL
2020-04-30,187,127,NULL,NULL,NULL
2020-05-01,164,137,NULL,NULL,NULL
