Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,4,1,NULL,NULL,NULL
2020-01-30,0,1,NULL,NULL,NULL
2020-01-31,0,1,NULL,NULL,NULL
2020-02-01,0,1,NULL,NULL,NULL
2020-02-02,1,1,NULL,NULL,NULL
2020-02-03,0,1,NULL,NULL,NULL
2020-02-04,0,1,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,2,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,1,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,1,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,4,1,NULL,NULL,NULL
2020-02-23,0,1,NULL,NULL,NULL
2020-02-24,0,1,NULL,NULL,NULL
2020-02-25,0,1,NULL,NULL,NULL
2020-02-26,0,1,NULL,NULL,NULL
2020-02-27,0,1,NULL,NULL,NULL
2020-02-28,6,1,NULL,NULL,NULL
2020-02-29,2,1,NULL,NULL,NULL
2020-03-01,0,1,NULL,NULL,NULL
2020-03-02,0,1,NULL,NULL,NULL
2020-03-03,6,2,NULL,NULL,NULL
2020-03-04,0,2,NULL,NULL,NULL
2020-03-05,2,2,NULL,NULL,NULL
2020-03-06,0,1,NULL,NULL,NULL
2020-03-07,16,3,NULL,NULL,NULL
2020-03-08,0,3,NULL,NULL,NULL
2020-03-09,0,3,NULL,NULL,NULL
2020-03-10,29,7,NULL,NULL,NULL
2020-03-11,0,7,NULL,NULL,NULL
2020-03-12,11,8,NULL,NULL,NULL
2020-03-13,0,8,NULL,NULL,NULL
2020-03-14,0,6,NULL,NULL,NULL
2020-03-15,13,8,NULL,NULL,NULL
2020-03-16,0,8,NULL,NULL,NULL
2020-03-17,0,3,NULL,NULL,NULL
2020-03-18,15,6,NULL,NULL,NULL
2020-03-19,27,8,NULL,NULL,NULL
2020-03-20,0,8,NULL,NULL,NULL
2020-03-21,13,10,NULL,NULL,NULL
2020-03-22,0,8,NULL,NULL,NULL
2020-03-23,45,14,NULL,NULL,NULL
2020-03-24,50,21,NULL,NULL,NULL
2020-03-25,85,31,NULL,NULL,NULL
2020-03-26,0,28,NULL,NULL,NULL
2020-03-27,72,38,NULL,NULL,NULL
2020-03-28,63,45,NULL,NULL,NULL
2020-03-29,102,60,NULL,NULL,NULL
2020-03-30,41,59,NULL,NULL,NULL
2020-03-31,53,59,NULL,NULL,NULL
2020-04-01,150,69,NULL,NULL,NULL
2020-04-02,210,99,NULL,NULL,NULL
2020-04-03,240,123,NULL,NULL,NULL
2020-04-04,241,148,NULL,NULL,NULL
2020-04-05,294,176,NULL,NULL,NULL
2020-04-06,277,209,NULL,NULL,NULL
2020-04-07,283,242,NULL,NULL,NULL
2020-04-08,300,264,NULL,NULL,NULL
2020-04-09,331,281,NULL,NULL,NULL
2020-04-10,370,299,NULL,NULL,NULL
2020-04-11,376,319,NULL,NULL,NULL
2020-04-12,387,332,NULL,NULL,NULL
2020-04-13,398,349,NULL,NULL,NULL
2020-04-14,412,368,NULL,NULL,NULL
2020-04-15,432,387,NULL,NULL,NULL
2020-04-16,460,405,NULL,NULL,NULL
2020-04-17,477,420,NULL,NULL,NULL
2020-04-18,0,367,NULL,NULL,NULL
2020-04-19,479,380,NULL,NULL,NULL
2020-04-20,484,392,NULL,NULL,NULL
2020-04-21,490,403,NULL,NULL,NULL
2020-04-22,483,410,NULL,NULL,NULL
2020-04-23,518,419,NULL,NULL,NULL
2020-04-24,525,426,NULL,NULL,NULL
2020-04-25,532,502,NULL,NULL,NULL
2020-04-26,536,510,NULL,NULL,NULL
2020-04-27,490,511,NULL,NULL,NULL
2020-04-28,541,518,NULL,NULL,NULL
2020-04-29,549,527,NULL,NULL,NULL
2020-04-30,552,532,NULL,NULL,NULL
2020-05-01,557,537,NULL,NULL,NULL
