Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,1,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,6,1,NULL,NULL,NULL
2020-03-08,3,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,5,2,NULL,NULL,NULL
2020-03-11,1,2,NULL,NULL,NULL
2020-03-12,0,2,NULL,NULL,NULL
2020-03-13,12,4,NULL,NULL,NULL
2020-03-14,3,3,NULL,NULL,NULL
2020-03-15,10,4,NULL,NULL,NULL
2020-03-16,11,6,NULL,NULL,NULL
2020-03-17,12,7,NULL,NULL,NULL
2020-03-18,10,8,NULL,NULL,NULL
2020-03-19,17,11,NULL,NULL,NULL
2020-03-20,31,13,NULL,NULL,NULL
2020-03-21,30,17,NULL,NULL,NULL
2020-03-22,107,31,NULL,NULL,NULL
2020-03-23,35,35,NULL,NULL,NULL
2020-03-24,86,45,NULL,NULL,NULL
2020-03-25,0,44,NULL,NULL,NULL
2020-03-26,115,57,NULL,NULL,NULL
2020-03-27,86,65,NULL,NULL,NULL
2020-03-28,101,76,NULL,NULL,NULL
2020-03-29,54,68,NULL,NULL,NULL
2020-03-30,75,74,NULL,NULL,NULL
2020-03-31,233,95,NULL,NULL,NULL
2020-04-01,0,95,NULL,NULL,NULL
2020-04-02,79,90,NULL,NULL,NULL
2020-04-03,132,96,NULL,NULL,NULL
2020-04-04,186,108,NULL,NULL,NULL
2020-04-05,0,100,NULL,NULL,NULL
2020-04-06,102,104,NULL,NULL,NULL
2020-04-07,73,82,NULL,NULL,NULL
2020-04-08,87,94,NULL,NULL,NULL
2020-04-09,80,94,NULL,NULL,NULL
2020-04-10,180,101,NULL,NULL,NULL
2020-04-11,0,74,NULL,NULL,NULL
2020-04-12,166,98,NULL,NULL,NULL
2020-04-13,66,93,NULL,NULL,NULL
2020-04-14,68,92,NULL,NULL,NULL
2020-04-15,166,104,NULL,NULL,NULL
2020-04-16,127,110,NULL,NULL,NULL
2020-04-17,97,99,NULL,NULL,NULL
2020-04-18,89,111,NULL,NULL,NULL
2020-04-19,80,99,NULL,NULL,NULL
2020-04-20,102,104,NULL,NULL,NULL
2020-04-21,90,107,NULL,NULL,NULL
2020-04-22,112,100,NULL,NULL,NULL
2020-04-23,291,123,NULL,NULL,NULL
2020-04-24,171,134,NULL,NULL,NULL
2020-04-25,173,146,NULL,NULL,NULL
2020-04-26,112,150,NULL,NULL,NULL
2020-04-27,110,151,NULL,NULL,NULL
2020-04-28,124,156,NULL,NULL,NULL
2020-04-29,158,163,NULL,NULL,NULL
2020-04-30,142,141,NULL,NULL,NULL
2020-05-01,103,132,NULL,NULL,NULL
