Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,2,0,NULL,NULL,NULL
2020-02-26,-1,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,2,0,NULL,NULL,NULL
2020-03-01,4,1,NULL,NULL,NULL
2020-03-02,1,1,NULL,NULL,NULL
2020-03-03,4,1,NULL,NULL,NULL
2020-03-04,5,2,NULL,NULL,NULL
2020-03-05,6,3,NULL,NULL,NULL
2020-03-06,14,5,NULL,NULL,NULL
2020-03-07,9,6,NULL,NULL,NULL
2020-03-08,29,10,NULL,NULL,NULL
2020-03-09,23,13,NULL,NULL,NULL
2020-03-10,28,16,NULL,NULL,NULL
2020-03-11,22,19,NULL,NULL,NULL
2020-03-12,55,26,NULL,NULL,NULL
2020-03-13,109,39,NULL,NULL,NULL
2020-03-14,97,52,NULL,NULL,NULL
2020-03-15,182,74,NULL,NULL,NULL
2020-03-16,210,100,NULL,NULL,NULL
2020-03-17,198,125,NULL,NULL,NULL
2020-03-18,226,154,NULL,NULL,NULL
2020-03-19,346,195,NULL,NULL,NULL
2020-03-20,372,233,NULL,NULL,NULL
2020-03-21,455,284,NULL,NULL,NULL
2020-03-22,511,331,NULL,NULL,NULL
2020-03-23,546,379,NULL,NULL,NULL
2020-03-24,618,439,NULL,NULL,NULL
2020-03-25,687,505,NULL,NULL,NULL
2020-03-26,723,559,NULL,NULL,NULL
2020-03-27,754,613,NULL,NULL,NULL
2020-03-28,1056,699,NULL,NULL,NULL
2020-03-29,807,742,NULL,NULL,NULL
2020-03-30,617,752,NULL,NULL,NULL
2020-03-31,547,742,NULL,NULL,NULL
2020-04-01,673,740,NULL,NULL,NULL
2020-04-02,549,715,NULL,NULL,NULL
2020-04-03,549,685,NULL,NULL,NULL
2020-04-04,438,597,NULL,NULL,NULL
2020-04-05,411,541,NULL,NULL,NULL
2020-04-06,253,489,NULL,NULL,NULL
2020-04-07,183,437,NULL,NULL,NULL
2020-04-08,306,384,NULL,NULL,NULL
2020-04-09,289,347,NULL,NULL,NULL
2020-04-10,290,310,NULL,NULL,NULL
2020-04-11,276,287,NULL,NULL,NULL
2020-04-12,357,279,NULL,NULL,NULL
2020-04-13,203,272,NULL,NULL,NULL
2020-04-14,111,262,NULL,NULL,NULL
2020-04-15,87,230,NULL,NULL,NULL
2020-04-16,150,211,NULL,NULL,NULL
2020-04-17,129,188,NULL,NULL,NULL
2020-04-18,111,164,NULL,NULL,NULL
2020-04-19,100,127,NULL,NULL,NULL
2020-04-20,60,107,NULL,NULL,NULL
2020-04-21,47,98,NULL,NULL,NULL
2020-04-22,68,95,NULL,NULL,NULL
2020-04-23,70,84,NULL,NULL,NULL
2020-04-24,73,76,NULL,NULL,NULL
2020-04-25,60,68,NULL,NULL,NULL
2020-04-26,79,65,NULL,NULL,NULL
2020-04-27,62,66,NULL,NULL,NULL
2020-04-28,35,64,NULL,NULL,NULL
2020-04-29,70,64,NULL,NULL,NULL
2020-04-30,49,61,NULL,NULL,NULL
2020-05-01,61,59,NULL,NULL,NULL
