Date,history,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL
2020-01-28,0,NULL,NULL,NULL
2020-01-29,0,NULL,NULL,NULL
2020-01-30,0,NULL,NULL,NULL
2020-01-31,0,NULL,NULL,NULL
2020-02-01,0,NULL,NULL,NULL
2020-02-02,0,NULL,NULL,NULL
2020-02-03,0,NULL,NULL,NULL
2020-02-04,1,NULL,NULL,NULL
2020-02-05,0,NULL,NULL,NULL
2020-02-06,0,NULL,NULL,NULL
2020-02-07,0,NULL,NULL,NULL
2020-02-08,0,NULL,NULL,NULL
2020-02-09,0,NULL,NULL,NULL
2020-02-10,0,NULL,NULL,NULL
2020-02-11,0,NULL,NULL,NULL
2020-02-12,0,NULL,NULL,NULL
2020-02-13,0,NULL,NULL,NULL
2020-02-14,0,NULL,NULL,NULL
2020-02-15,0,NULL,NULL,NULL
2020-02-16,0,NULL,NULL,NULL
2020-02-17,0,NULL,NULL,NULL
2020-02-18,0,NULL,NULL,NULL
2020-02-19,0,NULL,NULL,NULL
2020-02-20,0,NULL,NULL,NULL
2020-02-21,0,NULL,NULL,NULL
2020-02-22,0,NULL,NULL,NULL
2020-02-23,0,NULL,NULL,NULL
2020-02-24,0,NULL,NULL,NULL
2020-02-25,0,NULL,NULL,NULL
2020-02-26,0,NULL,NULL,NULL
2020-02-27,0,NULL,NULL,NULL
2020-02-28,0,NULL,NULL,NULL
2020-02-29,0,NULL,NULL,NULL
2020-03-01,1,NULL,NULL,NULL
2020-03-02,5,NULL,NULL,NULL
2020-03-03,5,NULL,NULL,NULL
2020-03-04,10,NULL,NULL,NULL
2020-03-05,27,NULL,NULL,NULL
2020-03-06,58,NULL,NULL,NULL
2020-03-07,60,NULL,NULL,NULL
2020-03-08,31,NULL,NULL,NULL
2020-03-09,38,NULL,NULL,NULL
2020-03-10,28,NULL,NULL,NULL
2020-03-11,47,NULL,NULL,NULL
2020-03-12,0,NULL,NULL,NULL
2020-03-13,245,NULL,NULL,NULL
2020-03-14,130,NULL,NULL,NULL
2020-03-15,196,NULL,NULL,NULL
2020-03-16,171,NULL,NULL,NULL
2020-03-17,184,NULL,NULL,NULL
2020-03-18,242,NULL,NULL,NULL
2020-03-19,308,NULL,NULL,NULL
2020-03-20,462,NULL,NULL,NULL
2020-03-21,557,NULL,NULL,NULL
2020-03-22,585,NULL,NULL,NULL
2020-03-23,342,NULL,NULL,NULL
2020-03-24,526,NULL,NULL,NULL
2020-03-25,668,NULL,NULL,NULL
2020-03-26,1297,NULL,NULL,NULL
2020-03-27,1048,NULL,NULL,NULL
2020-03-28,1850,NULL,NULL,NULL
2020-03-29,1702,NULL,NULL,NULL
2020-03-30,1063,NULL,NULL,NULL
2020-03-31,876,NULL,NULL,NULL
2020-04-01,1188,NULL,NULL,NULL
2020-04-02,1383,NULL,NULL,NULL
2020-04-03,1421,NULL,NULL,NULL
2020-04-04,1661,NULL,NULL,NULL
2020-04-05,1259,NULL,NULL,NULL
2020-04-06,1122,NULL,NULL,NULL
2020-04-07,1380,NULL,NULL,NULL
2020-04-08,1208,NULL,NULL,NULL
2020-04-09,1580,NULL,NULL,NULL
2020-04-10,1683,NULL,NULL,NULL
2020-04-11,1351,NULL,NULL,NULL
2020-04-12,1628,NULL,NULL,NULL
2020-04-13,941,NULL,NULL,NULL
2020-04-14,530,NULL,NULL,NULL
2020-04-15,2454,NULL,NULL,NULL
2020-04-16,1235,NULL,NULL,NULL
2020-04-17,1328,NULL,NULL,NULL
2020-04-18,1045,NULL,NULL,NULL
2020-04-19,1313,NULL,NULL,NULL
2020-04-20,1486,NULL,NULL,NULL
2020-04-21,973,NULL,NULL,NULL
2020-04-22,933,NULL,NULL,NULL
2020-04-23,907,NULL,NULL,NULL
2020-04-24,1496,NULL,NULL,NULL
2020-04-25,1031,NULL,NULL,NULL
2020-04-26,809,NULL,NULL,NULL
2020-04-27,553,NULL,NULL,NULL
2020-04-28,646,NULL,NULL,NULL
2020-04-29,525,NULL,NULL,NULL
2020-04-30,659,NULL,NULL,NULL
2020-05-01,513,NULL,NULL,NULL
2020-05-02,484,NULL,NULL,NULL
2020-05-03,389,NULL,NULL,NULL
2020-05-04,361,NULL,NULL,NULL
2020-05-05,241,NULL,NULL,NULL
