Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,2,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,1,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,1,0,NULL,NULL,NULL
2020-03-11,1,1,NULL,NULL,NULL
2020-03-12,3,1,NULL,NULL,NULL
2020-03-13,2,1,NULL,NULL,NULL
2020-03-14,4,2,NULL,NULL,NULL
2020-03-15,6,3,NULL,NULL,NULL
2020-03-16,1,3,NULL,NULL,NULL
2020-03-17,0,2,NULL,NULL,NULL
2020-03-18,11,4,NULL,NULL,NULL
2020-03-19,25,7,NULL,NULL,NULL
2020-03-20,25,10,NULL,NULL,NULL
2020-03-21,4,10,NULL,NULL,NULL
2020-03-22,33,14,NULL,NULL,NULL
2020-03-23,10,15,NULL,NULL,NULL
2020-03-24,29,20,NULL,NULL,NULL
2020-03-25,9,19,NULL,NULL,NULL
2020-03-26,15,18,NULL,NULL,NULL
2020-03-27,45,21,NULL,NULL,NULL
2020-03-28,21,23,NULL,NULL,NULL
2020-03-29,65,28,NULL,NULL,NULL
2020-03-30,44,33,NULL,NULL,NULL
2020-03-31,51,36,NULL,NULL,NULL
2020-04-01,39,40,NULL,NULL,NULL
2020-04-02,73,48,NULL,NULL,NULL
2020-04-03,46,48,NULL,NULL,NULL
2020-04-04,45,52,NULL,NULL,NULL
2020-04-05,30,47,NULL,NULL,NULL
2020-04-06,20,43,NULL,NULL,NULL
2020-04-07,90,49,NULL,NULL,NULL
2020-04-08,40,49,NULL,NULL,NULL
2020-04-09,53,46,NULL,NULL,NULL
2020-04-10,42,45,NULL,NULL,NULL
2020-04-11,45,45,NULL,NULL,NULL
2020-04-12,63,50,NULL,NULL,NULL
2020-04-13,27,51,NULL,NULL,NULL
2020-04-14,45,45,NULL,NULL,NULL
2020-04-15,27,43,NULL,NULL,NULL
2020-04-16,57,44,NULL,NULL,NULL
2020-04-17,46,44,NULL,NULL,NULL
2020-04-18,54,46,NULL,NULL,NULL
2020-04-19,17,39,NULL,NULL,NULL
2020-04-20,23,38,NULL,NULL,NULL
2020-04-21,33,37,NULL,NULL,NULL
2020-04-22,25,36,NULL,NULL,NULL
2020-04-23,45,35,NULL,NULL,NULL
2020-04-24,7,29,NULL,NULL,NULL
2020-04-25,65,31,NULL,NULL,NULL
2020-04-26,30,32,NULL,NULL,NULL
2020-04-27,49,36,NULL,NULL,NULL
2020-04-28,20,34,NULL,NULL,NULL
2020-04-29,91,44,NULL,NULL,NULL
2020-04-30,80,49,NULL,NULL,NULL
2020-05-01,24,51,NULL,NULL,NULL
