Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,1,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,5,1,NULL,NULL,NULL
2020-03-05,0,1,NULL,NULL,NULL
2020-03-06,0,1,NULL,NULL,NULL
2020-03-07,0,1,NULL,NULL,NULL
2020-03-08,0,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,3,1,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,3,1,NULL,NULL,NULL
2020-03-13,15,3,NULL,NULL,NULL
2020-03-14,0,3,NULL,NULL,NULL
2020-03-15,0,3,NULL,NULL,NULL
2020-03-16,9,4,NULL,NULL,NULL
2020-03-17,0,4,NULL,NULL,NULL
2020-03-18,15,6,NULL,NULL,NULL
2020-03-19,0,6,NULL,NULL,NULL
2020-03-20,18,6,NULL,NULL,NULL
2020-03-21,7,7,NULL,NULL,NULL
2020-03-22,0,7,NULL,NULL,NULL
2020-03-23,5,6,NULL,NULL,NULL
2020-03-24,0,6,NULL,NULL,NULL
2020-03-25,5,5,NULL,NULL,NULL
2020-03-26,0,5,NULL,NULL,NULL
2020-03-27,8,4,NULL,NULL,NULL
2020-03-28,0,3,NULL,NULL,NULL
2020-03-29,0,3,NULL,NULL,NULL
2020-03-30,58,10,NULL,NULL,NULL
2020-03-31,0,10,NULL,NULL,NULL
2020-04-01,11,11,NULL,NULL,NULL
2020-04-02,141,31,NULL,NULL,NULL
2020-04-03,47,37,NULL,NULL,NULL
2020-04-04,89,49,NULL,NULL,NULL
2020-04-05,122,67,NULL,NULL,NULL
2020-04-06,138,78,NULL,NULL,NULL
2020-04-07,161,101,NULL,NULL,NULL
2020-04-08,205,129,NULL,NULL,NULL
2020-04-09,420,169,NULL,NULL,NULL
2020-04-10,495,233,NULL,NULL,NULL
2020-04-11,245,255,NULL,NULL,NULL
2020-04-12,352,288,NULL,NULL,NULL
2020-04-13,341,317,NULL,NULL,NULL
2020-04-14,362,346,NULL,NULL,NULL
2020-04-15,447,380,NULL,NULL,NULL
2020-04-16,476,388,NULL,NULL,NULL
2020-04-17,575,400,NULL,NULL,NULL
2020-04-18,518,439,NULL,NULL,NULL
2020-04-19,510,461,NULL,NULL,NULL
2020-04-20,457,478,NULL,NULL,NULL
2020-04-21,459,492,NULL,NULL,NULL
2020-04-22,558,508,NULL,NULL,NULL
2020-04-23,741,545,NULL,NULL,NULL
2020-04-24,751,571,NULL,NULL,NULL
2020-04-25,817,613,NULL,NULL,NULL
2020-04-26,873,665,NULL,NULL,NULL
2020-04-27,826,718,NULL,NULL,NULL
2020-04-28,919,784,NULL,NULL,NULL
2020-04-29,973,843,NULL,NULL,NULL
2020-04-30,846,858,NULL,NULL,NULL
2020-05-01,890,878,NULL,NULL,NULL
