Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,2,NULL,NULL,NULL,NULL
2020-01-24,1,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,1,1,NULL,NULL,NULL
2020-01-29,0,1,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,1,0,NULL,NULL,NULL
2020-02-05,1,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,2,1,NULL,NULL,NULL
2020-02-08,0,1,NULL,NULL,NULL
2020-02-09,0,1,NULL,NULL,NULL
2020-02-10,1,1,NULL,NULL,NULL
2020-02-11,0,1,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,1,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,1,0,NULL,NULL,NULL
2020-02-21,2,1,NULL,NULL,NULL
2020-02-22,1,1,NULL,NULL,NULL
2020-02-23,1,1,NULL,NULL,NULL
2020-02-24,1,1,NULL,NULL,NULL
2020-02-25,3,1,NULL,NULL,NULL
2020-02-26,1,1,NULL,NULL,NULL
2020-02-27,2,2,NULL,NULL,NULL
2020-02-28,6,2,NULL,NULL,NULL
2020-02-29,5,3,NULL,NULL,NULL
2020-03-01,5,3,NULL,NULL,NULL
2020-03-02,7,4,NULL,NULL,NULL
2020-03-03,6,5,NULL,NULL,NULL
2020-03-04,8,6,NULL,NULL,NULL
2020-03-05,12,7,NULL,NULL,NULL
2020-03-06,19,9,NULL,NULL,NULL
2020-03-07,8,9,NULL,NULL,NULL
2020-03-08,22,12,NULL,NULL,NULL
2020-03-09,24,14,NULL,NULL,NULL
2020-03-10,21,16,NULL,NULL,NULL
2020-03-11,63,24,NULL,NULL,NULL
2020-03-12,61,31,NULL,NULL,NULL
2020-03-13,97,42,NULL,NULL,NULL
2020-03-14,67,51,NULL,NULL,NULL
2020-03-15,96,61,NULL,NULL,NULL
2020-03-16,151,79,NULL,NULL,NULL
2020-03-17,154,98,NULL,NULL,NULL
