Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,1,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,6,1,NULL,NULL,NULL
2020-02-28,0,1,NULL,NULL,NULL
2020-02-29,10,2,NULL,NULL,NULL
2020-03-01,8,3,NULL,NULL,NULL
2020-03-02,15,6,NULL,NULL,NULL
2020-03-03,14,7,NULL,NULL,NULL
2020-03-04,33,12,NULL,NULL,NULL
2020-03-05,24,15,NULL,NULL,NULL
2020-03-06,100,29,NULL,NULL,NULL
2020-03-07,53,35,NULL,NULL,NULL
2020-03-08,69,44,NULL,NULL,NULL
2020-03-09,36,47,NULL,NULL,NULL
2020-03-10,116,62,NULL,NULL,NULL
2020-03-11,161,80,NULL,NULL,NULL
2020-03-12,0,76,NULL,NULL,NULL
2020-03-13,486,132,NULL,NULL,NULL
2020-03-14,220,155,NULL,NULL,NULL
2020-03-15,841,266,NULL,NULL,NULL
2020-03-16,0,260,NULL,NULL,NULL
2020-03-17,499,315,NULL,NULL,NULL
2020-03-18,328,339,NULL,NULL,NULL
2020-03-19,1046,488,NULL,NULL,NULL
2020-03-20,1219,593,NULL,NULL,NULL
2020-03-21,1281,745,NULL,NULL,NULL
2020-03-22,898,753,NULL,NULL,NULL
2020-03-23,1320,942,NULL,NULL,NULL
2020-03-24,1081,1025,NULL,NULL,NULL
2020-03-25,1020,1124,NULL,NULL,NULL
2020-03-26,913,1105,NULL,NULL,NULL
2020-03-27,1117,1090,NULL,NULL,NULL
2020-03-28,1148,1071,NULL,NULL,NULL
2020-03-29,753,1050,NULL,NULL,NULL
2020-03-30,1092,1018,NULL,NULL,NULL
2020-03-31,682,961,NULL,NULL,NULL
2020-04-01,1163,981,NULL,NULL,NULL
2020-04-02,1059,1002,NULL,NULL,NULL
2020-04-03,779,954,NULL,NULL,NULL
2020-04-04,898,918,NULL,NULL,NULL
2020-04-05,595,895,NULL,NULL,NULL
2020-04-06,556,819,NULL,NULL,NULL
2020-04-07,595,806,NULL,NULL,NULL
2020-04-08,1027,787,NULL,NULL,NULL
2020-04-09,770,746,NULL,NULL,NULL
2020-04-10,500,706,NULL,NULL,NULL
2020-04-11,555,657,NULL,NULL,NULL
2020-04-12,308,616,NULL,NULL,NULL
2020-04-13,273,575,NULL,NULL,NULL
2020-04-14,247,526,NULL,NULL,NULL
2020-04-15,400,436,NULL,NULL,NULL
2020-04-16,395,382,NULL,NULL,NULL
2020-04-17,346,361,NULL,NULL,NULL
2020-04-18,325,328,NULL,NULL,NULL
2020-04-19,335,332,NULL,NULL,NULL
2020-04-20,204,322,NULL,NULL,NULL
2020-04-21,118,303,NULL,NULL,NULL
2020-04-22,205,275,NULL,NULL,NULL
2020-04-23,227,251,NULL,NULL,NULL
2020-04-24,181,228,NULL,NULL,NULL
2020-04-25,217,212,NULL,NULL,NULL
2020-04-26,166,188,NULL,NULL,NULL
2020-04-27,103,174,NULL,NULL,NULL
2020-04-28,99,171,NULL,NULL,NULL
2020-04-29,143,162,NULL,NULL,NULL
2020-04-30,178,155,NULL,NULL,NULL
