Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,93,NULL,NULL,NULL,NULL
2020-01-24,277,NULL,NULL,NULL,NULL
2020-01-25,482,NULL,NULL,NULL,NULL
2020-01-26,666,NULL,NULL,NULL,NULL
2020-01-27,802,NULL,NULL,NULL,NULL
2020-01-28,2631,707,NULL,NULL,NULL
2020-01-29,576,789,NULL,NULL,NULL
2020-01-30,2054,1070,NULL,NULL,NULL
2020-01-31,1658,1267,NULL,NULL,NULL
2020-02-01,2088,1496,NULL,NULL,NULL
2020-02-02,4736,2078,NULL,NULL,NULL
2020-02-03,3086,2404,NULL,NULL,NULL
2020-02-04,3989,2598,NULL,NULL,NULL
2020-02-05,3728,3048,NULL,NULL,NULL
2020-02-06,3144,3204,NULL,NULL,NULL
2020-02-07,3521,3470,NULL,NULL,NULL
2020-02-08,2703,3558,NULL,NULL,NULL
2020-02-09,3011,3312,NULL,NULL,NULL
2020-02-10,2515,3230,NULL,NULL,NULL
2020-02-11,2021,2949,NULL,NULL,NULL
2020-02-12,371,2470,NULL,NULL,NULL
2020-02-13,15132,4182,NULL,NULL,NULL
2020-02-14,6460,4602,NULL,NULL,NULL
2020-02-15,2054,4509,NULL,NULL,NULL
2020-02-16,2098,4379,NULL,NULL,NULL
2020-02-17,1918,4293,NULL,NULL,NULL
2020-02-18,1775,4258,NULL,NULL,NULL
2020-02-19,406,4263,NULL,NULL,NULL
2020-02-20,453,2166,NULL,NULL,NULL
2020-02-21,473,1311,NULL,NULL,NULL
2020-02-22,1449,1225,NULL,NULL,NULL
2020-02-23,16,927,NULL,NULL,NULL
2020-02-24,214,684,NULL,NULL,NULL
2020-02-25,507,503,NULL,NULL,NULL
2020-02-26,405,502,NULL,NULL,NULL
2020-02-27,432,499,NULL,NULL,NULL
2020-02-28,326,478,NULL,NULL,NULL
2020-02-29,426,332,NULL,NULL,NULL
2020-03-01,574,412,NULL,NULL,NULL
2020-03-02,200,410,NULL,NULL,NULL
2020-03-03,125,355,NULL,NULL,NULL
2020-03-04,119,315,NULL,NULL,NULL
2020-03-05,150,274,NULL,NULL,NULL
2020-03-06,151,249,NULL,NULL,NULL
2020-03-07,79,200,NULL,NULL,NULL
2020-03-08,46,124,NULL,NULL,NULL
2020-03-09,35,101,NULL,NULL,NULL
2020-03-10,22,86,NULL,NULL,NULL
2020-03-11,28,73,NULL,NULL,NULL
2020-03-12,7,52,NULL,NULL,NULL
2020-03-13,8,32,NULL,NULL,NULL
