Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,2,0,NULL,NULL,NULL
2020-03-11,6,1,NULL,NULL,NULL
2020-03-12,0,1,NULL,NULL,NULL
2020-03-13,3,1,NULL,NULL,NULL
2020-03-14,9,3,NULL,NULL,NULL
2020-03-15,12,4,NULL,NULL,NULL
2020-03-16,22,8,NULL,NULL,NULL
2020-03-17,18,10,NULL,NULL,NULL
2020-03-18,26,13,NULL,NULL,NULL
2020-03-19,6,14,NULL,NULL,NULL
2020-03-20,49,20,NULL,NULL,NULL
2020-03-21,38,24,NULL,NULL,NULL
2020-03-22,35,28,NULL,NULL,NULL
2020-03-23,45,31,NULL,NULL,NULL
2020-03-24,101,43,NULL,NULL,NULL
2020-03-25,91,52,NULL,NULL,NULL
2020-03-26,21,54,NULL,NULL,NULL
2020-03-27,48,54,NULL,NULL,NULL
2020-03-28,69,58,NULL,NULL,NULL
2020-03-29,94,67,NULL,NULL,NULL
2020-03-30,95,74,NULL,NULL,NULL
2020-03-31,108,75,NULL,NULL,NULL
2020-04-01,158,84,NULL,NULL,NULL
2020-04-02,96,95,NULL,NULL,NULL
2020-04-03,105,103,NULL,NULL,NULL
2020-04-04,139,114,NULL,NULL,NULL
2020-04-05,79,111,NULL,NULL,NULL
2020-04-06,93,111,NULL,NULL,NULL
2020-04-07,201,124,NULL,NULL,NULL
2020-04-08,273,141,NULL,NULL,NULL
2020-04-09,169,151,NULL,NULL,NULL
2020-04-10,249,172,NULL,NULL,NULL
2020-04-11,236,186,NULL,NULL,NULL
2020-04-12,66,184,NULL,NULL,NULL
2020-04-13,76,181,NULL,NULL,NULL
2020-04-14,127,171,NULL,NULL,NULL
2020-04-15,126,150,NULL,NULL,NULL
2020-04-16,128,144,NULL,NULL,NULL
2020-04-17,206,138,NULL,NULL,NULL
2020-04-18,181,130,NULL,NULL,NULL
2020-04-19,171,145,NULL,NULL,NULL
2020-04-20,184,160,NULL,NULL,NULL
2020-04-21,172,167,NULL,NULL,NULL
2020-04-22,206,178,NULL,NULL,NULL
2020-04-23,204,189,NULL,NULL,NULL
2020-04-24,320,205,NULL,NULL,NULL
2020-04-25,260,217,NULL,NULL,NULL
2020-04-26,236,226,NULL,NULL,NULL
2020-04-27,218,231,NULL,NULL,NULL
2020-04-28,351,257,NULL,NULL,NULL
2020-04-29,258,264,NULL,NULL,NULL
2020-04-30,299,277,NULL,NULL,NULL
2020-05-01,498,303,NULL,NULL,NULL
