Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,4,1,NULL,NULL,NULL
2020-03-09,4,1,NULL,NULL,NULL
2020-03-10,0,1,NULL,NULL,NULL
2020-03-11,4,2,NULL,NULL,NULL
2020-03-12,9,3,NULL,NULL,NULL
2020-03-13,1,3,NULL,NULL,NULL
2020-03-14,3,4,NULL,NULL,NULL
2020-03-15,1,3,NULL,NULL,NULL
2020-03-16,8,4,NULL,NULL,NULL
2020-03-17,6,5,NULL,NULL,NULL
2020-03-18,9,5,NULL,NULL,NULL
2020-03-19,19,7,NULL,NULL,NULL
2020-03-20,20,9,NULL,NULL,NULL
2020-03-21,28,13,NULL,NULL,NULL
2020-03-22,17,15,NULL,NULL,NULL
2020-03-23,24,18,NULL,NULL,NULL
2020-03-24,19,19,NULL,NULL,NULL
2020-03-25,24,22,NULL,NULL,NULL
2020-03-26,30,23,NULL,NULL,NULL
2020-03-27,32,25,NULL,NULL,NULL
2020-03-28,32,25,NULL,NULL,NULL
2020-03-29,19,26,NULL,NULL,NULL
2020-03-30,16,25,NULL,NULL,NULL
2020-03-31,17,24,NULL,NULL,NULL
2020-04-01,28,25,NULL,NULL,NULL
2020-04-02,21,24,NULL,NULL,NULL
2020-04-03,20,22,NULL,NULL,NULL
2020-04-04,19,20,NULL,NULL,NULL
2020-04-05,19,20,NULL,NULL,NULL
2020-04-06,13,20,NULL,NULL,NULL
2020-04-07,16,19,NULL,NULL,NULL
2020-04-08,19,18,NULL,NULL,NULL
2020-04-09,37,20,NULL,NULL,NULL
2020-04-10,19,20,NULL,NULL,NULL
2020-04-11,19,20,NULL,NULL,NULL
2020-04-12,18,20,NULL,NULL,NULL
2020-04-13,17,21,NULL,NULL,NULL
2020-04-14,6,19,NULL,NULL,NULL
2020-04-15,8,18,NULL,NULL,NULL
2020-04-16,16,15,NULL,NULL,NULL
2020-04-17,7,13,NULL,NULL,NULL
2020-04-18,6,11,NULL,NULL,NULL
2020-04-19,5,9,NULL,NULL,NULL
2020-04-20,2,7,NULL,NULL,NULL
2020-04-21,7,7,NULL,NULL,NULL
2020-04-22,12,8,NULL,NULL,NULL
2020-04-23,5,6,NULL,NULL,NULL
2020-04-24,1,5,NULL,NULL,NULL
2020-04-25,6,5,NULL,NULL,NULL
2020-04-26,2,5,NULL,NULL,NULL
2020-04-27,2,5,NULL,NULL,NULL
2020-04-28,8,5,NULL,NULL,NULL
2020-04-29,8,5,NULL,NULL,NULL
2020-04-30,6,5,NULL,NULL,NULL
2020-05-01,6,5,NULL,NULL,NULL
