Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,2,0,NULL,NULL,NULL
2020-03-10,1,0,NULL,NULL,NULL
2020-03-11,3,1,NULL,NULL,NULL
2020-03-12,0,1,NULL,NULL,NULL
2020-03-13,8,2,NULL,NULL,NULL
2020-03-14,12,4,NULL,NULL,NULL
2020-03-15,0,4,NULL,NULL,NULL
2020-03-16,7,4,NULL,NULL,NULL
2020-03-17,13,6,NULL,NULL,NULL
2020-03-18,3,6,NULL,NULL,NULL
2020-03-19,18,9,NULL,NULL,NULL
2020-03-20,0,8,NULL,NULL,NULL
2020-03-21,17,8,NULL,NULL,NULL
2020-03-22,11,10,NULL,NULL,NULL
2020-03-23,21,12,NULL,NULL,NULL
2020-03-24,8,11,NULL,NULL,NULL
2020-03-25,8,12,NULL,NULL,NULL
2020-03-26,14,11,NULL,NULL,NULL
2020-03-27,16,14,NULL,NULL,NULL
2020-03-28,17,14,NULL,NULL,NULL
2020-03-29,35,17,NULL,NULL,NULL
2020-03-30,16,16,NULL,NULL,NULL
2020-03-31,32,20,NULL,NULL,NULL
2020-04-01,58,27,NULL,NULL,NULL
2020-04-02,36,30,NULL,NULL,NULL
2020-04-03,40,33,NULL,NULL,NULL
2020-04-04,30,35,NULL,NULL,NULL
2020-04-05,20,33,NULL,NULL,NULL
2020-04-06,19,34,NULL,NULL,NULL
2020-04-07,29,33,NULL,NULL,NULL
2020-04-08,32,29,NULL,NULL,NULL
2020-04-09,38,30,NULL,NULL,NULL
2020-04-10,31,28,NULL,NULL,NULL
2020-04-11,21,27,NULL,NULL,NULL
2020-04-12,17,27,NULL,NULL,NULL
2020-04-13,29,28,NULL,NULL,NULL
2020-04-14,33,29,NULL,NULL,NULL
2020-04-15,20,27,NULL,NULL,NULL
2020-04-16,20,24,NULL,NULL,NULL
2020-04-17,15,22,NULL,NULL,NULL
2020-04-18,11,21,NULL,NULL,NULL
2020-04-19,6,19,NULL,NULL,NULL
2020-04-20,5,16,NULL,NULL,NULL
2020-04-21,12,13,NULL,NULL,NULL
2020-04-22,6,11,NULL,NULL,NULL
2020-04-23,5,9,NULL,NULL,NULL
2020-04-24,9,8,NULL,NULL,NULL
2020-04-25,6,7,NULL,NULL,NULL
2020-04-26,7,7,NULL,NULL,NULL
2020-04-27,5,7,NULL,NULL,NULL
2020-04-28,15,8,NULL,NULL,NULL
2020-04-29,6,8,NULL,NULL,NULL
2020-04-30,7,8,NULL,NULL,NULL
2020-05-01,7,8,NULL,NULL,NULL
