Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,3,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,2,0,NULL,NULL,NULL
2020-03-04,2,1,NULL,NULL,NULL
2020-03-05,3,1,NULL,NULL,NULL
2020-03-06,5,2,NULL,NULL,NULL
2020-03-07,1,2,NULL,NULL,NULL
2020-03-08,11,3,NULL,NULL,NULL
2020-03-09,0,3,NULL,NULL,NULL
2020-03-10,10,5,NULL,NULL,NULL
2020-03-11,49,11,NULL,NULL,NULL
2020-03-12,2,11,NULL,NULL,NULL
2020-03-13,47,17,NULL,NULL,NULL
2020-03-14,47,24,NULL,NULL,NULL
2020-03-15,64,31,NULL,NULL,NULL
2020-03-16,45,38,NULL,NULL,NULL
2020-03-17,98,50,NULL,NULL,NULL
2020-03-18,67,53,NULL,NULL,NULL
2020-03-19,229,85,NULL,NULL,NULL
2020-03-20,139,98,NULL,NULL,NULL
2020-03-21,162,115,NULL,NULL,NULL
2020-03-22,124,123,NULL,NULL,NULL
2020-03-23,116,133,NULL,NULL,NULL
2020-03-24,158,142,NULL,NULL,NULL
2020-03-25,259,169,NULL,NULL,NULL
2020-03-26,271,175,NULL,NULL,NULL
2020-03-27,353,206,NULL,NULL,NULL
2020-03-28,352,233,NULL,NULL,NULL
2020-03-29,185,242,NULL,NULL,NULL
2020-03-30,183,252,NULL,NULL,NULL
2020-03-31,306,273,NULL,NULL,NULL
2020-04-01,200,264,NULL,NULL,NULL
2020-04-02,350,276,NULL,NULL,NULL
2020-04-03,232,258,NULL,NULL,NULL
2020-04-04,380,262,NULL,NULL,NULL
2020-04-05,114,252,NULL,NULL,NULL
2020-04-06,235,260,NULL,NULL,NULL
2020-04-07,194,244,NULL,NULL,NULL
2020-04-08,294,257,NULL,NULL,NULL
2020-04-09,257,244,NULL,NULL,NULL
2020-04-10,163,234,NULL,NULL,NULL
2020-04-11,98,194,NULL,NULL,NULL
2020-04-12,160,200,NULL,NULL,NULL
2020-04-13,68,176,NULL,NULL,NULL
2020-04-14,52,156,NULL,NULL,NULL
2020-04-15,104,129,NULL,NULL,NULL
2020-04-16,217,123,NULL,NULL,NULL
2020-04-17,115,116,NULL,NULL,NULL
2020-04-18,57,110,NULL,NULL,NULL
2020-04-19,139,107,NULL,NULL,NULL
2020-04-20,154,120,NULL,NULL,NULL
2020-04-21,133,131,NULL,NULL,NULL
2020-04-22,98,130,NULL,NULL,NULL
2020-04-23,55,107,NULL,NULL,NULL
2020-04-24,85,103,NULL,NULL,NULL
2020-04-25,79,106,NULL,NULL,NULL
2020-04-26,52,94,NULL,NULL,NULL
2020-04-27,40,77,NULL,NULL,NULL
2020-04-28,58,67,NULL,NULL,NULL
2020-04-29,75,63,NULL,NULL,NULL
2020-04-30,102,70,NULL,NULL,NULL
2020-05-01,54,66,NULL,NULL,NULL
