Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,1,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,2,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,6,1,NULL,NULL,NULL
2020-03-15,0,0,NULL,NULL,NULL
2020-03-16,0,0,NULL,NULL,NULL
2020-03-17,10,2,NULL,NULL,NULL
2020-03-18,0,2,NULL,NULL,NULL
2020-03-19,13,4,NULL,NULL,NULL
2020-03-20,37,9,NULL,NULL,NULL
2020-03-21,40,14,NULL,NULL,NULL
2020-03-22,90,27,NULL,NULL,NULL
2020-03-23,42,33,NULL,NULL,NULL
2020-03-24,67,41,NULL,NULL,NULL
2020-03-25,79,53,NULL,NULL,NULL
2020-03-26,95,64,NULL,NULL,NULL
2020-03-27,92,72,NULL,NULL,NULL
2020-03-28,138,86,NULL,NULL,NULL
2020-03-29,139,93,NULL,NULL,NULL
2020-03-30,42,93,NULL,NULL,NULL
2020-03-31,207,113,NULL,NULL,NULL
2020-04-01,175,127,NULL,NULL,NULL
2020-04-02,96,127,NULL,NULL,NULL
2020-04-03,108,129,NULL,NULL,NULL
2020-04-04,0,109,NULL,NULL,NULL
2020-04-05,256,126,NULL,NULL,NULL
2020-04-06,82,132,NULL,NULL,NULL
2020-04-07,128,121,NULL,NULL,NULL
2020-04-08,155,118,NULL,NULL,NULL
2020-04-09,237,138,NULL,NULL,NULL
2020-04-10,271,161,NULL,NULL,NULL
2020-04-11,138,181,NULL,NULL,NULL
2020-04-12,207,174,NULL,NULL,NULL
2020-04-13,200,191,NULL,NULL,NULL
2020-04-14,118,189,NULL,NULL,NULL
2020-04-15,328,214,NULL,NULL,NULL
2020-04-16,140,200,NULL,NULL,NULL
2020-04-17,370,215,NULL,NULL,NULL
2020-04-18,209,225,NULL,NULL,NULL
2020-04-19,345,244,NULL,NULL,NULL
2020-04-20,284,256,NULL,NULL,NULL
2020-04-21,79,251,NULL,NULL,NULL
2020-04-22,256,240,NULL,NULL,NULL
2020-04-23,242,255,NULL,NULL,NULL
2020-04-24,205,231,NULL,NULL,NULL
2020-04-25,177,227,NULL,NULL,NULL
2020-04-26,208,207,NULL,NULL,NULL
2020-04-27,158,189,NULL,NULL,NULL
2020-04-28,123,195,NULL,NULL,NULL
2020-04-29,236,193,NULL,NULL,NULL
2020-04-30,319,204,NULL,NULL,NULL
2020-05-01,316,219,NULL,NULL,NULL
