Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,6,1,NULL,NULL,NULL
2020-03-02,0,1,NULL,NULL,NULL
2020-03-03,1,1,NULL,NULL,NULL
2020-03-04,3,1,NULL,NULL,NULL
2020-03-05,3,2,NULL,NULL,NULL
2020-03-06,0,2,NULL,NULL,NULL
2020-03-07,0,2,NULL,NULL,NULL
2020-03-08,1,1,NULL,NULL,NULL
2020-03-09,1,1,NULL,NULL,NULL
2020-03-10,0,1,NULL,NULL,NULL
2020-03-11,2,1,NULL,NULL,NULL
2020-03-12,0,1,NULL,NULL,NULL
2020-03-13,0,1,NULL,NULL,NULL
2020-03-14,11,2,NULL,NULL,NULL
2020-03-15,0,2,NULL,NULL,NULL
2020-03-16,9,3,NULL,NULL,NULL
2020-03-17,21,6,NULL,NULL,NULL
2020-03-18,53,13,NULL,NULL,NULL
2020-03-19,88,26,NULL,NULL,NULL
2020-03-20,168,50,NULL,NULL,NULL
2020-03-21,139,68,NULL,NULL,NULL
2020-03-22,283,109,NULL,NULL,NULL
2020-03-23,192,135,NULL,NULL,NULL
2020-03-24,101,146,NULL,NULL,NULL
2020-03-25,91,152,NULL,NULL,NULL
2020-03-26,230,172,NULL,NULL,NULL
2020-03-27,192,175,NULL,NULL,NULL
2020-03-28,228,188,NULL,NULL,NULL
2020-03-29,101,162,NULL,NULL,NULL
2020-03-30,38,140,NULL,NULL,NULL
2020-03-31,278,165,NULL,NULL,NULL
2020-04-01,508,225,NULL,NULL,NULL
2020-04-02,415,251,NULL,NULL,NULL
2020-04-03,205,253,NULL,NULL,NULL
2020-04-04,97,235,NULL,NULL,NULL
2020-04-05,181,246,NULL,NULL,NULL
2020-04-06,101,255,NULL,NULL,NULL
2020-04-07,0,215,NULL,NULL,NULL
2020-04-08,703,243,NULL,NULL,NULL
2020-04-09,515,257,NULL,NULL,NULL
2020-04-10,2196,542,NULL,NULL,NULL
2020-04-11,96,542,NULL,NULL,NULL
2020-04-12,209,546,NULL,NULL,NULL
2020-04-13,63,540,NULL,NULL,NULL
2020-04-14,74,551,NULL,NULL,NULL
2020-04-15,255,487,NULL,NULL,NULL
2020-04-16,367,466,NULL,NULL,NULL
2020-04-17,225,184,NULL,NULL,NULL
2020-04-18,572,252,NULL,NULL,NULL
2020-04-19,446,286,NULL,NULL,NULL
2020-04-20,660,371,NULL,NULL,NULL
2020-04-21,270,399,NULL,NULL,NULL
2020-04-22,452,427,NULL,NULL,NULL
2020-04-23,333,423,NULL,NULL,NULL
2020-04-24,11536,2038,NULL,NULL,NULL
2020-04-25,0,1957,NULL,NULL,NULL
2020-04-26,0,1893,NULL,NULL,NULL
2020-04-27,521,1873,NULL,NULL,NULL
2020-04-28,1018,1980,NULL,NULL,NULL
2020-04-29,417,1975,NULL,NULL,NULL
2020-04-30,259,1964,NULL,NULL,NULL
