Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,1,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,1,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,4,1,NULL,NULL,NULL
2020-02-26,7,2,NULL,NULL,NULL
2020-02-27,2,2,NULL,NULL,NULL
2020-02-28,17,4,NULL,NULL,NULL
2020-02-29,13,6,NULL,NULL,NULL
2020-03-01,39,12,NULL,NULL,NULL
2020-03-02,36,17,NULL,NULL,NULL
2020-03-03,45,23,NULL,NULL,NULL
2020-03-04,57,30,NULL,NULL,NULL
2020-03-05,37,35,NULL,NULL,NULL
2020-03-06,141,53,NULL,NULL,NULL
2020-03-07,100,65,NULL,NULL,NULL
2020-03-08,173,84,NULL,NULL,NULL
2020-03-09,400,136,NULL,NULL,NULL
2020-03-10,622,219,NULL,NULL,NULL
2020-03-11,582,294,NULL,NULL,NULL
2020-03-12,0,288,NULL,NULL,NULL
2020-03-13,2955,690,NULL,NULL,NULL
2020-03-14,1159,842,NULL,NULL,NULL
2020-03-15,1407,1018,NULL,NULL,NULL
2020-03-16,2144,1267,NULL,NULL,NULL
2020-03-17,1806,1436,NULL,NULL,NULL
2020-03-18,2162,1662,NULL,NULL,NULL
2020-03-19,4053,2241,NULL,NULL,NULL
2020-03-20,2447,2168,NULL,NULL,NULL
2020-03-21,4964,2712,NULL,NULL,NULL
2020-03-22,3394,2996,NULL,NULL,NULL
2020-03-23,6368,3599,NULL,NULL,NULL
2020-03-24,4749,4020,NULL,NULL,NULL
2020-03-25,9630,5086,NULL,NULL,NULL
2020-03-26,8271,5689,NULL,NULL,NULL
2020-03-27,7933,6473,NULL,NULL,NULL
2020-03-28,7516,6837,NULL,NULL,NULL
2020-03-29,6875,7335,NULL,NULL,NULL
2020-03-30,7846,7546,NULL,NULL,NULL
2020-03-31,7967,8005,NULL,NULL,NULL
2020-04-01,8195,7800,NULL,NULL,NULL
2020-04-02,7947,7754,NULL,NULL,NULL
2020-04-03,7134,7640,NULL,NULL,NULL
2020-04-04,6969,7562,NULL,NULL,NULL
2020-04-05,5478,7362,NULL,NULL,NULL
2020-04-06,5029,6960,NULL,NULL,NULL
2020-04-07,5267,6574,NULL,NULL,NULL
2020-04-08,6278,6300,NULL,NULL,NULL
2020-04-09,5002,5880,NULL,NULL,NULL
2020-04-10,5051,5582,NULL,NULL,NULL
2020-04-11,4754,5266,NULL,NULL,NULL
2020-04-12,3804,5026,NULL,NULL,NULL
2020-04-13,3268,4775,NULL,NULL,NULL
2020-04-14,2442,4371,NULL,NULL,NULL
2020-04-15,5103,4203,NULL,NULL,NULL
2020-04-16,7304,4532,NULL,NULL,NULL
2020-04-17,5891,4652,NULL,NULL,NULL
2020-04-18,887,4100,NULL,NULL,NULL
2020-04-19,6948,4549,NULL,NULL,NULL
2020-04-20,1536,4302,NULL,NULL,NULL
2020-04-21,3968,4520,NULL,NULL,NULL
2020-04-22,4211,4392,NULL,NULL,NULL
2020-04-23,4635,4011,NULL,NULL,NULL
2020-04-24,-10034,1736,NULL,NULL,NULL
2020-04-25,2915,2026,NULL,NULL,NULL
2020-04-26,1729,1280,NULL,NULL,NULL
2020-04-27,1831,1322,NULL,NULL,NULL
