Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,1,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,1,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,1,0,NULL,NULL,NULL
2020-03-06,7,1,NULL,NULL,NULL
2020-03-07,0,1,NULL,NULL,NULL
2020-03-08,0,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,2,1,NULL,NULL,NULL
2020-03-11,4,2,NULL,NULL,NULL
2020-03-12,0,2,NULL,NULL,NULL
2020-03-13,63,10,NULL,NULL,NULL
2020-03-14,36,15,NULL,NULL,NULL
2020-03-15,56,23,NULL,NULL,NULL
2020-03-16,34,28,NULL,NULL,NULL
2020-03-17,20,30,NULL,NULL,NULL
2020-03-18,33,35,NULL,NULL,NULL
2020-03-19,9,36,NULL,NULL,NULL
2020-03-20,16,29,NULL,NULL,NULL
2020-03-21,23,27,NULL,NULL,NULL
2020-03-22,20,22,NULL,NULL,NULL
2020-03-23,26,21,NULL,NULL,NULL
2020-03-24,17,21,NULL,NULL,NULL
2020-03-25,35,21,NULL,NULL,NULL
2020-03-26,134,39,NULL,NULL,NULL
2020-03-27,37,42,NULL,NULL,NULL
2020-03-28,70,48,NULL,NULL,NULL
2020-03-29,34,50,NULL,NULL,NULL
2020-03-30,36,52,NULL,NULL,NULL
2020-03-31,30,54,NULL,NULL,NULL
2020-04-01,34,54,NULL,NULL,NULL
2020-04-02,79,46,NULL,NULL,NULL
2020-04-03,103,55,NULL,NULL,NULL
2020-04-04,78,56,NULL,NULL,NULL
2020-04-05,58,60,NULL,NULL,NULL
2020-04-06,11,56,NULL,NULL,NULL
2020-04-07,41,58,NULL,NULL,NULL
2020-04-08,36,58,NULL,NULL,NULL
2020-04-09,22,50,NULL,NULL,NULL
2020-04-10,51,42,NULL,NULL,NULL
2020-04-11,46,38,NULL,NULL,NULL
2020-04-12,5,30,NULL,NULL,NULL
2020-04-13,23,32,NULL,NULL,NULL
2020-04-14,41,32,NULL,NULL,NULL
2020-04-15,27,31,NULL,NULL,NULL
2020-04-16,34,32,NULL,NULL,NULL
2020-04-17,25,29,NULL,NULL,NULL
2020-04-18,53,30,NULL,NULL,NULL
2020-04-19,16,31,NULL,NULL,NULL
2020-04-20,7,29,NULL,NULL,NULL
2020-04-21,17,26,NULL,NULL,NULL
2020-04-22,7,23,NULL,NULL,NULL
2020-04-23,33,23,NULL,NULL,NULL
2020-04-24,13,21,NULL,NULL,NULL
2020-04-25,30,18,NULL,NULL,NULL
2020-04-26,8,16,NULL,NULL,NULL
2020-04-27,4,16,NULL,NULL,NULL
2020-04-28,13,15,NULL,NULL,NULL
2020-04-29,6,15,NULL,NULL,NULL
2020-04-30,23,14,NULL,NULL,NULL
2020-05-01,5,13,NULL,NULL,NULL
