Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,1,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,1,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,1,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,1,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,1,0,NULL,NULL,NULL
2020-02-29,3,1,NULL,NULL,NULL
2020-03-01,1,1,NULL,NULL,NULL
2020-03-02,1,1,NULL,NULL,NULL
2020-03-03,0,1,NULL,NULL,NULL
2020-03-04,4,1,NULL,NULL,NULL
2020-03-05,6,2,NULL,NULL,NULL
2020-03-06,1,2,NULL,NULL,NULL
2020-03-07,7,3,NULL,NULL,NULL
2020-03-08,7,4,NULL,NULL,NULL
2020-03-09,9,5,NULL,NULL,NULL
2020-03-10,17,7,NULL,NULL,NULL
2020-03-11,54,14,NULL,NULL,NULL
2020-03-12,76,24,NULL,NULL,NULL
2020-03-13,60,33,NULL,NULL,NULL
2020-03-14,28,36,NULL,NULL,NULL
2020-03-15,29,39,NULL,NULL,NULL
2020-03-16,53,45,NULL,NULL,NULL
2020-03-17,52,50,NULL,NULL,NULL
2020-03-18,47,49,NULL,NULL,NULL
2020-03-19,90,51,NULL,NULL,NULL
2020-03-20,99,57,NULL,NULL,NULL
2020-03-21,87,65,NULL,NULL,NULL
2020-03-22,87,74,NULL,NULL,NULL
2020-03-23,78,77,NULL,NULL,NULL
2020-03-24,84,82,NULL,NULL,NULL
2020-03-25,99,89,NULL,NULL,NULL
2020-03-26,104,91,NULL,NULL,NULL
2020-03-27,113,93,NULL,NULL,NULL
2020-03-28,95,94,NULL,NULL,NULL
2020-03-29,77,93,NULL,NULL,NULL
2020-03-30,70,92,NULL,NULL,NULL
2020-03-31,129,98,NULL,NULL,NULL
2020-04-01,125,102,NULL,NULL,NULL
2020-04-02,149,108,NULL,NULL,NULL
2020-04-03,161,115,NULL,NULL,NULL
2020-04-04,199,130,NULL,NULL,NULL
2020-04-05,81,131,NULL,NULL,NULL
2020-04-06,122,138,NULL,NULL,NULL
2020-04-07,209,149,NULL,NULL,NULL
2020-04-08,200,160,NULL,NULL,NULL
2020-04-09,138,159,NULL,NULL,NULL
2020-04-10,158,158,NULL,NULL,NULL
2020-04-11,71,140,NULL,NULL,NULL
2020-04-12,75,139,NULL,NULL,NULL
2020-04-13,80,133,NULL,NULL,NULL
2020-04-14,117,120,NULL,NULL,NULL
2020-04-15,175,116,NULL,NULL,NULL
2020-04-16,130,115,NULL,NULL,NULL
2020-04-17,120,110,NULL,NULL,NULL
2020-04-18,125,117,NULL,NULL,NULL
2020-04-19,56,115,NULL,NULL,NULL
2020-04-20,67,113,NULL,NULL,NULL
2020-04-21,143,117,NULL,NULL,NULL
2020-04-22,112,108,NULL,NULL,NULL
2020-04-23,124,107,NULL,NULL,NULL
2020-04-24,116,106,NULL,NULL,NULL
2020-04-25,92,101,NULL,NULL,NULL
2020-04-26,76,104,NULL,NULL,NULL
2020-04-27,73,105,NULL,NULL,NULL
2020-04-28,123,102,NULL,NULL,NULL
2020-04-29,139,106,NULL,NULL,NULL
2020-04-30,108,104,NULL,NULL,NULL
2020-05-01,86,100,NULL,NULL,NULL
