Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,2,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,6,1,NULL,NULL,NULL
2020-02-04,0,1,NULL,NULL,NULL
2020-02-05,1,1,NULL,NULL,NULL
2020-02-06,0,1,NULL,NULL,NULL
2020-02-07,0,1,NULL,NULL,NULL
2020-02-08,4,2,NULL,NULL,NULL
2020-02-09,1,2,NULL,NULL,NULL
2020-02-10,0,1,NULL,NULL,NULL
2020-02-11,1,1,NULL,NULL,NULL
2020-02-12,1,1,NULL,NULL,NULL
2020-02-13,1,1,NULL,NULL,NULL
2020-02-14,1,1,NULL,NULL,NULL
2020-02-15,0,1,NULL,NULL,NULL
2020-02-16,0,1,NULL,NULL,NULL
2020-02-17,1,1,NULL,NULL,NULL
2020-02-18,0,1,NULL,NULL,NULL
2020-02-19,1,1,NULL,NULL,NULL
2020-02-20,2,1,NULL,NULL,NULL
2020-02-21,1,1,NULL,NULL,NULL
2020-02-22,0,1,NULL,NULL,NULL
2020-02-23,5,1,NULL,NULL,NULL
2020-02-24,2,2,NULL,NULL,NULL
2020-02-25,4,2,NULL,NULL,NULL
2020-02-26,3,2,NULL,NULL,NULL
2020-02-27,7,3,NULL,NULL,NULL
2020-02-28,12,5,NULL,NULL,NULL
2020-02-29,5,5,NULL,NULL,NULL
2020-03-01,33,9,NULL,NULL,NULL
2020-03-02,40,15,NULL,NULL,NULL
2020-03-03,55,22,NULL,NULL,NULL
2020-03-04,57,30,NULL,NULL,NULL
2020-03-05,49,36,NULL,NULL,NULL
2020-03-06,79,45,NULL,NULL,NULL
2020-03-07,55,53,NULL,NULL,NULL
2020-03-08,54,56,NULL,NULL,NULL
2020-03-09,147,71,NULL,NULL,NULL
2020-03-10,259,100,NULL,NULL,NULL
2020-03-11,412,151,NULL,NULL,NULL
2020-03-12,489,214,NULL,NULL,NULL
2020-03-13,480,271,NULL,NULL,NULL
2020-03-14,364,315,NULL,NULL,NULL
2020-03-15,443,371,NULL,NULL,NULL
2020-03-16,615,437,NULL,NULL,NULL
2020-03-17,770,510,NULL,NULL,NULL
2020-03-18,1006,595,NULL,NULL,NULL
2020-03-19,1066,678,NULL,NULL,NULL
2020-03-20,1258,789,NULL,NULL,NULL
2020-03-21,1215,910,NULL,NULL,NULL
2020-03-22,1423,1050,NULL,NULL,NULL
2020-03-23,2353,1299,NULL,NULL,NULL
2020-03-24,2392,1530,NULL,NULL,NULL
2020-03-25,2718,1775,NULL,NULL,NULL
2020-03-26,3131,2070,NULL,NULL,NULL
2020-03-27,3267,2357,NULL,NULL,NULL
2020-03-28,2861,2592,NULL,NULL,NULL
2020-03-29,2905,2804,NULL,NULL,NULL
2020-03-30,4335,3087,NULL,NULL,NULL
2020-03-31,4537,3393,NULL,NULL,NULL
2020-04-01,4998,3719,NULL,NULL,NULL
2020-04-02,4960,3980,NULL,NULL,NULL
2020-04-03,4990,4227,NULL,NULL,NULL
2020-04-04,4124,4407,NULL,NULL,NULL
2020-04-05,3667,4516,NULL,NULL,NULL
2020-04-06,5370,4664,NULL,NULL,NULL
2020-04-07,5496,4801,NULL,NULL,NULL
2020-04-08,5186,4828,NULL,NULL,NULL
2020-04-09,4922,4822,NULL,NULL,NULL
2020-04-10,4376,4734,NULL,NULL,NULL
2020-04-11,3637,4665,NULL,NULL,NULL
2020-04-12,3560,4650,NULL,NULL,NULL
2020-04-13,4214,4484,NULL,NULL,NULL
2020-04-14,4363,4323,NULL,NULL,NULL
2020-04-15,5109,4312,NULL,NULL,NULL
2020-04-16,5348,4372,NULL,NULL,NULL
2020-04-17,4998,4461,NULL,NULL,NULL
2020-04-18,4745,4620,NULL,NULL,NULL
2020-04-19,3871,4664,NULL,NULL,NULL
2020-04-20,4877,4759,NULL,NULL,NULL
2020-04-21,4779,4818,NULL,NULL,NULL
2020-04-22,5508,4875,NULL,NULL,NULL
2020-04-23,5176,4851,NULL,NULL,NULL
2020-04-24,4982,4848,NULL,NULL,NULL
2020-04-25,3785,4711,NULL,NULL,NULL
2020-04-26,3475,4655,NULL,NULL,NULL
2020-04-27,4707,4630,NULL,NULL,NULL
