Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,1,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,1,0,NULL,NULL,NULL
2020-02-03,1,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,2,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,23,4,NULL,NULL,NULL
2020-03-05,2,4,NULL,NULL,NULL
2020-03-06,1,4,NULL,NULL,NULL
2020-03-07,3,4,NULL,NULL,NULL
2020-03-08,5,5,NULL,NULL,NULL
2020-03-09,4,5,NULL,NULL,NULL
2020-03-10,13,7,NULL,NULL,NULL
2020-03-11,6,5,NULL,NULL,NULL
2020-03-12,11,6,NULL,NULL,NULL
2020-03-13,9,7,NULL,NULL,NULL
2020-03-14,20,10,NULL,NULL,NULL
2020-03-15,11,11,NULL,NULL,NULL
2020-03-16,6,11,NULL,NULL,NULL
2020-03-17,23,12,NULL,NULL,NULL
2020-03-18,14,13,NULL,NULL,NULL
2020-03-19,38,17,NULL,NULL,NULL
2020-03-20,50,23,NULL,NULL,NULL
2020-03-21,86,33,NULL,NULL,NULL
2020-03-22,66,40,NULL,NULL,NULL
2020-03-23,103,54,NULL,NULL,NULL
2020-03-24,37,56,NULL,NULL,NULL
2020-03-25,121,72,NULL,NULL,NULL
2020-03-26,70,76,NULL,NULL,NULL
2020-03-27,160,92,NULL,NULL,NULL
2020-03-28,100,94,NULL,NULL,NULL
2020-03-29,37,90,NULL,NULL,NULL
2020-03-30,227,107,NULL,NULL,NULL
2020-03-31,146,123,NULL,NULL,NULL
2020-04-01,601,192,NULL,NULL,NULL
2020-04-02,545,259,NULL,NULL,NULL
2020-04-03,24,240,NULL,NULL,NULL
2020-04-04,515,299,NULL,NULL,NULL
2020-04-05,506,366,NULL,NULL,NULL
2020-04-06,1190,504,NULL,NULL,NULL
2020-04-07,533,559,NULL,NULL,NULL
2020-04-08,605,560,NULL,NULL,NULL
2020-04-09,809,597,NULL,NULL,NULL
2020-04-10,873,719,NULL,NULL,NULL
2020-04-11,848,766,NULL,NULL,NULL
2020-04-12,759,802,NULL,NULL,NULL
2020-04-13,1248,811,NULL,NULL,NULL
2020-04-14,1034,882,NULL,NULL,NULL
2020-04-15,835,915,NULL,NULL,NULL
2020-04-16,1108,958,NULL,NULL,NULL
2020-04-17,922,965,NULL,NULL,NULL
2020-04-18,1370,1039,NULL,NULL,NULL
2020-04-19,1893,1201,NULL,NULL,NULL
2020-04-20,924,1155,NULL,NULL,NULL
2020-04-21,1541,1228,NULL,NULL,NULL
2020-04-22,1290,1293,NULL,NULL,NULL
2020-04-23,1707,1378,NULL,NULL,NULL
2020-04-24,1453,1454,NULL,NULL,NULL
2020-04-25,1753,1509,NULL,NULL,NULL
2020-04-26,1607,1468,NULL,NULL,NULL
2020-04-27,1561,1559,NULL,NULL,NULL
2020-04-28,1873,1606,NULL,NULL,NULL
2020-04-29,1738,1670,NULL,NULL,NULL
2020-04-30,1801,1684,NULL,NULL,NULL
