Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,1,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,1,0,NULL,NULL,NULL
2020-03-04,4,1,NULL,NULL,NULL
2020-03-05,0,1,NULL,NULL,NULL
2020-03-06,12,3,NULL,NULL,NULL
2020-03-07,0,2,NULL,NULL,NULL
2020-03-08,1,3,NULL,NULL,NULL
2020-03-09,2,3,NULL,NULL,NULL
2020-03-10,13,5,NULL,NULL,NULL
2020-03-11,9,5,NULL,NULL,NULL
2020-03-12,0,5,NULL,NULL,NULL
2020-03-13,47,10,NULL,NULL,NULL
2020-03-14,39,16,NULL,NULL,NULL
2020-03-15,0,16,NULL,NULL,NULL
2020-03-16,40,21,NULL,NULL,NULL
2020-03-17,54,27,NULL,NULL,NULL
2020-03-18,69,36,NULL,NULL,NULL
2020-03-19,265,73,NULL,NULL,NULL
2020-03-20,126,85,NULL,NULL,NULL
2020-03-21,102,94,NULL,NULL,NULL
2020-03-22,121,111,NULL,NULL,NULL
2020-03-23,219,137,NULL,NULL,NULL
2020-03-24,204,158,NULL,NULL,NULL
2020-03-25,235,182,NULL,NULL,NULL
2020-03-26,255,180,NULL,NULL,NULL
2020-03-27,302,205,NULL,NULL,NULL
2020-03-28,294,233,NULL,NULL,NULL
2020-03-29,200,244,NULL,NULL,NULL
2020-03-30,295,255,NULL,NULL,NULL
2020-03-31,325,272,NULL,NULL,NULL
2020-04-01,212,269,NULL,NULL,NULL
2020-04-02,402,290,NULL,NULL,NULL
2020-04-03,424,307,NULL,NULL,NULL
2020-04-04,331,313,NULL,NULL,NULL
2020-04-05,390,340,NULL,NULL,NULL
2020-04-06,370,351,NULL,NULL,NULL
2020-04-07,345,353,NULL,NULL,NULL
2020-04-08,365,375,NULL,NULL,NULL
2020-04-09,500,389,NULL,NULL,NULL
2020-04-10,1515,545,NULL,NULL,NULL
2020-04-11,839,618,NULL,NULL,NULL
2020-04-12,727,666,NULL,NULL,NULL
2020-04-13,992,755,NULL,NULL,NULL
2020-04-14,832,824,NULL,NULL,NULL
2020-04-15,1068,925,NULL,NULL,NULL
2020-04-16,724,957,NULL,NULL,NULL
2020-04-17,709,842,NULL,NULL,NULL
2020-04-18,778,833,NULL,NULL,NULL
2020-04-19,493,799,NULL,NULL,NULL
2020-04-20,401,715,NULL,NULL,NULL
2020-04-21,388,652,NULL,NULL,NULL
2020-04-22,631,589,NULL,NULL,NULL
2020-04-23,936,619,NULL,NULL,NULL
2020-04-24,577,601,NULL,NULL,NULL
2020-04-25,377,543,NULL,NULL,NULL
2020-04-26,701,573,NULL,NULL,NULL
2020-04-27,386,571,NULL,NULL,NULL
2020-04-28,229,548,NULL,NULL,NULL
2020-04-29,376,512,NULL,NULL,NULL
2020-04-30,359,429,NULL,NULL,NULL
2020-05-01,221,378,NULL,NULL,NULL
