Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,2,0,NULL,NULL,NULL
2020-02-20,3,0,NULL,NULL,NULL
2020-02-21,13,2,NULL,NULL,NULL
2020-02-22,10,4,NULL,NULL,NULL
2020-02-23,14,6,NULL,NULL,NULL
2020-02-24,17,8,NULL,NULL,NULL
2020-02-25,34,13,NULL,NULL,NULL
2020-02-26,43,19,NULL,NULL,NULL
2020-02-27,105,34,NULL,NULL,NULL
2020-02-28,143,52,NULL,NULL,NULL
2020-02-29,205,80,NULL,NULL,NULL
2020-03-01,384,133,NULL,NULL,NULL
2020-03-02,523,205,NULL,NULL,NULL
2020-03-03,835,320,NULL,NULL,NULL
2020-03-04,585,397,NULL,NULL,NULL
2020-03-05,591,466,NULL,NULL,NULL
2020-03-06,1234,622,NULL,NULL,NULL
2020-03-07,1075,747,NULL,NULL,NULL
2020-03-08,742,798,NULL,NULL,NULL
2020-03-09,595,808,NULL,NULL,NULL
2020-03-10,880,815,NULL,NULL,NULL
2020-03-11,957,868,NULL,NULL,NULL
2020-03-12,1074,937,NULL,NULL,NULL
2020-03-13,1288,945,NULL,NULL,NULL
2020-03-14,1364,986,NULL,NULL,NULL
2020-03-15,1209,1053,NULL,NULL,NULL
2020-03-16,1052,1118,NULL,NULL,NULL
2020-03-17,1178,1160,NULL,NULL,NULL
2020-03-18,1191,1194,NULL,NULL,NULL
2020-03-19,1046,1190,NULL,NULL,NULL
2020-03-20,1236,1182,NULL,NULL,NULL
2020-03-21,965,1125,NULL,NULL,NULL
2020-03-22,1027,1099,NULL,NULL,NULL
2020-03-23,1410,1151,NULL,NULL,NULL
2020-03-24,1762,1234,NULL,NULL,NULL
2020-03-25,2206,1379,NULL,NULL,NULL
2020-03-26,2388,1571,NULL,NULL,NULL
2020-03-27,2926,1812,NULL,NULL,NULL
2020-03-28,3075,2113,NULL,NULL,NULL
2020-03-29,2901,2381,NULL,NULL,NULL
2020-03-30,3185,2635,NULL,NULL,NULL
2020-03-31,3110,2827,NULL,NULL,NULL
2020-04-01,2988,2939,NULL,NULL,NULL
2020-04-02,2874,3008,NULL,NULL,NULL
2020-04-03,2714,2978,NULL,NULL,NULL
2020-04-04,2560,2905,NULL,NULL,NULL
2020-04-05,2483,2845,NULL,NULL,NULL
2020-04-06,2273,2714,NULL,NULL,NULL
2020-04-07,2089,2569,NULL,NULL,NULL
2020-04-08,1996,2427,NULL,NULL,NULL
2020-04-09,1634,2250,NULL,NULL,NULL
2020-04-10,1971,2144,NULL,NULL,NULL
2020-04-11,1836,2040,NULL,NULL,NULL
2020-04-12,1657,1922,NULL,NULL,NULL
2020-04-13,1617,1829,NULL,NULL,NULL
2020-04-14,1573,1755,NULL,NULL,NULL
2020-04-15,1511,1686,NULL,NULL,NULL
2020-04-16,1606,1682,NULL,NULL,NULL
2020-04-17,1498,1614,NULL,NULL,NULL
2020-04-18,1373,1548,NULL,NULL,NULL
2020-04-19,1343,1503,NULL,NULL,NULL
2020-04-20,1293,1457,NULL,NULL,NULL
2020-04-21,1297,1417,NULL,NULL,NULL
2020-04-22,1193,1372,NULL,NULL,NULL
2020-04-23,1030,1290,NULL,NULL,NULL
2020-04-24,1167,1242,NULL,NULL,NULL
2020-04-25,1134,1208,NULL,NULL,NULL
2020-04-26,1152,1181,NULL,NULL,NULL
2020-04-27,991,1138,NULL,NULL,NULL
