Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,1,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,2,0,NULL,NULL,NULL
2020-03-02,3,0,NULL,NULL,NULL
2020-03-03,5,1,NULL,NULL,NULL
2020-03-04,14,3,NULL,NULL,NULL
2020-03-05,8,4,NULL,NULL,NULL
2020-03-06,8,5,NULL,NULL,NULL
2020-03-07,6,6,NULL,NULL,NULL
2020-03-08,0,6,NULL,NULL,NULL
2020-03-09,7,7,NULL,NULL,NULL
2020-03-10,11,8,NULL,NULL,NULL
2020-03-11,15,8,NULL,NULL,NULL
2020-03-12,18,9,NULL,NULL,NULL
2020-03-13,30,12,NULL,NULL,NULL
2020-03-14,22,15,NULL,NULL,NULL
2020-03-15,15,17,NULL,NULL,NULL
2020-03-16,8,17,NULL,NULL,NULL
2020-03-17,39,21,NULL,NULL,NULL
2020-03-18,30,23,NULL,NULL,NULL
2020-03-19,79,32,NULL,NULL,NULL
2020-03-20,78,39,NULL,NULL,NULL
2020-03-21,64,45,NULL,NULL,NULL
2020-03-22,95,56,NULL,NULL,NULL
2020-03-23,20,58,NULL,NULL,NULL
2020-03-24,59,61,NULL,NULL,NULL
2020-03-25,89,69,NULL,NULL,NULL
2020-03-26,65,67,NULL,NULL,NULL
2020-03-27,88,68,NULL,NULL,NULL
2020-03-28,72,70,NULL,NULL,NULL
2020-03-29,56,64,NULL,NULL,NULL
2020-03-30,66,71,NULL,NULL,NULL
2020-03-31,49,69,NULL,NULL,NULL
2020-04-01,84,68,NULL,NULL,NULL
2020-04-02,99,73,NULL,NULL,NULL
2020-04-03,44,67,NULL,NULL,NULL
2020-04-04,53,64,NULL,NULL,NULL
2020-04-05,68,66,NULL,NULL,NULL
2020-04-06,75,68,NULL,NULL,NULL
2020-04-07,24,64,NULL,NULL,NULL
2020-04-08,30,56,NULL,NULL,NULL
2020-04-09,32,47,NULL,NULL,NULL
2020-04-10,27,44,NULL,NULL,NULL
2020-04-11,13,38,NULL,NULL,NULL
2020-04-12,11,30,NULL,NULL,NULL
2020-04-13,10,21,NULL,NULL,NULL
2020-04-14,8,19,NULL,NULL,NULL
2020-04-15,6,15,NULL,NULL,NULL
2020-04-16,11,12,NULL,NULL,NULL
2020-04-17,15,11,NULL,NULL,NULL
2020-04-18,5,10,NULL,NULL,NULL
2020-04-19,10,9,NULL,NULL,NULL
2020-04-20,1,8,NULL,NULL,NULL
2020-04-21,5,8,NULL,NULL,NULL
2020-04-22,6,8,NULL,NULL,NULL
2020-04-23,3,7,NULL,NULL,NULL
2020-04-24,0,4,NULL,NULL,NULL
2020-04-25,0,4,NULL,NULL,NULL
2020-04-26,1,3,NULL,NULL,NULL
2020-04-27,0,2,NULL,NULL,NULL
2020-04-28,2,2,NULL,NULL,NULL
2020-04-29,1,1,NULL,NULL,NULL
2020-04-30,0,1,NULL,NULL,NULL
2020-05-01,0,1,NULL,NULL,NULL
