Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,1,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,1,0,NULL,NULL,NULL
2020-02-27,1,0,NULL,NULL,NULL
2020-02-28,3,1,NULL,NULL,NULL
2020-02-29,0,1,NULL,NULL,NULL
2020-03-01,1,1,NULL,NULL,NULL
2020-03-02,5,2,NULL,NULL,NULL
2020-03-03,3,2,NULL,NULL,NULL
2020-03-04,0,2,NULL,NULL,NULL
2020-03-05,6,3,NULL,NULL,NULL
2020-03-06,16,4,NULL,NULL,NULL
2020-03-07,10,6,NULL,NULL,NULL
2020-03-08,9,7,NULL,NULL,NULL
2020-03-09,4,7,NULL,NULL,NULL
2020-03-10,28,10,NULL,NULL,NULL
2020-03-11,-28,6,NULL,NULL,NULL
2020-03-12,21,9,NULL,NULL,NULL
2020-03-13,31,11,NULL,NULL,NULL
2020-03-14,26,13,NULL,NULL,NULL
2020-03-15,39,17,NULL,NULL,NULL
2020-03-16,74,27,NULL,NULL,NULL
2020-03-17,44,30,NULL,NULL,NULL
2020-03-18,76,44,NULL,NULL,NULL
2020-03-19,15,44,NULL,NULL,NULL
2020-03-20,242,74,NULL,NULL,NULL
2020-03-21,215,101,NULL,NULL,NULL
2020-03-22,237,129,NULL,NULL,NULL
2020-03-23,169,143,NULL,NULL,NULL
2020-03-24,102,151,NULL,NULL,NULL
2020-03-25,1117,300,NULL,NULL,NULL
2020-03-26,520,372,NULL,NULL,NULL
2020-03-27,433,399,NULL,NULL,NULL
2020-03-28,480,437,NULL,NULL,NULL
2020-03-29,532,479,NULL,NULL,NULL
2020-03-30,546,533,NULL,NULL,NULL
2020-03-31,738,624,NULL,NULL,NULL
2020-04-01,696,564,NULL,NULL,NULL
2020-04-02,719,592,NULL,NULL,NULL
2020-04-03,597,615,NULL,NULL,NULL
2020-04-04,428,608,NULL,NULL,NULL
2020-04-05,583,615,NULL,NULL,NULL
2020-04-06,451,602,NULL,NULL,NULL
2020-04-07,377,550,NULL,NULL,NULL
2020-04-08,338,499,NULL,NULL,NULL
2020-04-09,343,445,NULL,NULL,NULL
2020-04-10,358,411,NULL,NULL,NULL
2020-04-11,345,399,NULL,NULL,NULL
2020-04-12,552,395,NULL,NULL,NULL
2020-04-13,438,393,NULL,NULL,NULL
2020-04-14,399,396,NULL,NULL,NULL
2020-04-15,311,392,NULL,NULL,NULL
2020-04-16,296,386,NULL,NULL,NULL
2020-04-17,298,377,NULL,NULL,NULL
2020-04-18,291,369,NULL,NULL,NULL
2020-04-19,276,330,NULL,NULL,NULL
2020-04-20,299,310,NULL,NULL,NULL
2020-04-21,282,293,NULL,NULL,NULL
2020-04-22,225,281,NULL,NULL,NULL
2020-04-23,276,278,NULL,NULL,NULL
2020-04-24,248,271,NULL,NULL,NULL
2020-04-25,159,252,NULL,NULL,NULL
2020-04-26,83,225,NULL,NULL,NULL
2020-04-27,128,200,NULL,NULL,NULL
2020-04-28,159,183,NULL,NULL,NULL
2020-04-29,82,162,NULL,NULL,NULL
2020-04-30,142,143,NULL,NULL,NULL
2020-05-01,116,124,NULL,NULL,NULL
