Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,2,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,16,2,NULL,NULL,NULL
2020-02-22,42,8,NULL,NULL,NULL
2020-02-23,93,21,NULL,NULL,NULL
2020-02-24,74,32,NULL,NULL,NULL
2020-02-25,93,45,NULL,NULL,NULL
2020-02-26,131,64,NULL,NULL,NULL
2020-02-27,201,93,NULL,NULL,NULL
2020-02-28,233,124,NULL,NULL,NULL
2020-02-29,239,152,NULL,NULL,NULL
2020-03-01,565,219,NULL,NULL,NULL
2020-03-02,342,258,NULL,NULL,NULL
2020-03-03,466,311,NULL,NULL,NULL
2020-03-04,586,376,NULL,NULL,NULL
2020-03-05,769,457,NULL,NULL,NULL
2020-03-06,778,535,NULL,NULL,NULL
2020-03-07,1246,679,NULL,NULL,NULL
2020-03-08,1491,811,NULL,NULL,NULL
2020-03-09,1796,1019,NULL,NULL,NULL
2020-03-10,977,1092,NULL,NULL,NULL
2020-03-11,2312,1338,NULL,NULL,NULL
2020-03-12,2651,1607,NULL,NULL,NULL
2020-03-13,2547,1860,NULL,NULL,NULL
2020-03-14,3496,2181,NULL,NULL,NULL
2020-03-15,3590,2481,NULL,NULL,NULL
2020-03-16,3232,2686,NULL,NULL,NULL
2020-03-17,3525,3050,NULL,NULL,NULL
2020-03-18,4207,3321,NULL,NULL,NULL
2020-03-19,5322,3703,NULL,NULL,NULL
2020-03-20,5985,4194,NULL,NULL,NULL
2020-03-21,6556,4631,NULL,NULL,NULL
2020-03-22,5559,4912,NULL,NULL,NULL
2020-03-23,4789,5135,NULL,NULL,NULL
2020-03-24,5248,5381,NULL,NULL,NULL
2020-03-25,5210,5524,NULL,NULL,NULL
2020-03-26,6203,5650,NULL,NULL,NULL
2020-03-27,5908,5639,NULL,NULL,NULL
2020-03-28,5973,5556,NULL,NULL,NULL
2020-03-29,5217,5507,NULL,NULL,NULL
2020-03-30,4049,5401,NULL,NULL,NULL
2020-03-31,4052,5230,NULL,NULL,NULL
2020-04-01,4782,5169,NULL,NULL,NULL
2020-04-02,4668,4950,NULL,NULL,NULL
2020-04-03,4585,4761,NULL,NULL,NULL
2020-04-04,4804,4594,NULL,NULL,NULL
2020-04-05,4316,4465,NULL,NULL,NULL
2020-04-06,3598,4401,NULL,NULL,NULL
2020-04-07,3038,4256,NULL,NULL,NULL
2020-04-08,3836,4121,NULL,NULL,NULL
2020-04-09,4204,4054,NULL,NULL,NULL
2020-04-10,3950,3964,NULL,NULL,NULL
2020-04-11,4694,3948,NULL,NULL,NULL
2020-04-12,4092,3916,NULL,NULL,NULL
2020-04-13,3152,3852,NULL,NULL,NULL
2020-04-14,2971,3843,NULL,NULL,NULL
2020-04-15,2667,3676,NULL,NULL,NULL
2020-04-16,3786,3616,NULL,NULL,NULL
2020-04-17,3492,3550,NULL,NULL,NULL
2020-04-18,3490,3379,NULL,NULL,NULL
2020-04-19,3047,3229,NULL,NULL,NULL
2020-04-20,2256,3101,NULL,NULL,NULL
2020-04-21,2728,3067,NULL,NULL,NULL
2020-04-22,3370,3167,NULL,NULL,NULL
2020-04-23,2645,3004,NULL,NULL,NULL
2020-04-24,3020,2937,NULL,NULL,NULL
2020-04-25,2357,2775,NULL,NULL,NULL
2020-04-26,2323,2671,NULL,NULL,NULL
