Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,2,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,2,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,4,1,NULL,NULL,NULL
2020-01-31,3,1,NULL,NULL,NULL
2020-02-01,5,2,NULL,NULL,NULL
2020-02-02,0,2,NULL,NULL,NULL
2020-02-03,0,2,NULL,NULL,NULL
2020-02-04,1,2,NULL,NULL,NULL
2020-02-05,1,2,NULL,NULL,NULL
2020-02-06,0,1,NULL,NULL,NULL
2020-02-07,0,1,NULL,NULL,NULL
2020-02-08,1,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,2,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,4,1,NULL,NULL,NULL
2020-02-14,9,2,NULL,NULL,NULL
2020-02-15,11,4,NULL,NULL,NULL
2020-02-16,5,5,NULL,NULL,NULL
2020-02-17,7,5,NULL,NULL,NULL
2020-02-18,11,7,NULL,NULL,NULL
2020-02-19,6,8,NULL,NULL,NULL
2020-02-20,9,8,NULL,NULL,NULL
2020-02-21,17,9,NULL,NULL,NULL
2020-02-22,25,11,NULL,NULL,NULL
2020-02-23,11,12,NULL,NULL,NULL
2020-02-24,11,13,NULL,NULL,NULL
2020-02-25,12,13,NULL,NULL,NULL
2020-02-26,19,15,NULL,NULL,NULL
2020-02-27,25,17,NULL,NULL,NULL
2020-02-28,18,17,NULL,NULL,NULL
2020-02-29,9,15,NULL,NULL,NULL
2020-03-01,13,15,NULL,NULL,NULL
2020-03-02,18,16,NULL,NULL,NULL
2020-03-03,19,17,NULL,NULL,NULL
2020-03-04,35,20,NULL,NULL,NULL
2020-03-05,31,21,NULL,NULL,NULL
2020-03-06,55,26,NULL,NULL,NULL
2020-03-07,45,31,NULL,NULL,NULL
2020-03-08,32,34,NULL,NULL,NULL
2020-03-09,28,35,NULL,NULL,NULL
2020-03-10,57,41,NULL,NULL,NULL
2020-03-11,55,43,NULL,NULL,NULL
2020-03-12,55,47,NULL,NULL,NULL
2020-03-13,37,44,NULL,NULL,NULL
2020-03-14,62,47,NULL,NULL,NULL
2020-03-15,30,46,NULL,NULL,NULL
2020-03-16,16,45,NULL,NULL,NULL
2020-03-17,50,44,NULL,NULL,NULL
2020-03-18,34,41,NULL,NULL,NULL
2020-03-19,40,38,NULL,NULL,NULL
2020-03-20,53,41,NULL,NULL,NULL
2020-03-21,36,37,NULL,NULL,NULL
2020-03-22,45,39,NULL,NULL,NULL
2020-03-23,39,43,NULL,NULL,NULL
2020-03-24,72,46,NULL,NULL,NULL
2020-03-25,97,55,NULL,NULL,NULL
2020-03-26,102,63,NULL,NULL,NULL
2020-03-27,113,72,NULL,NULL,NULL
2020-03-28,198,95,NULL,NULL,NULL
2020-03-29,178,114,NULL,NULL,NULL
2020-03-30,94,122,NULL,NULL,NULL
2020-03-31,254,148,NULL,NULL,NULL
2020-04-01,280,174,NULL,NULL,NULL
2020-04-02,282,200,NULL,NULL,NULL
2020-04-03,336,232,NULL,NULL,NULL
2020-04-04,370,256,NULL,NULL,NULL
2020-04-05,351,281,NULL,NULL,NULL
2020-04-06,234,301,NULL,NULL,NULL
2020-04-07,375,318,NULL,NULL,NULL
2020-04-08,535,355,NULL,NULL,NULL
2020-04-09,593,399,NULL,NULL,NULL
2020-04-10,635,442,NULL,NULL,NULL
2020-04-11,701,489,NULL,NULL,NULL
2020-04-12,522,513,NULL,NULL,NULL
2020-04-13,299,523,NULL,NULL,NULL
2020-04-14,504,541,NULL,NULL,NULL
2020-04-15,557,544,NULL,NULL,NULL
2020-04-16,563,540,NULL,NULL,NULL
2020-04-17,559,529,NULL,NULL,NULL
2020-04-18,590,513,NULL,NULL,NULL
2020-04-19,366,491,NULL,NULL,NULL
2020-04-20,344,497,NULL,NULL,NULL
2020-04-21,382,480,NULL,NULL,NULL
2020-04-22,396,457,NULL,NULL,NULL
2020-04-23,432,438,NULL,NULL,NULL
2020-04-24,384,413,NULL,NULL,NULL
2020-04-25,332,376,NULL,NULL,NULL
2020-04-26,218,355,NULL,NULL,NULL
2020-04-27,170,331,NULL,NULL,NULL
2020-04-28,284,316,NULL,NULL,NULL
2020-04-29,216,291,NULL,NULL,NULL
2020-04-30,207,259,NULL,NULL,NULL
2020-05-01,273,243,NULL,NULL,NULL
