Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,4,0,NULL,NULL,NULL
2020-03-14,1,0,NULL,NULL,NULL
2020-03-15,2,1,NULL,NULL,NULL
2020-03-16,1,1,NULL,NULL,NULL
2020-03-17,23,4,NULL,NULL,NULL
2020-03-18,2,5,NULL,NULL,NULL
2020-03-19,8,6,NULL,NULL,NULL
2020-03-20,5,6,NULL,NULL,NULL
2020-03-21,4,6,NULL,NULL,NULL
2020-03-22,7,7,NULL,NULL,NULL
2020-03-23,1,7,NULL,NULL,NULL
2020-03-24,9,5,NULL,NULL,NULL
2020-03-25,9,6,NULL,NULL,NULL
2020-03-26,30,9,NULL,NULL,NULL
2020-03-27,39,14,NULL,NULL,NULL
2020-03-28,78,24,NULL,NULL,NULL
2020-03-29,55,31,NULL,NULL,NULL
2020-03-30,18,34,NULL,NULL,NULL
2020-03-31,41,38,NULL,NULL,NULL
2020-04-01,36,42,NULL,NULL,NULL
2020-04-02,54,46,NULL,NULL,NULL
2020-04-03,29,44,NULL,NULL,NULL
2020-04-04,67,43,NULL,NULL,NULL
2020-04-05,53,42,NULL,NULL,NULL
2020-04-06,77,51,NULL,NULL,NULL
2020-04-07,35,50,NULL,NULL,NULL
2020-04-08,29,49,NULL,NULL,NULL
2020-04-09,54,49,NULL,NULL,NULL
2020-04-10,30,49,NULL,NULL,NULL
2020-04-11,53,47,NULL,NULL,NULL
2020-04-12,85,52,NULL,NULL,NULL
2020-04-13,140,61,NULL,NULL,NULL
2020-04-14,140,76,NULL,NULL,NULL
2020-04-15,63,81,NULL,NULL,NULL
2020-04-16,107,88,NULL,NULL,NULL
2020-04-17,143,104,NULL,NULL,NULL
2020-04-18,69,107,NULL,NULL,NULL
2020-04-19,60,103,NULL,NULL,NULL
2020-04-20,176,108,NULL,NULL,NULL
2020-04-21,142,108,NULL,NULL,NULL
2020-04-22,140,119,NULL,NULL,NULL
2020-04-23,153,126,NULL,NULL,NULL
2020-04-24,193,133,NULL,NULL,NULL
2020-04-25,118,140,NULL,NULL,NULL
2020-04-26,116,148,NULL,NULL,NULL
2020-04-27,117,140,NULL,NULL,NULL
2020-04-28,192,147,NULL,NULL,NULL
2020-04-29,110,143,NULL,NULL,NULL
2020-04-30,264,159,NULL,NULL,NULL
2020-05-01,194,159,NULL,NULL,NULL
