Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,1,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,1,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,2,0,NULL,NULL,NULL
2020-03-01,6,1,NULL,NULL,NULL
2020-03-02,3,2,NULL,NULL,NULL
2020-03-03,0,2,NULL,NULL,NULL
2020-03-04,0,2,NULL,NULL,NULL
2020-03-05,3,2,NULL,NULL,NULL
2020-03-06,6,3,NULL,NULL,NULL
2020-03-07,0,3,NULL,NULL,NULL
2020-03-08,10,3,NULL,NULL,NULL
2020-03-09,0,3,NULL,NULL,NULL
2020-03-10,9,4,NULL,NULL,NULL
2020-03-11,20,7,NULL,NULL,NULL
2020-03-12,0,6,NULL,NULL,NULL
2020-03-13,16,8,NULL,NULL,NULL
2020-03-14,16,10,NULL,NULL,NULL
2020-03-15,17,11,NULL,NULL,NULL
2020-03-16,0,11,NULL,NULL,NULL
2020-03-17,10,11,NULL,NULL,NULL
2020-03-18,13,10,NULL,NULL,NULL
2020-03-19,24,14,NULL,NULL,NULL
2020-03-20,6,12,NULL,NULL,NULL
2020-03-21,24,13,NULL,NULL,NULL
2020-03-22,61,20,NULL,NULL,NULL
2020-03-23,19,22,NULL,NULL,NULL
2020-03-24,51,28,NULL,NULL,NULL
2020-03-25,15,29,NULL,NULL,NULL
2020-03-26,35,30,NULL,NULL,NULL
2020-03-27,23,33,NULL,NULL,NULL
2020-03-28,21,32,NULL,NULL,NULL
2020-03-29,26,27,NULL,NULL,NULL
2020-03-30,8,26,NULL,NULL,NULL
2020-03-31,24,22,NULL,NULL,NULL
2020-04-01,9,21,NULL,NULL,NULL
2020-04-02,15,18,NULL,NULL,NULL
2020-04-03,14,17,NULL,NULL,NULL
2020-04-04,12,15,NULL,NULL,NULL
2020-04-05,7,13,NULL,NULL,NULL
2020-04-06,14,14,NULL,NULL,NULL
2020-04-07,7,11,NULL,NULL,NULL
2020-04-08,28,14,NULL,NULL,NULL
2020-04-09,6,13,NULL,NULL,NULL
2020-04-10,27,14,NULL,NULL,NULL
2020-04-11,10,14,NULL,NULL,NULL
2020-04-12,11,15,NULL,NULL,NULL
2020-04-13,2,13,NULL,NULL,NULL
2020-04-14,9,13,NULL,NULL,NULL
2020-04-15,17,12,NULL,NULL,NULL
2020-04-16,5,12,NULL,NULL,NULL
2020-04-17,5,8,NULL,NULL,NULL
2020-04-18,4,8,NULL,NULL,NULL
2020-04-19,1,6,NULL,NULL,NULL
2020-04-20,4,6,NULL,NULL,NULL
2020-04-21,0,5,NULL,NULL,NULL
2020-04-22,5,3,NULL,NULL,NULL
2020-04-23,6,4,NULL,NULL,NULL
2020-04-24,8,4,NULL,NULL,NULL
2020-04-25,8,5,NULL,NULL,NULL
2020-04-26,3,5,NULL,NULL,NULL
2020-04-27,3,5,NULL,NULL,NULL
2020-04-28,7,6,NULL,NULL,NULL
2020-04-29,4,6,NULL,NULL,NULL
2020-04-30,4,5,NULL,NULL,NULL
2020-05-01,4,5,NULL,NULL,NULL
