Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,1,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,2,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,2,0,NULL,NULL,NULL
2020-03-15,3,1,NULL,NULL,NULL
2020-03-16,3,1,NULL,NULL,NULL
2020-03-17,7,2,NULL,NULL,NULL
2020-03-18,7,3,NULL,NULL,NULL
2020-03-19,9,4,NULL,NULL,NULL
2020-03-20,10,6,NULL,NULL,NULL
2020-03-21,21,9,NULL,NULL,NULL
2020-03-22,42,14,NULL,NULL,NULL
2020-03-23,16,16,NULL,NULL,NULL
2020-03-24,38,21,NULL,NULL,NULL
2020-03-25,42,25,NULL,NULL,NULL
2020-03-26,54,32,NULL,NULL,NULL
2020-03-27,28,34,NULL,NULL,NULL
2020-03-28,46,38,NULL,NULL,NULL
2020-03-29,38,38,NULL,NULL,NULL
2020-03-30,46,42,NULL,NULL,NULL
2020-03-31,43,43,NULL,NULL,NULL
2020-04-01,44,43,NULL,NULL,NULL
2020-04-02,67,45,NULL,NULL,NULL
2020-04-03,51,48,NULL,NULL,NULL
2020-04-04,51,49,NULL,NULL,NULL
2020-04-05,33,48,NULL,NULL,NULL
2020-04-06,33,46,NULL,NULL,NULL
2020-04-07,32,45,NULL,NULL,NULL
2020-04-08,38,44,NULL,NULL,NULL
2020-04-09,36,39,NULL,NULL,NULL
2020-04-10,38,37,NULL,NULL,NULL
2020-04-11,29,34,NULL,NULL,NULL
2020-04-12,25,33,NULL,NULL,NULL
2020-04-13,18,31,NULL,NULL,NULL
2020-04-14,6,27,NULL,NULL,NULL
2020-04-15,18,24,NULL,NULL,NULL
2020-04-16,27,23,NULL,NULL,NULL
2020-04-17,27,21,NULL,NULL,NULL
2020-04-18,41,23,NULL,NULL,NULL
2020-04-19,62,28,NULL,NULL,NULL
2020-04-20,19,28,NULL,NULL,NULL
2020-04-21,53,35,NULL,NULL,NULL
2020-04-22,24,36,NULL,NULL,NULL
2020-04-23,22,35,NULL,NULL,NULL
2020-04-24,18,34,NULL,NULL,NULL
2020-04-25,10,30,NULL,NULL,NULL
2020-04-26,15,23,NULL,NULL,NULL
2020-04-27,11,22,NULL,NULL,NULL
2020-04-28,9,15,NULL,NULL,NULL
2020-04-29,27,16,NULL,NULL,NULL
2020-04-30,10,14,NULL,NULL,NULL
2020-05-01,14,14,NULL,NULL,NULL
