Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,2,0,NULL,NULL,NULL
2020-03-11,1,0,NULL,NULL,NULL
2020-03-12,12,2,NULL,NULL,NULL
2020-03-13,15,4,NULL,NULL,NULL
2020-03-14,17,7,NULL,NULL,NULL
2020-03-15,7,8,NULL,NULL,NULL
2020-03-16,17,10,NULL,NULL,NULL
2020-03-17,62,19,NULL,NULL,NULL
2020-03-18,63,27,NULL,NULL,NULL
2020-03-19,132,45,NULL,NULL,NULL
2020-03-20,148,64,NULL,NULL,NULL
2020-03-21,185,88,NULL,NULL,NULL
2020-03-22,128,105,NULL,NULL,NULL
2020-03-23,76,113,NULL,NULL,NULL
2020-03-24,224,137,NULL,NULL,NULL
2020-03-25,234,161,NULL,NULL,NULL
2020-03-26,119,159,NULL,NULL,NULL
2020-03-27,151,160,NULL,NULL,NULL
2020-03-28,225,165,NULL,NULL,NULL
2020-03-29,119,164,NULL,NULL,NULL
2020-03-30,38,159,NULL,NULL,NULL
2020-03-31,190,154,NULL,NULL,NULL
2020-04-01,140,140,NULL,NULL,NULL
2020-04-02,168,147,NULL,NULL,NULL
2020-04-03,125,143,NULL,NULL,NULL
2020-04-04,116,128,NULL,NULL,NULL
2020-04-05,75,121,NULL,NULL,NULL
2020-04-06,39,122,NULL,NULL,NULL
2020-04-07,126,113,NULL,NULL,NULL
2020-04-08,63,102,NULL,NULL,NULL
2020-04-09,81,89,NULL,NULL,NULL
2020-04-10,107,87,NULL,NULL,NULL
2020-04-11,47,77,NULL,NULL,NULL
2020-04-12,11,68,NULL,NULL,NULL
2020-04-13,10,64,NULL,NULL,NULL
2020-04-14,14,48,NULL,NULL,NULL
2020-04-15,66,48,NULL,NULL,NULL
2020-04-16,70,46,NULL,NULL,NULL
2020-04-17,36,36,NULL,NULL,NULL
2020-04-18,56,38,NULL,NULL,NULL
2020-04-19,13,38,NULL,NULL,NULL
2020-04-20,8,38,NULL,NULL,NULL
2020-04-21,59,44,NULL,NULL,NULL
2020-04-22,36,40,NULL,NULL,NULL
2020-04-23,10,31,NULL,NULL,NULL
2020-04-24,29,30,NULL,NULL,NULL
2020-04-25,16,24,NULL,NULL,NULL
2020-04-26,11,24,NULL,NULL,NULL
2020-04-27,6,24,NULL,NULL,NULL
2020-04-28,11,17,NULL,NULL,NULL
2020-04-29,28,16,NULL,NULL,NULL
2020-04-30,14,17,NULL,NULL,NULL
2020-05-01,17,15,NULL,NULL,NULL
