Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,1,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,1,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,1,0,NULL,NULL,NULL
2020-03-11,1,0,NULL,NULL,NULL
2020-03-12,1,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,10,2,NULL,NULL,NULL
2020-03-15,10,3,NULL,NULL,NULL
2020-03-16,1,3,NULL,NULL,NULL
2020-03-17,9,5,NULL,NULL,NULL
2020-03-18,10,6,NULL,NULL,NULL
2020-03-19,13,8,NULL,NULL,NULL
2020-03-20,14,10,NULL,NULL,NULL
2020-03-21,18,11,NULL,NULL,NULL
2020-03-22,18,12,NULL,NULL,NULL
2020-03-23,28,16,NULL,NULL,NULL
2020-03-24,26,18,NULL,NULL,NULL
2020-03-25,54,25,NULL,NULL,NULL
2020-03-26,50,30,NULL,NULL,NULL
2020-03-27,70,38,NULL,NULL,NULL
2020-03-28,57,43,NULL,NULL,NULL
2020-03-29,76,52,NULL,NULL,NULL
2020-03-30,76,59,NULL,NULL,NULL
2020-03-31,60,63,NULL,NULL,NULL
2020-04-01,36,61,NULL,NULL,NULL
2020-04-02,54,61,NULL,NULL,NULL
2020-04-03,82,63,NULL,NULL,NULL
2020-04-04,127,73,NULL,NULL,NULL
2020-04-05,102,77,NULL,NULL,NULL
2020-04-06,99,80,NULL,NULL,NULL
2020-04-07,63,81,NULL,NULL,NULL
2020-04-08,90,88,NULL,NULL,NULL
2020-04-09,98,95,NULL,NULL,NULL
2020-04-10,73,93,NULL,NULL,NULL
2020-04-11,97,89,NULL,NULL,NULL
2020-04-12,115,91,NULL,NULL,NULL
2020-04-13,102,91,NULL,NULL,NULL
2020-04-14,125,100,NULL,NULL,NULL
2020-04-15,135,107,NULL,NULL,NULL
2020-04-16,258,129,NULL,NULL,NULL
2020-04-17,281,159,NULL,NULL,NULL
2020-04-18,120,162,NULL,NULL,NULL
2020-04-19,170,170,NULL,NULL,NULL
2020-04-20,191,183,NULL,NULL,NULL
2020-04-21,162,188,NULL,NULL,NULL
2020-04-22,237,203,NULL,NULL,NULL
2020-04-23,122,183,NULL,NULL,NULL
2020-04-24,189,170,NULL,NULL,NULL
2020-04-25,138,173,NULL,NULL,NULL
2020-04-26,168,172,NULL,NULL,NULL
2020-04-27,55,153,NULL,NULL,NULL
2020-04-28,132,148,NULL,NULL,NULL
2020-04-29,68,124,NULL,NULL,NULL
2020-04-30,101,122,NULL,NULL,NULL
2020-05-01,146,115,NULL,NULL,NULL
