Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,1,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,2,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,3,0,NULL,NULL,NULL
2020-03-14,6,1,NULL,NULL,NULL
2020-03-15,11,3,NULL,NULL,NULL
2020-03-16,0,3,NULL,NULL,NULL
2020-03-17,7,3,NULL,NULL,NULL
2020-03-18,0,3,NULL,NULL,NULL
2020-03-19,18,6,NULL,NULL,NULL
2020-03-20,17,8,NULL,NULL,NULL
2020-03-21,13,9,NULL,NULL,NULL
2020-03-22,14,10,NULL,NULL,NULL
2020-03-23,14,12,NULL,NULL,NULL
2020-03-24,16,13,NULL,NULL,NULL
2020-03-25,23,16,NULL,NULL,NULL
2020-03-26,28,18,NULL,NULL,NULL
2020-03-27,21,19,NULL,NULL,NULL
2020-03-28,32,21,NULL,NULL,NULL
2020-03-29,32,24,NULL,NULL,NULL
2020-03-30,34,26,NULL,NULL,NULL
2020-03-31,55,32,NULL,NULL,NULL
2020-04-01,69,39,NULL,NULL,NULL
2020-04-02,82,46,NULL,NULL,NULL
2020-04-03,85,55,NULL,NULL,NULL
2020-04-04,160,74,NULL,NULL,NULL
2020-04-05,112,85,NULL,NULL,NULL
2020-04-06,100,95,NULL,NULL,NULL
2020-04-07,91,100,NULL,NULL,NULL
2020-04-08,118,107,NULL,NULL,NULL
2020-04-09,115,111,NULL,NULL,NULL
2020-04-10,148,120,NULL,NULL,NULL
2020-04-11,122,115,NULL,NULL,NULL
2020-04-12,101,114,NULL,NULL,NULL
2020-04-13,49,106,NULL,NULL,NULL
2020-04-14,221,125,NULL,NULL,NULL
2020-04-15,115,125,NULL,NULL,NULL
2020-04-16,104,123,NULL,NULL,NULL
2020-04-17,109,117,NULL,NULL,NULL
2020-04-18,113,116,NULL,NULL,NULL
2020-04-19,94,115,NULL,NULL,NULL
2020-04-20,76,119,NULL,NULL,NULL
2020-04-21,65,97,NULL,NULL,NULL
2020-04-22,163,104,NULL,NULL,NULL
2020-04-23,148,110,NULL,NULL,NULL
2020-04-24,184,120,NULL,NULL,NULL
2020-04-25,193,132,NULL,NULL,NULL
2020-04-26,104,133,NULL,NULL,NULL
2020-04-27,73,133,NULL,NULL,NULL
2020-04-28,156,146,NULL,NULL,NULL
2020-04-29,133,141,NULL,NULL,NULL
2020-04-30,125,138,NULL,NULL,NULL
2020-05-01,83,124,NULL,NULL,NULL
