Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,1,0,NULL,NULL,NULL
2020-02-29,3,1,NULL,NULL,NULL
2020-03-01,1,1,NULL,NULL,NULL
2020-03-02,0,1,NULL,NULL,NULL
2020-03-03,0,1,NULL,NULL,NULL
2020-03-04,0,1,NULL,NULL,NULL
2020-03-05,0,1,NULL,NULL,NULL
2020-03-06,1,1,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,1,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,1,0,NULL,NULL,NULL
2020-03-12,4,1,NULL,NULL,NULL
2020-03-13,14,3,NULL,NULL,NULL
2020-03-14,15,5,NULL,NULL,NULL
2020-03-15,12,7,NULL,NULL,NULL
2020-03-16,29,11,NULL,NULL,NULL
2020-03-17,11,12,NULL,NULL,NULL
2020-03-18,25,16,NULL,NULL,NULL
2020-03-19,46,22,NULL,NULL,NULL
2020-03-20,39,25,NULL,NULL,NULL
2020-03-21,48,30,NULL,NULL,NULL
2020-03-22,65,38,NULL,NULL,NULL
2020-03-23,51,41,NULL,NULL,NULL
2020-03-24,38,45,NULL,NULL,NULL
2020-03-25,70,51,NULL,NULL,NULL
2020-03-26,110,60,NULL,NULL,NULL
2020-03-27,132,73,NULL,NULL,NULL
2020-03-28,131,85,NULL,NULL,NULL
2020-03-29,145,97,NULL,NULL,NULL
2020-03-30,101,104,NULL,NULL,NULL
2020-03-31,121,116,NULL,NULL,NULL
2020-04-01,163,129,NULL,NULL,NULL
2020-04-02,132,132,NULL,NULL,NULL
2020-04-03,178,139,NULL,NULL,NULL
2020-04-04,202,149,NULL,NULL,NULL
2020-04-05,253,164,NULL,NULL,NULL
2020-04-06,296,192,NULL,NULL,NULL
2020-04-07,346,224,NULL,NULL,NULL
2020-04-08,396,258,NULL,NULL,NULL
2020-04-09,260,276,NULL,NULL,NULL
2020-04-10,403,308,NULL,NULL,NULL
2020-04-11,375,333,NULL,NULL,NULL
2020-04-12,442,360,NULL,NULL,NULL
2020-04-13,353,368,NULL,NULL,NULL
2020-04-14,385,373,NULL,NULL,NULL
2020-04-15,448,381,NULL,NULL,NULL
2020-04-16,450,408,NULL,NULL,NULL
2020-04-17,578,433,NULL,NULL,NULL
2020-04-18,622,468,NULL,NULL,NULL
2020-04-19,764,514,NULL,NULL,NULL
2020-04-20,511,537,NULL,NULL,NULL
2020-04-21,729,586,NULL,NULL,NULL
2020-04-22,1043,671,NULL,NULL,NULL
2020-04-23,1089,762,NULL,NULL,NULL
2020-04-24,1239,857,NULL,NULL,NULL
2020-04-25,970,906,NULL,NULL,NULL
2020-04-26,835,917,NULL,NULL,NULL
2020-04-27,852,965,NULL,NULL,NULL
2020-04-28,1223,1036,NULL,NULL,NULL
2020-04-29,1047,1036,NULL,NULL,NULL
2020-04-30,1425,1084,NULL,NULL,NULL
