Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,3,NULL,NULL,NULL,NULL
2020-01-26,1,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,1,NULL,NULL,NULL
2020-01-29,3,1,NULL,NULL,NULL
2020-01-30,1,1,NULL,NULL,NULL
2020-01-31,0,1,NULL,NULL,NULL
2020-02-01,0,1,NULL,NULL,NULL
2020-02-02,0,1,NULL,NULL,NULL
2020-02-03,0,1,NULL,NULL,NULL
2020-02-04,2,1,NULL,NULL,NULL
2020-02-05,2,1,NULL,NULL,NULL
2020-02-06,0,1,NULL,NULL,NULL
2020-02-07,0,1,NULL,NULL,NULL
2020-02-08,4,1,NULL,NULL,NULL
2020-02-09,0,1,NULL,NULL,NULL
2020-02-10,2,1,NULL,NULL,NULL
2020-02-11,0,1,NULL,NULL,NULL
2020-02-12,0,1,NULL,NULL,NULL
2020-02-13,1,1,NULL,NULL,NULL
2020-02-14,0,1,NULL,NULL,NULL
2020-02-15,3,1,NULL,NULL,NULL
2020-02-16,0,1,NULL,NULL,NULL
2020-02-17,0,1,NULL,NULL,NULL
2020-02-18,0,1,NULL,NULL,NULL
2020-02-19,0,1,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,1,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,2,0,NULL,NULL,NULL
2020-03-01,4,1,NULL,NULL,NULL
2020-03-02,0,1,NULL,NULL,NULL
2020-03-03,7,2,NULL,NULL,NULL
2020-03-04,14,4,NULL,NULL,NULL
2020-03-05,0,4,NULL,NULL,NULL
2020-03-06,33,9,NULL,NULL,NULL
2020-03-07,10,10,NULL,NULL,NULL
2020-03-08,6,10,NULL,NULL,NULL
2020-03-09,18,13,NULL,NULL,NULL
2020-03-10,12,13,NULL,NULL,NULL
2020-03-11,20,14,NULL,NULL,NULL
2020-03-12,0,14,NULL,NULL,NULL
2020-03-13,48,16,NULL,NULL,NULL
2020-03-14,41,21,NULL,NULL,NULL
2020-03-15,190,47,NULL,NULL,NULL
2020-03-16,138,64,NULL,NULL,NULL
2020-03-17,107,78,NULL,NULL,NULL
2020-03-18,117,92,NULL,NULL,NULL
2020-03-19,110,107,NULL,NULL,NULL
2020-03-20,130,119,NULL,NULL,NULL
2020-03-21,153,135,NULL,NULL,NULL
2020-03-22,123,125,NULL,NULL,NULL
2020-03-23,212,136,NULL,NULL,NULL
2020-03-24,106,136,NULL,NULL,NULL
2020-03-25,172,144,NULL,NULL,NULL
2020-03-26,235,162,NULL,NULL,NULL
2020-03-27,130,162,NULL,NULL,NULL
2020-03-28,159,162,NULL,NULL,NULL
2020-03-29,150,166,NULL,NULL,NULL
2020-03-30,156,158,NULL,NULL,NULL
2020-03-31,140,163,NULL,NULL,NULL
2020-04-01,142,159,NULL,NULL,NULL
2020-04-02,208,155,NULL,NULL,NULL
2020-04-03,217,167,NULL,NULL,NULL
2020-04-04,150,166,NULL,NULL,NULL
2020-04-05,179,170,NULL,NULL,NULL
2020-04-06,131,167,NULL,NULL,NULL
2020-04-07,170,171,NULL,NULL,NULL
2020-04-08,156,173,NULL,NULL,NULL
2020-04-09,109,159,NULL,NULL,NULL
2020-04-10,118,145,NULL,NULL,NULL
2020-04-11,184,150,NULL,NULL,NULL
2020-04-12,153,146,NULL,NULL,NULL
2020-04-13,134,146,NULL,NULL,NULL
2020-04-14,170,146,NULL,NULL,NULL
2020-04-15,85,136,NULL,NULL,NULL
2020-04-16,110,136,NULL,NULL,NULL
2020-04-17,69,129,NULL,NULL,NULL
2020-04-18,54,111,NULL,NULL,NULL
2020-04-19,84,101,NULL,NULL,NULL
2020-04-20,36,87,NULL,NULL,NULL
2020-04-21,57,71,NULL,NULL,NULL
2020-04-22,50,66,NULL,NULL,NULL
2020-04-23,71,60,NULL,NULL,NULL
2020-04-24,88,63,NULL,NULL,NULL
2020-04-25,51,62,NULL,NULL,NULL
2020-04-26,38,56,NULL,NULL,NULL
2020-04-27,40,56,NULL,NULL,NULL
2020-04-28,31,53,NULL,NULL,NULL
2020-04-29,94,59,NULL,NULL,NULL
2020-04-30,57,57,NULL,NULL,NULL
2020-05-01,69,54,NULL,NULL,NULL
