Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,1,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,1,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,0,0,NULL,NULL,NULL
2020-03-16,0,0,NULL,NULL,NULL
2020-03-17,1,0,NULL,NULL,NULL
2020-03-18,5,1,NULL,NULL,NULL
2020-03-19,0,1,NULL,NULL,NULL
2020-03-20,4,1,NULL,NULL,NULL
2020-03-21,10,3,NULL,NULL,NULL
2020-03-22,8,4,NULL,NULL,NULL
2020-03-23,10,5,NULL,NULL,NULL
2020-03-24,4,6,NULL,NULL,NULL
2020-03-25,7,6,NULL,NULL,NULL
2020-03-26,14,8,NULL,NULL,NULL
2020-03-27,5,8,NULL,NULL,NULL
2020-03-28,19,10,NULL,NULL,NULL
2020-03-29,22,12,NULL,NULL,NULL
2020-03-30,20,13,NULL,NULL,NULL
2020-03-31,4,13,NULL,NULL,NULL
2020-04-01,39,18,NULL,NULL,NULL
2020-04-02,10,17,NULL,NULL,NULL
2020-04-03,26,20,NULL,NULL,NULL
2020-04-04,4,18,NULL,NULL,NULL
2020-04-05,18,17,NULL,NULL,NULL
2020-04-06,6,15,NULL,NULL,NULL
2020-04-07,16,17,NULL,NULL,NULL
2020-04-08,22,15,NULL,NULL,NULL
2020-04-09,12,15,NULL,NULL,NULL
2020-04-10,17,14,NULL,NULL,NULL
2020-04-11,13,15,NULL,NULL,NULL
2020-04-12,5,13,NULL,NULL,NULL
2020-04-13,20,15,NULL,NULL,NULL
2020-04-14,30,17,NULL,NULL,NULL
2020-04-15,34,19,NULL,NULL,NULL
2020-04-16,35,22,NULL,NULL,NULL
2020-04-17,51,27,NULL,NULL,NULL
2020-04-18,49,32,NULL,NULL,NULL
2020-04-19,85,43,NULL,NULL,NULL
2020-04-20,38,46,NULL,NULL,NULL
2020-04-21,0,42,NULL,NULL,NULL
2020-04-22,208,67,NULL,NULL,NULL
2020-04-23,108,77,NULL,NULL,NULL
2020-04-24,114,86,NULL,NULL,NULL
2020-04-25,87,91,NULL,NULL,NULL
2020-04-26,91,92,NULL,NULL,NULL
2020-04-27,64,96,NULL,NULL,NULL
2020-04-28,195,124,NULL,NULL,NULL
2020-04-29,196,122,NULL,NULL,NULL
2020-04-30,204,136,NULL,NULL,NULL
2020-05-01,238,154,NULL,NULL,NULL
