Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,1,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,5,1,NULL,NULL,NULL
2020-03-01,4,1,NULL,NULL,NULL
2020-03-02,8,3,NULL,NULL,NULL
2020-03-03,6,3,NULL,NULL,NULL
2020-03-04,14,5,NULL,NULL,NULL
2020-03-05,44,12,NULL,NULL,NULL
2020-03-06,46,18,NULL,NULL,NULL
2020-03-07,60,26,NULL,NULL,NULL
2020-03-08,77,36,NULL,NULL,NULL
2020-03-09,56,43,NULL,NULL,NULL
2020-03-10,61,51,NULL,NULL,NULL
2020-03-11,121,66,NULL,NULL,NULL
2020-03-12,0,60,NULL,NULL,NULL
2020-03-13,303,97,NULL,NULL,NULL
2020-03-14,156,111,NULL,NULL,NULL
2020-03-15,176,125,NULL,NULL,NULL
2020-03-16,278,156,NULL,NULL,NULL
2020-03-17,295,190,NULL,NULL,NULL
2020-03-18,347,222,NULL,NULL,NULL
2020-03-19,409,281,NULL,NULL,NULL
2020-03-20,536,314,NULL,NULL,NULL
2020-03-21,637,383,NULL,NULL,NULL
2020-03-22,577,440,NULL,NULL,NULL
2020-03-23,547,478,NULL,NULL,NULL
2020-03-24,816,553,NULL,NULL,NULL
2020-03-25,858,626,NULL,NULL,NULL
2020-03-26,1030,714,NULL,NULL,NULL
2020-03-27,1179,806,NULL,NULL,NULL
2020-03-28,1172,883,NULL,NULL,NULL
2020-03-29,1111,959,NULL,NULL,NULL
2020-03-30,887,1008,NULL,NULL,NULL
2020-03-31,850,1012,NULL,NULL,NULL
2020-04-01,1029,1037,NULL,NULL,NULL
2020-04-02,1092,1046,NULL,NULL,NULL
2020-04-03,1033,1025,NULL,NULL,NULL
2020-04-04,906,987,NULL,NULL,NULL
2020-04-05,1226,1003,NULL,NULL,NULL
2020-04-06,973,1016,NULL,NULL,NULL
2020-04-07,783,1006,NULL,NULL,NULL
2020-04-08,973,998,NULL,NULL,NULL
2020-04-09,1221,1016,NULL,NULL,NULL
2020-04-10,1346,1061,NULL,NULL,NULL
2020-04-11,1322,1121,NULL,NULL,NULL
2020-04-12,1175,1113,NULL,NULL,NULL
2020-04-13,964,1112,NULL,NULL,NULL
2020-04-14,870,1124,NULL,NULL,NULL
2020-04-15,736,1091,NULL,NULL,NULL
2020-04-16,1067,1069,NULL,NULL,NULL
2020-04-17,1236,1053,NULL,NULL,NULL
2020-04-18,1147,1028,NULL,NULL,NULL
2020-04-19,1072,1013,NULL,NULL,NULL
2020-04-20,750,983,NULL,NULL,NULL
2020-04-21,729,962,NULL,NULL,NULL
2020-04-22,715,959,NULL,NULL,NULL
2020-04-23,889,934,NULL,NULL,NULL
2020-04-24,808,873,NULL,NULL,NULL
2020-04-25,655,803,NULL,NULL,NULL
2020-04-26,656,743,NULL,NULL,NULL
2020-04-27,400,693,NULL,NULL,NULL
2020-04-28,172,614,NULL,NULL,NULL
2020-04-29,386,567,NULL,NULL,NULL
