Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,2,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,1,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,1,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,6,1,NULL,NULL,NULL
2020-03-04,3,1,NULL,NULL,NULL
2020-03-05,0,1,NULL,NULL,NULL
2020-03-06,0,1,NULL,NULL,NULL
2020-03-07,0,1,NULL,NULL,NULL
2020-03-08,0,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,1,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,1,0,NULL,NULL,NULL
2020-03-14,0,0,NULL,NULL,NULL
2020-03-15,2,0,NULL,NULL,NULL
2020-03-16,0,0,NULL,NULL,NULL
2020-03-17,1,0,NULL,NULL,NULL
2020-03-18,15,3,NULL,NULL,NULL
2020-03-19,8,4,NULL,NULL,NULL
2020-03-20,0,4,NULL,NULL,NULL
2020-03-21,3,4,NULL,NULL,NULL
2020-03-22,3,4,NULL,NULL,NULL
2020-03-23,11,6,NULL,NULL,NULL
2020-03-24,18,8,NULL,NULL,NULL
2020-03-25,15,8,NULL,NULL,NULL
2020-03-26,9,8,NULL,NULL,NULL
2020-03-27,22,11,NULL,NULL,NULL
2020-03-28,21,14,NULL,NULL,NULL
2020-03-29,15,16,NULL,NULL,NULL
2020-03-30,11,16,NULL,NULL,NULL
2020-03-31,12,15,NULL,NULL,NULL
2020-04-01,17,15,NULL,NULL,NULL
2020-04-02,21,17,NULL,NULL,NULL
2020-04-03,21,17,NULL,NULL,NULL
2020-04-04,25,17,NULL,NULL,NULL
2020-04-05,20,18,NULL,NULL,NULL
2020-04-06,33,21,NULL,NULL,NULL
2020-04-07,40,25,NULL,NULL,NULL
2020-04-08,48,29,NULL,NULL,NULL
2020-04-09,38,32,NULL,NULL,NULL
2020-04-10,26,33,NULL,NULL,NULL
2020-04-11,61,38,NULL,NULL,NULL
2020-04-12,52,42,NULL,NULL,NULL
2020-04-13,128,56,NULL,NULL,NULL
2020-04-14,85,63,NULL,NULL,NULL
2020-04-15,97,70,NULL,NULL,NULL
2020-04-16,108,80,NULL,NULL,NULL
2020-04-17,49,83,NULL,NULL,NULL
2020-04-18,111,90,NULL,NULL,NULL
2020-04-19,85,95,NULL,NULL,NULL
2020-04-20,144,97,NULL,NULL,NULL
2020-04-21,98,99,NULL,NULL,NULL
2020-04-22,105,100,NULL,NULL,NULL
2020-04-23,101,99,NULL,NULL,NULL
2020-04-24,73,102,NULL,NULL,NULL
2020-04-25,114,103,NULL,NULL,NULL
2020-04-26,93,104,NULL,NULL,NULL
2020-04-27,50,91,NULL,NULL,NULL
2020-04-28,82,88,NULL,NULL,NULL
2020-04-29,143,94,NULL,NULL,NULL
2020-04-30,73,90,NULL,NULL,NULL
2020-05-01,98,93,NULL,NULL,NULL
