Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,1,0,NULL,NULL,NULL
2020-03-11,7,1,NULL,NULL,NULL
2020-03-12,2,1,NULL,NULL,NULL
2020-03-13,15,3,NULL,NULL,NULL
2020-03-14,9,5,NULL,NULL,NULL
2020-03-15,7,6,NULL,NULL,NULL
2020-03-16,12,7,NULL,NULL,NULL
2020-03-17,14,9,NULL,NULL,NULL
2020-03-18,16,11,NULL,NULL,NULL
2020-03-19,23,14,NULL,NULL,NULL
2020-03-20,28,15,NULL,NULL,NULL
2020-03-21,62,23,NULL,NULL,NULL
2020-03-22,113,38,NULL,NULL,NULL
2020-03-23,31,41,NULL,NULL,NULL
2020-03-24,0,39,NULL,NULL,NULL
2020-03-25,97,50,NULL,NULL,NULL
2020-03-26,114,64,NULL,NULL,NULL
2020-03-27,116,76,NULL,NULL,NULL
2020-03-28,112,83,NULL,NULL,NULL
2020-03-29,114,83,NULL,NULL,NULL
2020-03-30,88,91,NULL,NULL,NULL
2020-03-31,191,119,NULL,NULL,NULL
2020-04-01,0,105,NULL,NULL,NULL
2020-04-02,136,108,NULL,NULL,NULL
2020-04-03,157,114,NULL,NULL,NULL
2020-04-04,198,126,NULL,NULL,NULL
2020-04-05,127,128,NULL,NULL,NULL
2020-04-06,187,142,NULL,NULL,NULL
2020-04-07,111,131,NULL,NULL,NULL
2020-04-08,148,152,NULL,NULL,NULL
2020-04-09,279,172,NULL,NULL,NULL
2020-04-10,224,182,NULL,NULL,NULL
2020-04-11,221,185,NULL,NULL,NULL
2020-04-12,260,204,NULL,NULL,NULL
2020-04-13,166,201,NULL,NULL,NULL
2020-04-14,72,196,NULL,NULL,NULL
2020-04-15,101,189,NULL,NULL,NULL
2020-04-16,177,174,NULL,NULL,NULL
2020-04-17,264,180,NULL,NULL,NULL
2020-04-18,193,176,NULL,NULL,NULL
2020-04-19,63,148,NULL,NULL,NULL
2020-04-20,193,152,NULL,NULL,NULL
2020-04-21,191,169,NULL,NULL,NULL
2020-04-22,162,178,NULL,NULL,NULL
2020-04-23,345,202,NULL,NULL,NULL
2020-04-24,171,188,NULL,NULL,NULL
2020-04-25,199,189,NULL,NULL,NULL
2020-04-26,241,215,NULL,NULL,NULL
2020-04-27,241,222,NULL,NULL,NULL
2020-04-28,0,194,NULL,NULL,NULL
2020-04-29,356,222,NULL,NULL,NULL
2020-04-30,154,195,NULL,NULL,NULL
2020-05-01,187,197,NULL,NULL,NULL
