Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,1,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,5,1,NULL,NULL,NULL
2020-03-09,1,1,NULL,NULL,NULL
2020-03-10,4,2,NULL,NULL,NULL
2020-03-11,0,2,NULL,NULL,NULL
2020-03-12,4,2,NULL,NULL,NULL
2020-03-13,13,4,NULL,NULL,NULL
2020-03-14,10,5,NULL,NULL,NULL
2020-03-15,5,5,NULL,NULL,NULL
2020-03-16,43,11,NULL,NULL,NULL
2020-03-17,31,15,NULL,NULL,NULL
2020-03-18,28,19,NULL,NULL,NULL
2020-03-19,89,31,NULL,NULL,NULL
2020-03-20,0,29,NULL,NULL,NULL
2020-03-21,84,40,NULL,NULL,NULL
2020-03-22,45,46,NULL,NULL,NULL
2020-03-23,32,44,NULL,NULL,NULL
2020-03-24,21,43,NULL,NULL,NULL
2020-03-25,64,48,NULL,NULL,NULL
2020-03-26,100,49,NULL,NULL,NULL
2020-03-27,55,57,NULL,NULL,NULL
2020-03-28,36,50,NULL,NULL,NULL
2020-03-29,181,70,NULL,NULL,NULL
2020-03-30,98,79,NULL,NULL,NULL
2020-03-31,115,93,NULL,NULL,NULL
2020-04-01,258,120,NULL,NULL,NULL
2020-04-02,91,119,NULL,NULL,NULL
2020-04-03,181,137,NULL,NULL,NULL
2020-04-04,151,154,NULL,NULL,NULL
2020-04-05,535,204,NULL,NULL,NULL
2020-04-06,280,230,NULL,NULL,NULL
2020-04-07,393,270,NULL,NULL,NULL
2020-04-08,1388,431,NULL,NULL,NULL
2020-04-09,914,549,NULL,NULL,NULL
2020-04-10,641,615,NULL,NULL,NULL
2020-04-11,951,729,NULL,NULL,NULL
2020-04-12,671,748,NULL,NULL,NULL
2020-04-13,2265,1032,NULL,NULL,NULL
2020-04-14,519,1050,NULL,NULL,NULL
2020-04-15,1172,1019,NULL,NULL,NULL
2020-04-16,1016,1034,NULL,NULL,NULL
2020-04-17,998,1085,NULL,NULL,NULL
2020-04-18,931,1082,NULL,NULL,NULL
2020-04-19,1208,1158,NULL,NULL,NULL
2020-04-20,697,934,NULL,NULL,NULL
2020-04-21,1512,1076,NULL,NULL,NULL
2020-04-22,1413,1111,NULL,NULL,NULL
2020-04-23,1664,1203,NULL,NULL,NULL
2020-04-24,734,1166,NULL,NULL,NULL
2020-04-25,3683,1559,NULL,NULL,NULL
2020-04-26,2186,1698,NULL,NULL,NULL
2020-04-27,1182,1768,NULL,NULL,NULL
2020-04-28,2491,1908,NULL,NULL,NULL
2020-04-29,2741,2097,NULL,NULL,NULL
2020-04-30,3045,2295,NULL,NULL,NULL
