Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,1,0,NULL,NULL,NULL
2020-03-01,2,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,4,1,NULL,NULL,NULL
2020-03-04,1,1,NULL,NULL,NULL
2020-03-05,0,1,NULL,NULL,NULL
2020-03-06,0,1,NULL,NULL,NULL
2020-03-07,0,1,NULL,NULL,NULL
2020-03-08,7,2,NULL,NULL,NULL
2020-03-09,3,2,NULL,NULL,NULL
2020-03-10,6,2,NULL,NULL,NULL
2020-03-11,238,36,NULL,NULL,NULL
2020-03-12,0,36,NULL,NULL,NULL
2020-03-13,58,45,NULL,NULL,NULL
2020-03-14,17,47,NULL,NULL,NULL
2020-03-15,64,55,NULL,NULL,NULL
2020-03-16,38,60,NULL,NULL,NULL
2020-03-17,0,59,NULL,NULL,NULL
2020-03-18,13,27,NULL,NULL,NULL
2020-03-19,8,28,NULL,NULL,NULL
2020-03-20,10,21,NULL,NULL,NULL
2020-03-21,11,21,NULL,NULL,NULL
2020-03-22,13,13,NULL,NULL,NULL
2020-03-23,7,9,NULL,NULL,NULL
2020-03-24,25,12,NULL,NULL,NULL
2020-03-25,11,12,NULL,NULL,NULL
2020-03-26,12,13,NULL,NULL,NULL
2020-03-27,13,13,NULL,NULL,NULL
2020-03-28,28,16,NULL,NULL,NULL
2020-03-29,44,20,NULL,NULL,NULL
2020-03-30,59,27,NULL,NULL,NULL
2020-03-31,88,36,NULL,NULL,NULL
2020-04-01,54,43,NULL,NULL,NULL
2020-04-02,114,57,NULL,NULL,NULL
2020-04-03,126,73,NULL,NULL,NULL
2020-04-04,250,105,NULL,NULL,NULL
2020-04-05,279,139,NULL,NULL,NULL
2020-04-06,228,163,NULL,NULL,NULL
2020-04-07,225,182,NULL,NULL,NULL
2020-04-08,153,196,NULL,NULL,NULL
2020-04-09,166,204,NULL,NULL,NULL
2020-04-10,136,205,NULL,NULL,NULL
2020-04-11,216,200,NULL,NULL,NULL
2020-04-12,251,196,NULL,NULL,NULL
2020-04-13,252,200,NULL,NULL,NULL
2020-04-14,197,196,NULL,NULL,NULL
2020-04-15,283,214,NULL,NULL,NULL
2020-04-16,392,247,NULL,NULL,NULL
2020-04-17,560,307,NULL,NULL,NULL
2020-04-18,345,326,NULL,NULL,NULL
2020-04-19,440,353,NULL,NULL,NULL
2020-04-20,567,398,NULL,NULL,NULL
2020-04-21,518,444,NULL,NULL,NULL
2020-04-22,608,490,NULL,NULL,NULL
2020-04-23,623,523,NULL,NULL,NULL
2020-04-24,761,552,NULL,NULL,NULL
2020-04-25,833,621,NULL,NULL,NULL
2020-04-26,929,691,NULL,NULL,NULL
2020-04-27,957,747,NULL,NULL,NULL
2020-04-28,677,770,NULL,NULL,NULL
2020-04-29,643,775,NULL,NULL,NULL
2020-04-30,845,806,NULL,NULL,NULL
2020-05-01,687,796,NULL,NULL,NULL
