Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,1,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,2,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,2,0,NULL,NULL,NULL
2020-03-06,2,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,5,1,NULL,NULL,NULL
2020-03-09,0,1,NULL,NULL,NULL
2020-03-10,10,3,NULL,NULL,NULL
2020-03-11,19,5,NULL,NULL,NULL
2020-03-12,4,6,NULL,NULL,NULL
2020-03-13,40,11,NULL,NULL,NULL
2020-03-14,34,16,NULL,NULL,NULL
2020-03-15,7,16,NULL,NULL,NULL
2020-03-16,27,20,NULL,NULL,NULL
2020-03-17,25,22,NULL,NULL,NULL
2020-03-18,76,30,NULL,NULL,NULL
2020-03-19,16,32,NULL,NULL,NULL
2020-03-20,31,31,NULL,NULL,NULL
2020-03-21,58,34,NULL,NULL,NULL
2020-03-22,66,43,NULL,NULL,NULL
2020-03-23,143,59,NULL,NULL,NULL
2020-03-24,217,87,NULL,NULL,NULL
2020-03-25,112,92,NULL,NULL,NULL
2020-03-26,123,107,NULL,NULL,NULL
2020-03-27,262,140,NULL,NULL,NULL
2020-03-28,159,155,NULL,NULL,NULL
2020-03-29,362,197,NULL,NULL,NULL
2020-03-30,293,218,NULL,NULL,NULL
2020-03-31,136,207,NULL,NULL,NULL
2020-04-01,214,221,NULL,NULL,NULL
2020-04-02,278,244,NULL,NULL,NULL
2020-04-03,445,270,NULL,NULL,NULL
2020-04-04,429,308,NULL,NULL,NULL
2020-04-05,251,292,NULL,NULL,NULL
2020-04-06,192,278,NULL,NULL,NULL
2020-04-07,360,310,NULL,NULL,NULL
2020-04-08,343,328,NULL,NULL,NULL
2020-04-09,440,351,NULL,NULL,NULL
2020-04-10,265,326,NULL,NULL,NULL
2020-04-11,522,339,NULL,NULL,NULL
2020-04-12,309,348,NULL,NULL,NULL
2020-04-13,332,368,NULL,NULL,NULL
2020-04-14,245,351,NULL,NULL,NULL
2020-04-15,336,350,NULL,NULL,NULL
2020-04-16,491,357,NULL,NULL,NULL
2020-04-17,360,371,NULL,NULL,NULL
2020-04-18,350,346,NULL,NULL,NULL
2020-04-19,327,349,NULL,NULL,NULL
2020-04-20,190,329,NULL,NULL,NULL
2020-04-21,305,337,NULL,NULL,NULL
2020-04-22,467,356,NULL,NULL,NULL
2020-04-23,386,341,NULL,NULL,NULL
2020-04-24,321,335,NULL,NULL,NULL
2020-04-25,217,316,NULL,NULL,NULL
2020-04-26,401,327,NULL,NULL,NULL
2020-04-27,303,343,NULL,NULL,NULL
2020-04-28,277,339,NULL,NULL,NULL
2020-04-29,361,324,NULL,NULL,NULL
2020-04-30,261,306,NULL,NULL,NULL
2020-05-01,327,307,NULL,NULL,NULL
