Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,1,0,NULL,NULL,NULL
2020-03-03,1,0,NULL,NULL,NULL
2020-03-04,2,1,NULL,NULL,NULL
2020-03-05,0,1,NULL,NULL,NULL
2020-03-06,0,1,NULL,NULL,NULL
2020-03-07,0,1,NULL,NULL,NULL
2020-03-08,0,1,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,6,1,NULL,NULL,NULL
2020-03-14,0,1,NULL,NULL,NULL
2020-03-15,14,3,NULL,NULL,NULL
2020-03-16,0,3,NULL,NULL,NULL
2020-03-17,2,3,NULL,NULL,NULL
2020-03-18,5,4,NULL,NULL,NULL
2020-03-19,0,4,NULL,NULL,NULL
2020-03-20,7,4,NULL,NULL,NULL
2020-03-21,9,5,NULL,NULL,NULL
2020-03-22,20,6,NULL,NULL,NULL
2020-03-23,12,8,NULL,NULL,NULL
2020-03-24,7,9,NULL,NULL,NULL
2020-03-25,13,10,NULL,NULL,NULL
2020-03-26,6,11,NULL,NULL,NULL
2020-03-27,14,12,NULL,NULL,NULL
2020-03-28,11,12,NULL,NULL,NULL
2020-03-29,12,11,NULL,NULL,NULL
2020-03-30,20,12,NULL,NULL,NULL
2020-03-31,13,13,NULL,NULL,NULL
2020-04-01,15,13,NULL,NULL,NULL
2020-04-02,5,13,NULL,NULL,NULL
2020-04-03,12,13,NULL,NULL,NULL
2020-04-04,12,13,NULL,NULL,NULL
2020-04-05,3,11,NULL,NULL,NULL
2020-04-06,4,9,NULL,NULL,NULL
2020-04-07,11,9,NULL,NULL,NULL
2020-04-08,7,8,NULL,NULL,NULL
2020-04-09,6,8,NULL,NULL,NULL
2020-04-10,15,8,NULL,NULL,NULL
2020-04-11,13,8,NULL,NULL,NULL
2020-04-12,2,8,NULL,NULL,NULL
2020-04-13,11,9,NULL,NULL,NULL
2020-04-14,8,9,NULL,NULL,NULL
2020-04-15,15,10,NULL,NULL,NULL
2020-04-16,21,12,NULL,NULL,NULL
2020-04-17,7,11,NULL,NULL,NULL
2020-04-18,8,10,NULL,NULL,NULL
2020-04-19,17,12,NULL,NULL,NULL
2020-04-20,10,12,NULL,NULL,NULL
2020-04-21,35,16,NULL,NULL,NULL
2020-04-22,30,18,NULL,NULL,NULL
2020-04-23,37,21,NULL,NULL,NULL
2020-04-24,66,29,NULL,NULL,NULL
2020-04-25,69,38,NULL,NULL,NULL
2020-04-26,57,43,NULL,NULL,NULL
2020-04-27,65,51,NULL,NULL,NULL
2020-04-28,87,59,NULL,NULL,NULL
2020-04-29,59,63,NULL,NULL,NULL
2020-04-30,51,65,NULL,NULL,NULL
2020-05-01,91,68,NULL,NULL,NULL
