Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,2,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,1,NULL,NULL,NULL,NULL
2020-01-28,2,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,2,1,NULL,NULL,NULL
2020-01-31,3,1,NULL,NULL,NULL
2020-02-01,2,1,NULL,NULL,NULL
2020-02-02,2,1,NULL,NULL,NULL
2020-02-03,0,1,NULL,NULL,NULL
2020-02-04,6,2,NULL,NULL,NULL
2020-02-05,3,2,NULL,NULL,NULL
2020-02-06,0,2,NULL,NULL,NULL
2020-02-07,1,2,NULL,NULL,NULL
2020-02-08,2,2,NULL,NULL,NULL
2020-02-09,7,3,NULL,NULL,NULL
2020-02-10,4,3,NULL,NULL,NULL
2020-02-11,1,3,NULL,NULL,NULL
2020-02-12,3,3,NULL,NULL,NULL
2020-02-13,7,4,NULL,NULL,NULL
2020-02-14,9,5,NULL,NULL,NULL
2020-02-15,5,5,NULL,NULL,NULL
2020-02-16,2,4,NULL,NULL,NULL
2020-02-17,2,4,NULL,NULL,NULL
2020-02-18,3,4,NULL,NULL,NULL
2020-02-19,2,4,NULL,NULL,NULL
2020-02-20,0,3,NULL,NULL,NULL
2020-02-21,1,2,NULL,NULL,NULL
2020-02-22,0,1,NULL,NULL,NULL
2020-02-23,4,2,NULL,NULL,NULL
2020-02-24,0,1,NULL,NULL,NULL
2020-02-25,1,1,NULL,NULL,NULL
2020-02-26,1,1,NULL,NULL,NULL
2020-02-27,0,1,NULL,NULL,NULL
2020-02-28,0,1,NULL,NULL,NULL
2020-02-29,9,2,NULL,NULL,NULL
2020-03-01,3,2,NULL,NULL,NULL
2020-03-02,1,2,NULL,NULL,NULL
2020-03-03,1,2,NULL,NULL,NULL
2020-03-04,0,2,NULL,NULL,NULL
2020-03-05,7,3,NULL,NULL,NULL
2020-03-06,13,5,NULL,NULL,NULL
2020-03-07,7,5,NULL,NULL,NULL
2020-03-08,11,6,NULL,NULL,NULL
2020-03-09,0,5,NULL,NULL,NULL
2020-03-10,10,7,NULL,NULL,NULL
2020-03-11,17,9,NULL,NULL,NULL
2020-03-12,0,8,NULL,NULL,NULL
2020-03-13,22,10,NULL,NULL,NULL
2020-03-14,12,10,NULL,NULL,NULL
2020-03-15,13,10,NULL,NULL,NULL
2020-03-16,16,13,NULL,NULL,NULL
2020-03-17,22,15,NULL,NULL,NULL
2020-03-18,46,19,NULL,NULL,NULL
2020-03-19,32,23,NULL,NULL,NULL
2020-03-20,39,26,NULL,NULL,NULL
2020-03-21,47,31,NULL,NULL,NULL
2020-03-22,22,32,NULL,NULL,NULL
2020-03-23,53,37,NULL,NULL,NULL
2020-03-24,49,41,NULL,NULL,NULL
2020-03-25,72,45,NULL,NULL,NULL
2020-03-26,52,48,NULL,NULL,NULL
2020-03-27,48,49,NULL,NULL,NULL
2020-03-28,69,52,NULL,NULL,NULL
2020-03-29,41,55,NULL,NULL,NULL
2020-03-30,35,52,NULL,NULL,NULL
2020-03-31,47,52,NULL,NULL,NULL
2020-04-01,73,52,NULL,NULL,NULL
2020-04-02,48,52,NULL,NULL,NULL
2020-04-03,65,54,NULL,NULL,NULL
2020-04-04,74,55,NULL,NULL,NULL
2020-04-05,119,66,NULL,NULL,NULL
2020-04-06,65,70,NULL,NULL,NULL
2020-04-07,106,79,NULL,NULL,NULL
2020-04-08,141,88,NULL,NULL,NULL
2020-04-09,287,123,NULL,NULL,NULL
2020-04-10,197,141,NULL,NULL,NULL
2020-04-11,191,158,NULL,NULL,NULL
2020-04-12,232,174,NULL,NULL,NULL
2020-04-13,385,220,NULL,NULL,NULL
2020-04-14,334,253,NULL,NULL,NULL
2020-04-15,447,296,NULL,NULL,NULL
2020-04-16,727,359,NULL,NULL,NULL
2020-04-17,622,420,NULL,NULL,NULL
2020-04-18,941,527,NULL,NULL,NULL
2020-04-19,596,579,NULL,NULL,NULL
2020-04-20,1425,727,NULL,NULL,NULL
2020-04-21,1111,838,NULL,NULL,NULL
2020-04-22,1016,920,NULL,NULL,NULL
2020-04-23,1037,964,NULL,NULL,NULL
2020-04-24,896,1003,NULL,NULL,NULL
