Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,1,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,7,1,NULL,NULL,NULL
2020-03-03,2,1,NULL,NULL,NULL
2020-03-04,6,2,NULL,NULL,NULL
2020-03-05,5,3,NULL,NULL,NULL
2020-03-06,0,3,NULL,NULL,NULL
2020-03-07,2,3,NULL,NULL,NULL
2020-03-08,13,5,NULL,NULL,NULL
2020-03-09,0,4,NULL,NULL,NULL
2020-03-10,15,6,NULL,NULL,NULL
2020-03-11,11,7,NULL,NULL,NULL
2020-03-12,7,7,NULL,NULL,NULL
2020-03-13,11,8,NULL,NULL,NULL
2020-03-14,0,8,NULL,NULL,NULL
2020-03-15,21,9,NULL,NULL,NULL
2020-03-16,8,10,NULL,NULL,NULL
2020-03-17,0,8,NULL,NULL,NULL
2020-03-18,10,8,NULL,NULL,NULL
2020-03-19,0,7,NULL,NULL,NULL
2020-03-20,25,9,NULL,NULL,NULL
2020-03-21,0,9,NULL,NULL,NULL
2020-03-22,31,11,NULL,NULL,NULL
2020-03-23,12,11,NULL,NULL,NULL
2020-03-24,0,11,NULL,NULL,NULL
2020-03-25,21,13,NULL,NULL,NULL
2020-03-26,0,13,NULL,NULL,NULL
2020-03-27,15,11,NULL,NULL,NULL
2020-03-28,1,11,NULL,NULL,NULL
2020-03-29,0,7,NULL,NULL,NULL
2020-03-30,6,6,NULL,NULL,NULL
2020-03-31,6,7,NULL,NULL,NULL
2020-04-01,0,4,NULL,NULL,NULL
2020-04-02,9,5,NULL,NULL,NULL
2020-04-03,0,3,NULL,NULL,NULL
2020-04-04,14,5,NULL,NULL,NULL
2020-04-05,7,6,NULL,NULL,NULL
2020-04-06,0,5,NULL,NULL,NULL
2020-04-07,13,6,NULL,NULL,NULL
2020-04-08,0,6,NULL,NULL,NULL
2020-04-09,54,13,NULL,NULL,NULL
2020-04-10,11,14,NULL,NULL,NULL
2020-04-11,12,14,NULL,NULL,NULL
2020-04-12,0,13,NULL,NULL,NULL
2020-04-13,0,13,NULL,NULL,NULL
2020-04-14,15,13,NULL,NULL,NULL
2020-04-15,1,13,NULL,NULL,NULL
2020-04-16,54,13,NULL,NULL,NULL
2020-04-17,9,13,NULL,NULL,NULL
2020-04-18,20,14,NULL,NULL,NULL
2020-04-19,6,15,NULL,NULL,NULL
2020-04-20,1,15,NULL,NULL,NULL
2020-04-21,14,15,NULL,NULL,NULL
2020-04-22,12,17,NULL,NULL,NULL
2020-04-23,13,11,NULL,NULL,NULL
2020-04-24,12,11,NULL,NULL,NULL
2020-04-25,0,8,NULL,NULL,NULL
2020-04-26,25,11,NULL,NULL,NULL
2020-04-27,0,11,NULL,NULL,NULL
2020-04-28,15,11,NULL,NULL,NULL
2020-04-29,10,11,NULL,NULL,NULL
2020-04-30,6,10,NULL,NULL,NULL
2020-05-01,11,10,NULL,NULL,NULL
