Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,2,0,NULL,NULL,NULL
2020-03-06,4,1,NULL,NULL,NULL
2020-03-07,0,1,NULL,NULL,NULL
2020-03-08,9,2,NULL,NULL,NULL
2020-03-09,0,2,NULL,NULL,NULL
2020-03-10,15,4,NULL,NULL,NULL
2020-03-11,25,8,NULL,NULL,NULL
2020-03-12,31,12,NULL,NULL,NULL
2020-03-13,52,19,NULL,NULL,NULL
2020-03-14,40,24,NULL,NULL,NULL
2020-03-15,37,28,NULL,NULL,NULL
2020-03-16,33,33,NULL,NULL,NULL
2020-03-17,21,34,NULL,NULL,NULL
2020-03-18,0,31,NULL,NULL,NULL
2020-03-19,11,28,NULL,NULL,NULL
2020-03-20,55,28,NULL,NULL,NULL
2020-03-21,42,28,NULL,NULL,NULL
2020-03-22,30,27,NULL,NULL,NULL
2020-03-23,27,26,NULL,NULL,NULL
2020-03-24,38,29,NULL,NULL,NULL
2020-03-25,48,36,NULL,NULL,NULL
2020-03-26,33,39,NULL,NULL,NULL
2020-03-27,69,41,NULL,NULL,NULL
2020-03-28,51,42,NULL,NULL,NULL
2020-03-29,46,45,NULL,NULL,NULL
2020-03-30,25,44,NULL,NULL,NULL
2020-03-31,46,46,NULL,NULL,NULL
2020-04-01,39,44,NULL,NULL,NULL
2020-04-02,56,47,NULL,NULL,NULL
2020-04-03,37,43,NULL,NULL,NULL
2020-04-04,42,41,NULL,NULL,NULL
2020-04-05,20,38,NULL,NULL,NULL
2020-04-06,24,37,NULL,NULL,NULL
2020-04-07,38,36,NULL,NULL,NULL
2020-04-08,31,35,NULL,NULL,NULL
2020-04-09,32,32,NULL,NULL,NULL
2020-04-10,35,32,NULL,NULL,NULL
2020-04-11,28,30,NULL,NULL,NULL
2020-04-12,16,29,NULL,NULL,NULL
2020-04-13,6,27,NULL,NULL,NULL
2020-04-14,8,22,NULL,NULL,NULL
2020-04-15,27,22,NULL,NULL,NULL
2020-04-16,20,20,NULL,NULL,NULL
2020-04-17,35,20,NULL,NULL,NULL
2020-04-18,13,18,NULL,NULL,NULL
2020-04-19,12,17,NULL,NULL,NULL
2020-04-20,5,17,NULL,NULL,NULL
2020-04-21,8,17,NULL,NULL,NULL
2020-04-22,9,15,NULL,NULL,NULL
2020-04-23,12,14,NULL,NULL,NULL
2020-04-24,7,9,NULL,NULL,NULL
2020-04-25,14,10,NULL,NULL,NULL
2020-04-26,7,9,NULL,NULL,NULL
2020-04-27,6,9,NULL,NULL,NULL
2020-04-28,6,9,NULL,NULL,NULL
2020-04-29,9,9,NULL,NULL,NULL
2020-04-30,11,9,NULL,NULL,NULL
2020-05-01,4,8,NULL,NULL,NULL
