Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,1,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,1,0,NULL,NULL,NULL
2020-02-28,8,1,NULL,NULL,NULL
2020-02-29,2,1,NULL,NULL,NULL
2020-03-01,0,1,NULL,NULL,NULL
2020-03-02,4,2,NULL,NULL,NULL
2020-03-03,13,4,NULL,NULL,NULL
2020-03-04,30,8,NULL,NULL,NULL
2020-03-05,24,11,NULL,NULL,NULL
2020-03-06,59,19,NULL,NULL,NULL
2020-03-07,33,23,NULL,NULL,NULL
2020-03-08,46,30,NULL,NULL,NULL
2020-03-09,101,43,NULL,NULL,NULL
2020-03-10,98,55,NULL,NULL,NULL
2020-03-11,195,79,NULL,NULL,NULL
2020-03-12,151,97,NULL,NULL,NULL
2020-03-13,151,110,NULL,NULL,NULL
2020-03-14,70,116,NULL,NULL,NULL
2020-03-15,68,119,NULL,NULL,NULL
2020-03-16,83,117,NULL,NULL,NULL
2020-03-17,118,120,NULL,NULL,NULL
2020-03-18,145,112,NULL,NULL,NULL
2020-03-19,143,111,NULL,NULL,NULL
2020-03-20,179,115,NULL,NULL,NULL
2020-03-21,135,124,NULL,NULL,NULL
2020-03-22,117,131,NULL,NULL,NULL
2020-03-23,182,145,NULL,NULL,NULL
2020-03-24,230,161,NULL,NULL,NULL
2020-03-25,313,185,NULL,NULL,NULL
2020-03-26,286,206,NULL,NULL,NULL
2020-03-27,364,232,NULL,NULL,NULL
2020-03-28,300,256,NULL,NULL,NULL
2020-03-29,279,279,NULL,NULL,NULL
2020-03-30,415,312,NULL,NULL,NULL
2020-03-31,475,347,NULL,NULL,NULL
2020-04-01,485,372,NULL,NULL,NULL
2020-04-02,554,410,NULL,NULL,NULL
2020-04-03,600,444,NULL,NULL,NULL
2020-04-04,357,452,NULL,NULL,NULL
2020-04-05,340,461,NULL,NULL,NULL
2020-04-06,389,457,NULL,NULL,NULL
2020-04-07,737,494,NULL,NULL,NULL
2020-04-08,655,519,NULL,NULL,NULL
2020-04-09,645,532,NULL,NULL,NULL
2020-04-10,453,511,NULL,NULL,NULL
2020-04-11,395,516,NULL,NULL,NULL
2020-04-12,464,534,NULL,NULL,NULL
2020-04-13,436,541,NULL,NULL,NULL
2020-04-14,479,504,NULL,NULL,NULL
2020-04-15,603,496,NULL,NULL,NULL
2020-04-16,623,493,NULL,NULL,NULL
2020-04-17,688,527,NULL,NULL,NULL
2020-04-18,531,546,NULL,NULL,NULL
2020-04-19,388,535,NULL,NULL,NULL
2020-04-20,461,539,NULL,NULL,NULL
2020-04-21,707,571,NULL,NULL,NULL
2020-04-22,721,588,NULL,NULL,NULL
2020-04-23,758,608,NULL,NULL,NULL
2020-04-24,779,621,NULL,NULL,NULL
2020-04-25,472,612,NULL,NULL,NULL
2020-04-26,299,599,NULL,NULL,NULL
2020-04-27,563,614,NULL,NULL,NULL
2020-04-28,742,619,NULL,NULL,NULL
2020-04-29,797,630,NULL,NULL,NULL
2020-04-30,634,612,NULL,NULL,NULL
2020-05-01,532,577,NULL,NULL,NULL
