Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,0,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,0,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,0,0,NULL,NULL,NULL
2020-03-11,0,0,NULL,NULL,NULL
2020-03-12,0,0,NULL,NULL,NULL
2020-03-13,0,0,NULL,NULL,NULL
2020-03-14,2,0,NULL,NULL,NULL
2020-03-15,8,1,NULL,NULL,NULL
2020-03-16,7,2,NULL,NULL,NULL
2020-03-17,16,4,NULL,NULL,NULL
2020-03-18,2,5,NULL,NULL,NULL
2020-03-19,5,5,NULL,NULL,NULL
2020-03-20,0,5,NULL,NULL,NULL
2020-03-21,28,9,NULL,NULL,NULL
2020-03-22,0,8,NULL,NULL,NULL
2020-03-23,6,8,NULL,NULL,NULL
2020-03-24,6,7,NULL,NULL,NULL
2020-03-25,7,7,NULL,NULL,NULL
2020-03-26,15,9,NULL,NULL,NULL
2020-03-27,0,9,NULL,NULL,NULL
2020-03-28,12,7,NULL,NULL,NULL
2020-03-29,0,7,NULL,NULL,NULL
2020-03-30,15,8,NULL,NULL,NULL
2020-03-31,0,7,NULL,NULL,NULL
2020-04-01,8,7,NULL,NULL,NULL
2020-04-02,2,5,NULL,NULL,NULL
2020-04-03,7,6,NULL,NULL,NULL
2020-04-04,2,5,NULL,NULL,NULL
2020-04-05,4,5,NULL,NULL,NULL
2020-04-06,5,4,NULL,NULL,NULL
2020-04-07,0,4,NULL,NULL,NULL
2020-04-08,2,3,NULL,NULL,NULL
2020-04-09,4,3,NULL,NULL,NULL
2020-04-10,0,2,NULL,NULL,NULL
2020-04-11,4,2,NULL,NULL,NULL
2020-04-12,5,3,NULL,NULL,NULL
2020-04-13,8,3,NULL,NULL,NULL
2020-04-14,0,3,NULL,NULL,NULL
2020-04-15,8,4,NULL,NULL,NULL
2020-04-16,6,4,NULL,NULL,NULL
2020-04-17,0,4,NULL,NULL,NULL
2020-04-18,23,7,NULL,NULL,NULL
2020-04-19,29,10,NULL,NULL,NULL
2020-04-20,0,9,NULL,NULL,NULL
2020-04-21,28,13,NULL,NULL,NULL
2020-04-22,3,12,NULL,NULL,NULL
2020-04-23,23,15,NULL,NULL,NULL
2020-04-24,7,16,NULL,NULL,NULL
2020-04-25,4,13,NULL,NULL,NULL
2020-04-26,2,9,NULL,NULL,NULL
2020-04-27,3,10,NULL,NULL,NULL
2020-04-28,0,6,NULL,NULL,NULL
2020-04-29,2,6,NULL,NULL,NULL
2020-04-30,1,3,NULL,NULL,NULL
2020-05-01,2,2,NULL,NULL,NULL
