Date,history,rolling_7days,bussiness_as_usual,strongest_policy,weakest_policy
2020-01-23,0,NULL,NULL,NULL,NULL
2020-01-24,0,NULL,NULL,NULL,NULL
2020-01-25,0,NULL,NULL,NULL,NULL
2020-01-26,0,NULL,NULL,NULL,NULL
2020-01-27,0,NULL,NULL,NULL,NULL
2020-01-28,0,0,NULL,NULL,NULL
2020-01-29,0,0,NULL,NULL,NULL
2020-01-30,0,0,NULL,NULL,NULL
2020-01-31,0,0,NULL,NULL,NULL
2020-02-01,0,0,NULL,NULL,NULL
2020-02-02,0,0,NULL,NULL,NULL
2020-02-03,0,0,NULL,NULL,NULL
2020-02-04,0,0,NULL,NULL,NULL
2020-02-05,0,0,NULL,NULL,NULL
2020-02-06,0,0,NULL,NULL,NULL
2020-02-07,0,0,NULL,NULL,NULL
2020-02-08,0,0,NULL,NULL,NULL
2020-02-09,0,0,NULL,NULL,NULL
2020-02-10,0,0,NULL,NULL,NULL
2020-02-11,0,0,NULL,NULL,NULL
2020-02-12,0,0,NULL,NULL,NULL
2020-02-13,0,0,NULL,NULL,NULL
2020-02-14,0,0,NULL,NULL,NULL
2020-02-15,0,0,NULL,NULL,NULL
2020-02-16,0,0,NULL,NULL,NULL
2020-02-17,0,0,NULL,NULL,NULL
2020-02-18,0,0,NULL,NULL,NULL
2020-02-19,0,0,NULL,NULL,NULL
2020-02-20,0,0,NULL,NULL,NULL
2020-02-21,0,0,NULL,NULL,NULL
2020-02-22,0,0,NULL,NULL,NULL
2020-02-23,0,0,NULL,NULL,NULL
2020-02-24,0,0,NULL,NULL,NULL
2020-02-25,0,0,NULL,NULL,NULL
2020-02-26,0,0,NULL,NULL,NULL
2020-02-27,0,0,NULL,NULL,NULL
2020-02-28,0,0,NULL,NULL,NULL
2020-02-29,0,0,NULL,NULL,NULL
2020-03-01,0,0,NULL,NULL,NULL
2020-03-02,0,0,NULL,NULL,NULL
2020-03-03,0,0,NULL,NULL,NULL
2020-03-04,0,0,NULL,NULL,NULL
2020-03-05,1,0,NULL,NULL,NULL
2020-03-06,0,0,NULL,NULL,NULL
2020-03-07,0,0,NULL,NULL,NULL
2020-03-08,1,0,NULL,NULL,NULL
2020-03-09,0,0,NULL,NULL,NULL
2020-03-10,4,1,NULL,NULL,NULL
2020-03-11,6,1,NULL,NULL,NULL
2020-03-12,3,2,NULL,NULL,NULL
2020-03-13,6,3,NULL,NULL,NULL
2020-03-14,13,5,NULL,NULL,NULL
2020-03-15,13,6,NULL,NULL,NULL
2020-03-16,11,8,NULL,NULL,NULL
2020-03-17,0,7,NULL,NULL,NULL
2020-03-18,53,14,NULL,NULL,NULL
2020-03-19,34,19,NULL,NULL,NULL
2020-03-20,52,25,NULL,NULL,NULL
2020-03-21,38,28,NULL,NULL,NULL
2020-03-22,33,31,NULL,NULL,NULL
2020-03-23,128,48,NULL,NULL,NULL
2020-03-24,152,70,NULL,NULL,NULL
2020-03-25,154,84,NULL,NULL,NULL
2020-03-26,218,111,NULL,NULL,NULL
2020-03-27,242,138,NULL,NULL,NULL
2020-03-28,17,135,NULL,NULL,NULL
2020-03-29,92,143,NULL,NULL,NULL
2020-03-30,46,132,NULL,NULL,NULL
2020-03-31,26,114,NULL,NULL,NULL
2020-04-01,27,95,NULL,NULL,NULL
2020-04-02,81,76,NULL,NULL,NULL
2020-04-03,43,47,NULL,NULL,NULL
2020-04-04,79,56,NULL,NULL,NULL
2020-04-05,70,53,NULL,NULL,NULL
2020-04-06,31,51,NULL,NULL,NULL
2020-04-07,62,56,NULL,NULL,NULL
2020-04-08,96,66,NULL,NULL,NULL
2020-04-09,88,67,NULL,NULL,NULL
2020-04-10,68,71,NULL,NULL,NULL
2020-04-11,25,63,NULL,NULL,NULL
2020-04-12,144,73,NULL,NULL,NULL
2020-04-13,98,83,NULL,NULL,NULL
2020-04-14,143,95,NULL,NULL,NULL
2020-04-15,91,94,NULL,NULL,NULL
2020-04-16,98,95,NULL,NULL,NULL
2020-04-17,177,111,NULL,NULL,NULL
2020-04-18,251,143,NULL,NULL,NULL
2020-04-19,124,140,NULL,NULL,NULL
2020-04-20,142,146,NULL,NULL,NULL
2020-04-21,164,150,NULL,NULL,NULL
2020-04-22,170,161,NULL,NULL,NULL
2020-04-23,317,192,NULL,NULL,NULL
2020-04-24,267,205,NULL,NULL,NULL
2020-04-25,140,189,NULL,NULL,NULL
2020-04-26,185,198,NULL,NULL,NULL
2020-04-27,246,213,NULL,NULL,NULL
2020-04-28,202,218,NULL,NULL,NULL
2020-04-29,353,244,NULL,NULL,NULL
2020-04-30,297,242,NULL,NULL,NULL
2020-05-01,303,247,NULL,NULL,NULL
