rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Andorra,AND,91.5675,percent of population,2019.0
3,Governance,Regulatory quality estimate,C1_School closing,Andorra,AND,1.228176,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Andorra,AND,0.0,"proportion, pero 100,000 people",2015.0
5,Demographics,Fixed telephone subscriptions,C1_School closing,Andorra,AND,39657.0,number,2019.0
7,Health,Prevalence of total cancers,C1_School closing,Andorra,AND,0.037396,percent,2019.0
9,Health,Prevalence of COVID-19,C1_School closing,Andorra,AND,7519.0,"Number (cumulative total by Dec 26,2020)",2020.0
11,Health,Prevalence of Diabetes,C1_School closing,Andorra,AND,0.078072,percent,2019.0
13,Environment,CO2 emissions (kt),C1_School closing,Andorra,AND,469.376,kt,2016.0
14,Health,Summary exposure value tobacco,C1_School closing,Andorra,AND,25.36384,Rate (risk-weighted prevalence),2019.0
16,Health,Prevalence of Hypertensive heart disease,C1_School closing,Andorra,AND,0.0027,percent,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Andorra,AND,47.1313,per 100 people,2019.0
20,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Andorra,AND,55.0,score,2021.0
24,Demographics,Mobile cellular subscriptions,C1_School closing,Andorra,AND,113.957,per 100 people,2019.0
26,Governance,Voice and accountability estimate,C1_School closing,Andorra,AND,1.139154,score,2019.0
29,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Andorra,AND,7.5,Cases,2019.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Andorra,AND,10.30762,micrograms per cubic meter,2017.0
31,Governance,Serious assault (rate),C1_School closing,Andorra,AND,170.53,rate,2015.0
33,Governance,Aggregate score for the Political Rights category,C1_School closing,Andorra,AND,38.0,score,2021.0
35,Environment,CO2 emissions (metric tons per capita),C1_School closing,Andorra,AND,6.07237,metric tons per capita,2016.0
36,Governance,Total freedom in the world score ,C1_School closing,Andorra,AND,93.0,score,2021.0
38,Health,Prevalence of anxiety disorders,C1_School closing,Andorra,AND,0.061518,percent,2019.0
39,Health,Prevalence of down syndrome,C1_School closing,Andorra,AND,0.000571,percent,2019.0
40,Health,"Physicians (per 1,000 people)",C1_School closing,Andorra,AND,3.3333,Ones,2015.0
41,Governance,Human Development Index,C1_School closing,Andorra,AND,0.868,index,2019.0
45,Health,Prevalence of obesity,C1_School closing,Andorra,AND,25.6,percent,2016.0
48,Social issues ,Press freedom score,C1_School closing,Andorra,AND,23.23,score,2020.0
54,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Andorra,AND,17.8244594869492,percent of total,2017.0
56,Environment,Renewable energy consumption ,C1_School closing,Andorra,AND,19.7478086257358,percent of total final energy consumption,2015.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Andorra,AND,99.0,percent,2019.0
59,Health,Prevalence of chronic kidney disease,C1_School closing,Andorra,AND,0.091687,percent,2019.0
61,Health,"Immunization, measles (% of children ages 12-23 months)",C1_School closing,Andorra,AND,99.0,percent,2019.0
63,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C1_School closing,Andorra,AND,4.6,percent,2018.0
64,Health,Prevalence of Depressive disorders,C1_School closing,Andorra,AND,0.046543,percent,2019.0
65,Governance,Rule of law estimate ,C1_School closing,Andorra,AND,1.579939,score,2019.0
67,Environment,Access to electricity ,C1_School closing,Andorra,AND,100.0,percent of population,2018.0
68,Governance,Government effectiveness estimate,C1_School closing,Andorra,AND,1.908749,score,2019.0
69,Governance,Political stability and absence of violence/terrorism estimate,C1_School closing,Andorra,AND,1.615139,score,2019.0
80,Demographics,Secure Internet servers ,C1_School closing,Andorra,AND,20183.55759508439,per 1 million people,2019.0
84,Governance,Control of corruption estimate,C1_School closing,Andorra,AND,1.234392,score,2019.0
89,Health,Mortality due to COVID-19,C1_School closing,Andorra,AND,80.0,"Number (cumulative total by Dec 26,2020)",2020.0
97,Health,"Nurses and midwives (per 1,000 people)",C1_School closing,Andorra,AND,4.0128,Ones,2015.0
99,Health,Prevalence of Respiratory infections and tuberculosis,C1_School closing,Andorra,AND,0.119104,percent,2019.0
