rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Guyana,GUY,37.3258,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C1_School closing,Guyana,GUY,85.7631015015164,proportion,2017.0
3,Governance,Regulatory quality estimate,C1_School closing,Guyana,GUY,-0.6206163,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Guyana,GUY,14.248909188,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,C1_School closing,Guyana,GUY,135795.0,number,2019.0
7,Health,Prevalence of total cancers,C1_School closing,Guyana,GUY,0.007256,percent,2019.0
8,Governance,Economic Freedom Score,C1_School closing,Guyana,GUY,6.68,score,2018.0
9,Health,Prevalence of COVID-19,C1_School closing,Guyana,GUY,6042.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Economics,Volume of imports,C1_School closing,Guyana,GUY,20.064,percent change,2020.0
11,Health,Prevalence of Diabetes,C1_School closing,Guyana,GUY,0.101493,percent,2019.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Guyana,GUY,56.1969986,Percentage of total population,2020.0
13,Environment,CO2 emissions (kt),C1_School closing,Guyana,GUY,2383.55,kt,2016.0
14,Health,Summary exposure value tobacco,C1_School closing,Guyana,GUY,16.47826,Rate (risk-weighted prevalence),2019.0
16,Health,Prevalence of Hypertensive heart disease,C1_School closing,Guyana,GUY,0.001938,percent,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Guyana,GUY,8.37038,per 100 people,2019.0
19,Social issues ,Net migration,C1_School closing,Guyana,GUY,-30001.0,net total / data are 5 year estimates,2019.0
20,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Guyana,GUY,43.0,score,2021.0
21,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Guyana,GUY,37.86,percent,2017.0
23,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Guyana,GUY,35.38461538,proportion,2020.0
24,Demographics,Mobile cellular subscriptions,C1_School closing,Guyana,GUY,82.9711,per 100 people,2019.0
25,Governance,Fragile States Index Total ,C1_School closing,Guyana,GUY,65.95105985340093,score,2020.0
26,Governance,Voice and accountability estimate,C1_School closing,Guyana,GUY,0.2800457,score,2019.0
28,Governance,Human Freedom Score ,C1_School closing,Guyana,GUY,7.0,score,2018.0
29,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Guyana,GUY,79.0,Cases,2019.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Guyana,GUY,22.37557,micrograms per cubic meter,2017.0
31,Governance,Serious assault (rate),C1_School closing,Guyana,GUY,67.27,rate,2018.0
33,Governance,Aggregate score for the Political Rights category,C1_School closing,Guyana,GUY,30.0,score,2021.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Guyana,GUY,11.8129997,percent of total labor force,2020.0
35,Environment,CO2 emissions (metric tons per capita),C1_School closing,Guyana,GUY,3.090038,metric tons per capita,2016.0
36,Governance,Total freedom in the world score ,C1_School closing,Guyana,GUY,73.0,score,2021.0
37,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C1_School closing,Guyana,GUY,3.0,rating,2019.0
38,Health,Prevalence of anxiety disorders,C1_School closing,Guyana,GUY,0.046216,percent,2019.0
39,Health,Prevalence of down syndrome,C1_School closing,Guyana,GUY,0.000314,percent,2019.0
40,Health,"Physicians (per 1,000 people)",C1_School closing,Guyana,GUY,0.8023,Ones,2018.0
41,Governance,Human Development Index,C1_School closing,Guyana,GUY,0.682,index,2019.0
