rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Malta,MLT,85.7786,percent of population,2019.0
3,Governance,Regulatory quality estimate,C1_School closing,Malta,MLT,0.9556454,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Malta,MLT,1.5936073579,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,C1_School closing,Malta,MLT,257010.0,number,2019.0
7,Health,Prevalence of total cancers,C1_School closing,Malta,MLT,0.030422,percent,2019.0
8,Governance,Economic Freedom Score,C1_School closing,Malta,MLT,7.94,score,2018.0
9,Health,Prevalence of COVID-19,C1_School closing,Malta,MLT,11569.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Economics,Volume of imports,C1_School closing,Malta,MLT,1.87,percent change,2020.0
11,Health,Prevalence of Diabetes,C1_School closing,Malta,MLT,0.12449,percent,2019.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Malta,MLT,56.3269997,Percentage of total population,2020.0
13,Environment,CO2 emissions (kt),C1_School closing,Malta,MLT,1342.122,kt,2016.0
14,Health,Summary exposure value tobacco,C1_School closing,Malta,MLT,25.34354,Rate (risk-weighted prevalence),2019.0
15,Environment,Energy use ,C1_School closing,Malta,MLT,47.47716103883568,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
16,Health,Prevalence of Hypertensive heart disease,C1_School closing,Malta,MLT,0.002887,percent,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Malta,MLT,45.2438,per 100 people,2019.0
18,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Malta,MLT,1781.504425186051,kg of oil equivalent per capita,2014.0
19,Social issues ,Net migration,C1_School closing,Malta,MLT,4501.0,net total / data are 5 year estimates,2019.0
20,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Malta,MLT,55.0,score,2021.0
21,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Malta,MLT,28.9,percent,2018.0
22,Environment,"Energy imports, net ",C1_School closing,Malta,MLT,98.38148616512974,percent of energy use,2014.0
23,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Malta,MLT,13.43283582,proportion,2020.0
24,Demographics,Mobile cellular subscriptions,C1_School closing,Malta,MLT,144.144,per 100 people,2019.0
25,Governance,Fragile States Index Total ,C1_School closing,Malta,MLT,33.593645802064856,score,2020.0
26,Governance,Voice and accountability estimate,C1_School closing,Malta,MLT,1.110597,score,2019.0
27,Social issues ,Life Ladder ,C1_School closing,Malta,MLT,6.6020002365112305,score,2021.0
28,Governance,Human Freedom Score ,C1_School closing,Malta,MLT,8.33,score,2018.0
29,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Malta,MLT,14.0,Cases,2019.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Malta,MLT,13.90954,micrograms per cubic meter,2017.0
31,Governance,Serious assault (rate),C1_School closing,Malta,MLT,41.66,rate,2018.0
32,Environment,Electricity production from coal sources ,C1_School closing,Malta,MLT,0.0,percent of total,2015.0
33,Governance,Aggregate score for the Political Rights category,C1_School closing,Malta,MLT,35.0,score,2021.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Malta,MLT,3.3670001,percent of total labor force,2020.0
35,Environment,CO2 emissions (metric tons per capita),C1_School closing,Malta,MLT,2.947413,metric tons per capita,2016.0
36,Governance,Total freedom in the world score ,C1_School closing,Malta,MLT,90.0,score,2021.0
38,Health,Prevalence of anxiety disorders,C1_School closing,Malta,MLT,0.069691,percent,2019.0
39,Health,Prevalence of down syndrome,C1_School closing,Malta,MLT,0.000799,percent,2019.0
40,Health,"Physicians (per 1,000 people)",C1_School closing,Malta,MLT,2.8598,Ones,2015.0
41,Governance,Human Development Index,C1_School closing,Malta,MLT,0.895,index,2019.0
43,Governance,Personal Freedom Score ,C1_School closing,Malta,MLT,8.72,score,2018.0
44,Environment,Electric power consumption ,C1_School closing,Malta,MLT,4924.544019440443,kWh per capita,2014.0
45,Health,Prevalence of obesity,C1_School closing,Malta,MLT,28.9,percent,2016.0
46,Environment,Fossil fuel energy consumption,C1_School closing,Malta,MLT,97.78846,percent of total,2014.0
48,Social issues ,Press freedom score,C1_School closing,Malta,MLT,30.16,score,2020.0
