rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Panama,PAN,63.6284,percent of population,2019.0
2,Demographics,People using at least basic sanitation services (% of population),C1_School closing,Panama,PAN,83.3154589674842,proportion,2017.0
3,Governance,Regulatory quality estimate,C1_School closing,Panama,PAN,0.361897,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Panama,PAN,9.3850224618,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,C1_School closing,Panama,PAN,741269.0,number,2019.0
6,Social issues ,Coverage of unemployment benefits and ALMP (% of population),C1_School closing,Panama,PAN,1.275084594,proportion,2018.0
7,Health,Prevalence of total cancers,C1_School closing,Panama,PAN,0.009725,percent,2019.0
8,Governance,Economic Freedom Score,C1_School closing,Panama,PAN,7.8,score,2018.0
9,Health,Prevalence of COVID-19,C1_School closing,Panama,PAN,203295.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Economics,Volume of imports,C1_School closing,Panama,PAN,7.538,percent change,2020.0
11,Health,Prevalence of Diabetes,C1_School closing,Panama,PAN,0.082991,percent,2019.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Panama,PAN,66.5429993,Percentage of total population,2020.0
13,Environment,CO2 emissions (kt),C1_School closing,Panama,PAN,10714.97,kt,2016.0
14,Health,Summary exposure value tobacco,C1_School closing,Panama,PAN,9.622253,Rate (risk-weighted prevalence),2019.0
15,Environment,Energy use ,C1_School closing,Panama,PAN,39.47232420109791,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
16,Health,Prevalence of Hypertensive heart disease,C1_School closing,Panama,PAN,0.001417,percent,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Panama,PAN,13.5281,per 100 people,2019.0
18,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Panama,PAN,1079.868967258476,kg of oil equivalent per capita,2014.0
19,Social issues ,Net migration,C1_School closing,Panama,PAN,56000.0,net total / data are 5 year estimates,2019.0
