rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Russian Federation,RUS,82.6422,percent of population,2019.0
3,Governance,Regulatory quality estimate,C1_School closing,Russian Federation,RUS,-0.4316224,score,2019.0
4,Social issues ,"Intentional homicides (per 100,000 people)",C1_School closing,Russian Federation,RUS,8.209475626,"proportion, pero 100,000 people",2018.0
5,Demographics,Fixed telephone subscriptions,C1_School closing,Russian Federation,RUS,31952100.0,number,2019.0
7,Health,Prevalence of total cancers,C1_School closing,Russian Federation,RUS,0.019815,percent,2019.0
8,Governance,Economic Freedom Score,C1_School closing,Russian Federation,RUS,6.74,score,2018.0
9,Health,Prevalence of COVID-19,C1_School closing,Russian Federation,RUS,2819429.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Economics,Volume of imports,C1_School closing,Russian Federation,RUS,6.244,percent change,2020.0
11,Health,Prevalence of Diabetes,C1_School closing,Russian Federation,RUS,0.047853,percent,2019.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Russian Federation,RUS,61.3520012,Percentage of total population,2020.0
13,Environment,CO2 emissions (kt),C1_School closing,Russian Federation,RUS,1732027.0,kt,2016.0
14,Health,Summary exposure value tobacco,C1_School closing,Russian Federation,RUS,31.52149,Rate (risk-weighted prevalence),2019.0
15,Environment,Energy use ,C1_School closing,Russian Federation,RUS,186.1737136228948,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
16,Health,Prevalence of Hypertensive heart disease,C1_School closing,Russian Federation,RUS,0.001201,percent,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Russian Federation,RUS,22.6422,per 100 people,2019.0
18,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Russian Federation,RUS,4942.875517455312,kg of oil equivalent per capita,2014.0
19,Social issues ,Net migration,C1_School closing,Russian Federation,RUS,912279.0,net total / data are 5 year estimates,2019.0
20,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Russian Federation,RUS,15.0,score,2021.0
21,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Russian Federation,RUS,41.83,percent,2018.0
