rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C1_School closing,Togo,TGO,12.3602,percent of population,2019.0
3,Governance,Regulatory quality estimate,C1_School closing,Togo,TGO,-0.6789817,score,2019.0
5,Demographics,Fixed telephone subscriptions,C1_School closing,Togo,TGO,43605.0,number,2019.0
7,Health,Prevalence of total cancers,C1_School closing,Togo,TGO,0.002132,percent,2019.0
8,Governance,Economic Freedom Score,C1_School closing,Togo,TGO,6.25,score,2018.0
9,Health,Prevalence of COVID-19,C1_School closing,Togo,TGO,3315.0,"Number (cumulative total by Dec 26,2020)",2020.0
10,Economics,Volume of imports,C1_School closing,Togo,TGO,7.106,percent change,2020.0
11,Health,Prevalence of Diabetes,C1_School closing,Togo,TGO,0.016206,percent,2019.0
12,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C1_School closing,Togo,TGO,77.473999,Percentage of total population,2020.0
13,Environment,CO2 emissions (kt),C1_School closing,Togo,TGO,2999.606,kt,2016.0
14,Health,Summary exposure value tobacco,C1_School closing,Togo,TGO,13.87609,Rate (risk-weighted prevalence),2019.0
15,Environment,Energy use ,C1_School closing,Togo,TGO,329.3783198317994,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
16,Health,Prevalence of Hypertensive heart disease,C1_School closing,Togo,TGO,0.000863,percent,2019.0
17,Demographics,Fixed broadband subscriptions,C1_School closing,Togo,TGO,0.394674,per 100 people,2019.0
18,Environment,Energy use (kg of oil equivalent per capita),C1_School closing,Togo,TGO,462.4909480909,kg of oil equivalent per capita,2014.0
19,Social issues ,Net migration,C1_School closing,Togo,TGO,-9999.0,net total / data are 5 year estimates,2019.0
20,Governance,Aggregate score for the Civil Liberties category,C1_School closing,Togo,TGO,28.0,score,2021.0
21,Social issues ,Proportion of women in managerial positions (%),C1_School closing,Togo,TGO,29.84,percent,2015.0
22,Environment,"Energy imports, net ",C1_School closing,Togo,TGO,19.97162294748761,percent of energy use,2014.0
23,Social issues ,Proportion of seats held by women in national parliaments (%),C1_School closing,Togo,TGO,18.68131868,proportion,2020.0
24,Demographics,Mobile cellular subscriptions,C1_School closing,Togo,TGO,77.195,per 100 people,2019.0
25,Governance,Fragile States Index Total ,C1_School closing,Togo,TGO,85.84143116430509,score,2020.0
26,Governance,Voice and accountability estimate,C1_School closing,Togo,TGO,-0.7209277,score,2019.0
27,Social issues ,Life Ladder ,C1_School closing,Togo,TGO,4.106800079345703,score,2021.0
28,Governance,Human Freedom Score ,C1_School closing,Togo,TGO,6.13,score,2018.0
29,Health,"Incidence of tuberculosis (per 100,000 people)",C1_School closing,Togo,TGO,37.0,Cases,2019.0
30,Environment,"PM2.5 air pollution, mean annual exposure",C1_School closing,Togo,TGO,35.73134,micrograms per cubic meter,2017.0
32,Environment,Electricity production from coal sources ,C1_School closing,Togo,TGO,0.0,percent of total,2015.0
33,Governance,Aggregate score for the Political Rights category,C1_School closing,Togo,TGO,15.0,score,2021.0
34,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C1_School closing,Togo,TGO,2.00500011,percent of total labor force,2020.0
35,Environment,CO2 emissions (metric tons per capita),C1_School closing,Togo,TGO,0.399417,metric tons per capita,2016.0
36,Governance,Total freedom in the world score ,C1_School closing,Togo,TGO,43.0,score,2021.0
37,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",C1_School closing,Togo,TGO,3.0,rating,2019.0
38,Health,Prevalence of anxiety disorders,C1_School closing,Togo,TGO,0.034472,percent,2019.0
39,Health,Prevalence of down syndrome,C1_School closing,Togo,TGO,0.000161,percent,2019.0
40,Health,"Physicians (per 1,000 people)",C1_School closing,Togo,TGO,0.0774,Ones,2018.0
41,Governance,Human Development Index,C1_School closing,Togo,TGO,0.515,index,2019.0
43,Governance,Personal Freedom Score ,C1_School closing,Togo,TGO,6.01,score,2018.0
44,Environment,Electric power consumption ,C1_School closing,Togo,TGO,154.6652373207778,kWh per capita,2014.0
45,Health,Prevalence of obesity,C1_School closing,Togo,TGO,8.4,percent,2016.0
46,Environment,Fossil fuel energy consumption,C1_School closing,Togo,TGO,17.80063,percent of total,2014.0
47,Environment,"Adjusted net savings, including particulate emission damage",C1_School closing,Togo,TGO,1.0887765083884,percent of GNI,2018.0
48,Social issues ,Press freedom score,C1_School closing,Togo,TGO,29.33,score,2020.0
49,Environment,Electricity production from oil sources,C1_School closing,Togo,TGO,24.69135802469136,percent of total,2015.0
50,Health,"Prevalence of HIV, total (% of population ages 15-49)",C1_School closing,Togo,TGO,2.2,percent,2019.0
52,Environment,"Electricity production from oil, gas and coal sources",C1_School closing,Togo,TGO,24.69135802469136,percent of total,2015.0
54,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C1_School closing,Togo,TGO,100.0,percent of total,2017.0
55,Economics,Volume of exports,C1_School closing,Togo,TGO,8.136,percent change,2020.0
56,Environment,Renewable energy consumption ,C1_School closing,Togo,TGO,71.2646671412409,percent of total final energy consumption,2015.0
57,Health,"Immunization, DPT (% of children ages 12-23 months)",C1_School closing,Togo,TGO,84.0,percent,2019.0
58,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",C1_School closing,Togo,TGO,23.8,percent,2020.0
59,Health,Prevalence of chronic kidney disease,C1_School closing,Togo,TGO,0.042989,percent,2019.0
