rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Andorra,AND,91.5675,percent of population,2019.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Andorra,AND,55.0,score,2021.0
9,Social issues ,Press freedom score,C2_Workplace closing,Andorra,AND,23.23,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Andorra,AND,0.078072,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Andorra,AND,47.1313,per 100 people,2019.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Andorra,AND,99.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Andorra,AND,4.0128,Ones,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Andorra,AND,25.36384,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Andorra,AND,0.091687,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Andorra,AND,0.000571,percent,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Andorra,AND,0.061518,percent,2019.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Andorra,AND,39657.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Andorra,AND,10.30762,micrograms per cubic meter,2017.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Andorra,AND,20183.55759508439,per 1 million people,2019.0
32,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Andorra,AND,3.3333,Ones,2015.0
33,Governance,Rule of law estimate ,C2_Workplace closing,Andorra,AND,1.579939,score,2019.0
34,Governance,Control of corruption estimate,C2_Workplace closing,Andorra,AND,1.234392,score,2019.0
35,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Andorra,AND,4.6,percent,2018.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,Andorra,AND,19.7478086257358,percent of total final energy consumption,2015.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Andorra,AND,0.0027,percent,2019.0
42,Health,Mortality due to COVID-19,C2_Workplace closing,Andorra,AND,80.0,"Number (cumulative total by Dec 26,2020)",2020.0
44,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Andorra,AND,38.0,score,2021.0
45,Governance,Total freedom in the world score ,C2_Workplace closing,Andorra,AND,93.0,score,2021.0
48,Governance,Serious assault (rate),C2_Workplace closing,Andorra,AND,170.53,rate,2015.0
49,Environment,CO2 emissions (kt),C2_Workplace closing,Andorra,AND,469.376,kt,2016.0
50,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Andorra,AND,113.957,per 100 people,2019.0
51,Health,"Immunization, measles (% of children ages 12-23 months)",C2_Workplace closing,Andorra,AND,99.0,percent,2019.0
52,Social issues ,"Intentional homicides (per 100,000 people)",C2_Workplace closing,Andorra,AND,0.0,"proportion, pero 100,000 people",2015.0
53,Governance,Regulatory quality estimate,C2_Workplace closing,Andorra,AND,1.228176,score,2019.0
54,Governance,Voice and accountability estimate,C2_Workplace closing,Andorra,AND,1.139154,score,2019.0
56,Governance,Human Development Index,C2_Workplace closing,Andorra,AND,0.868,index,2019.0
58,Health,Prevalence of Depressive disorders,C2_Workplace closing,Andorra,AND,0.046543,percent,2019.0
59,Health,Prevalence of obesity,C2_Workplace closing,Andorra,AND,25.6,percent,2016.0
65,Health,Prevalence of total cancers,C2_Workplace closing,Andorra,AND,0.037396,percent,2019.0
67,Governance,Government effectiveness estimate,C2_Workplace closing,Andorra,AND,1.908749,score,2019.0
69,Environment,CO2 emissions (metric tons per capita),C2_Workplace closing,Andorra,AND,6.07237,metric tons per capita,2016.0
71,Governance,Political stability and absence of violence/terrorism estimate,C2_Workplace closing,Andorra,AND,1.615139,score,2019.0
72,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Andorra,AND,0.119104,percent,2019.0
73,Health,Prevalence of COVID-19,C2_Workplace closing,Andorra,AND,7519.0,"Number (cumulative total by Dec 26,2020)",2020.0
75,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",C2_Workplace closing,Andorra,AND,17.8244594869492,percent of total,2017.0
78,Health,"Incidence of tuberculosis (per 100,000 people)",C2_Workplace closing,Andorra,AND,7.5,Cases,2019.0
117,Environment,Access to electricity ,C2_Workplace closing,Andorra,AND,100.0,percent of population,2018.0
