rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Benin,BEN,20.0,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Benin,BEN,2.023,percent of total labor force,2020.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Benin,BEN,7.41,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Benin,BEN,100.2251225400371,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Benin,BEN,44.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Benin,BEN,94.44444444444444,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Benin,BEN,35.11,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Benin,BEN,0.020487,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Benin,BEN,0.21553,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Benin,BEN,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Benin,BEN,76.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Benin,BEN,0.3888,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Benin,BEN,5.045199871063232,score,2021.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Benin,BEN,0.0,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Benin,BEN,11.76638,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Benin,BEN,0.037623,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Benin,BEN,0.000159,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Benin,BEN,-10000.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Benin,BEN,0.029648,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Benin,BEN,70.9570007,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Benin,BEN,35917.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Benin,BEN,38.99996,micrograms per cubic meter,2017.0
27,Economics,Volume of imports,C2_Workplace closing,Benin,BEN,17.959,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Benin,BEN,68.9720001,Percentage of females of the total population,2020.0
