rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Switzerland,CHE,93.1461,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Switzerland,CHE,4.84899998,percent of total labor force,2020.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Switzerland,CHE,9.2,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Switzerland,CHE,7520.166024945019,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Switzerland,CHE,57.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Switzerland,CHE,0.0680817586274717,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Switzerland,CHE,10.62,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Switzerland,CHE,0.086262,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Switzerland,CHE,45.2082,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Switzerland,CHE,34.931993887771,percent of total,2015.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Switzerland,CHE,96.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Switzerland,CHE,17.5357,Ones,2017.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Switzerland,CHE,7.571499824523926,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Switzerland,CHE,34.48,percent,2018.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Switzerland,CHE,0.0,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Switzerland,CHE,23.59876,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Switzerland,CHE,0.114368,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Switzerland,CHE,0.000533,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Switzerland,CHE,259999.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Switzerland,CHE,0.075598,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Switzerland,CHE,68.0920029,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Switzerland,CHE,3100000.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Switzerland,CHE,10.3031,micrograms per cubic meter,2017.0
27,Economics,Volume of imports,C2_Workplace closing,Switzerland,CHE,4.386,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Switzerland,CHE,62.8499985,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Switzerland,CHE,95788.23235254055,per 1 million people,2019.0
30,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Switzerland,CHE,16.9307076712283,percent of GNI,2018.0
31,Environment,"Electricity production from renewable sources, excluding hydroelectric",C2_Workplace closing,Switzerland,CHE,2853000000.0,kWh,2015.0
32,Health,"Physicians (per 1,000 people)",C2_Workplace closing,Switzerland,CHE,4.2957,Ones,2017.0
33,Governance,Rule of law estimate ,C2_Workplace closing,Switzerland,CHE,1.906641,score,2019.0
34,Governance,Control of corruption estimate,C2_Workplace closing,Switzerland,CHE,1.977295,score,2019.0
35,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Switzerland,CHE,3.7,percent,2018.0
36,Environment,Renewable energy consumption ,C2_Workplace closing,Switzerland,CHE,25.2919836825127,percent of total final energy consumption,2015.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Switzerland,CHE,0.002014,percent,2019.0
38,Economics,Employment in services (% of total employment) (modeled ILO estimate),C2_Workplace closing,Switzerland,CHE,77.1600037,Percentage of total employment,2020.0
39,Economics,Volume of exports,C2_Workplace closing,Switzerland,CHE,4.137,percent change,2020.0
40,Environment,Fossil fuel energy consumption,C2_Workplace closing,Switzerland,CHE,50.16823,percent of total,2015.0
41,Governance,Fragile States Index Total ,C2_Workplace closing,Switzerland,CHE,17.094085702623488,score,2020.0
42,Health,Mortality due to COVID-19,C2_Workplace closing,Switzerland,CHE,5981.0,"Number (cumulative total by Dec 26,2020)",2020.0
44,Governance,Aggregate score for the Political Rights category,C2_Workplace closing,Switzerland,CHE,39.0,score,2021.0
45,Governance,Total freedom in the world score ,C2_Workplace closing,Switzerland,CHE,96.0,score,2021.0
46,Health,"Prevalence of HIV, total (% of population ages 15-49)",C2_Workplace closing,Switzerland,CHE,0.2,percent,2019.0
47,Governance,Economic Freedom Score,C2_Workplace closing,Switzerland,CHE,8.43,score,2018.0
48,Governance,Serious assault (rate),C2_Workplace closing,Switzerland,CHE,6.86,rate,2018.0
49,Environment,CO2 emissions (kt),C2_Workplace closing,Switzerland,CHE,34477.13,kt,2016.0
50,Demographics,Mobile cellular subscriptions,C2_Workplace closing,Switzerland,CHE,127.189,per 100 people,2019.0
