rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Germany,DEU,88.1345,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Germany,DEU,3.0250001,percent of total labor force,2020.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Germany,DEU,9.19,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Germany,DEU,7035.48297471676,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Germany,DEU,55.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Germany,DEU,0.9686926160005117,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Germany,DEU,12.16,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Germany,DEU,0.137525,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Germany,DEU,41.9933,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Germany,DEU,14.31992598682927,percent of total,2015.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Germany,DEU,93.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Germany,DEU,13.2352,Ones,2017.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Germany,DEU,7.1545000076293945,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Germany,DEU,29.39,percent,2018.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Germany,DEU,44.26280916178212,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Germany,DEU,24.87317,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Germany,DEU,0.122693,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Germany,DEU,0.000488,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Germany,DEU,2719112.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Germany,DEU,0.070739,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Germany,DEU,60.7789993,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Germany,DEU,40400000.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Germany,DEU,12.02877,micrograms per cubic meter,2017.0
27,Economics,Volume of imports,C2_Workplace closing,Germany,DEU,4.695,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Germany,DEU,55.2949982,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Germany,DEU,77932.67011255088,per 1 million people,2019.0
30,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Germany,DEU,14.4384263548029,percent of GNI,2018.0
