rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Ghana,GHA,39.0,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Ghana,GHA,4.50899982,percent of total labor force,2020.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Ghana,GHA,7.43,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Ghana,GHA,351.3015789617518,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Ghana,GHA,47.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Ghana,GHA,0.0,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Ghana,GHA,22.26,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Ghana,GHA,0.02868,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Ghana,GHA,0.188919,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Ghana,GHA,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Ghana,GHA,97.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Ghana,GHA,4.2001,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Ghana,GHA,5.088399887084961,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Ghana,GHA,41.79,percent,2015.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Ghana,GHA,0.0,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Ghana,GHA,7.276198,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Ghana,GHA,0.046311,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Ghana,GHA,0.000161,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Ghana,GHA,-50000.0,net total / data are 5 year estimates,2019.0
