rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Malawi,MWI,13.7822,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Malawi,MWI,5.67399979,percent of total labor force,2020.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Malawi,MWI,7.35,score,2018.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Malawi,MWI,37.0,score,2021.0
9,Social issues ,Press freedom score,C2_Workplace closing,Malawi,MWI,29.32,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Malawi,MWI,0.021223,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Malawi,MWI,0.0609703,per 100 people,2019.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Malawi,MWI,95.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Malawi,MWI,0.4386,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Malawi,MWI,3.5999999046325684,score,2021.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Malawi,MWI,11.73838,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Malawi,MWI,0.053054,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Malawi,MWI,0.00018,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Malawi,MWI,-80263.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Malawi,MWI,0.035406,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Malawi,MWI,76.7949982,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Malawi,MWI,13101.0,number,2019.0
25,Environment,"PM2.5 air pollution, mean annual exposure",C2_Workplace closing,Malawi,MWI,23.56592,micrograms per cubic meter,2017.0
27,Economics,Volume of imports,C2_Workplace closing,Malawi,MWI,5.604,percent change,2020.0
28,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Malawi,MWI,72.5749969,Percentage of females of the total population,2020.0
29,Demographics,Secure Internet servers ,C2_Workplace closing,Malawi,MWI,16.37254507777683,per 1 million people,2019.0
30,Environment,"Adjusted net savings, including particulate emission damage",C2_Workplace closing,Malawi,MWI,-6.31013881329563,percent of GNI,2018.0
