rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Malaysia,MYS,84.2132,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Malaysia,MYS,3.37800002,percent of total labor force,2020.0
3,Demographics,People using at least basic sanitation services (% of population),C2_Workplace closing,Malaysia,MYS,99.572036160354,proportion,2017.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Malaysia,MYS,6.21,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Malaysia,MYS,4651.958734181598,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Malaysia,MYS,30.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Malaysia,MYS,1.158383458897038,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Malaysia,MYS,33.12,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Malaysia,MYS,0.062201,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Malaysia,MYS,9.27863,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Malaysia,MYS,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Malaysia,MYS,98.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Malaysia,MYS,3.4676,Ones,2017.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Malaysia,MYS,5.384300231933594,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Malaysia,MYS,24.65,percent,2018.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Malaysia,MYS,42.28132930996583,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Malaysia,MYS,26.38309,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Malaysia,MYS,0.105447,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Malaysia,MYS,0.000142,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Malaysia,MYS,249999.0,net total / data are 5 year estimates,2019.0
