rank,Category,Indicator,Policy,Country,ISO,value,unit,year
10,Health,Prevalence of Diabetes,C2_Workplace closing,Niue,NIU,0.210708,percent,2019.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Niue,NIU,25.73212,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Niue,NIU,0.145487,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Niue,NIU,0.000115,percent,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Niue,NIU,0.043864,percent,2019.0
35,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C2_Workplace closing,Niue,NIU,5.5,percent,2018.0
37,Health,Prevalence of Hypertensive heart disease,C2_Workplace closing,Niue,NIU,0.005076,percent,2019.0
42,Health,Mortality due to COVID-19,C2_Workplace closing,Niue,NIU,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
58,Health,Prevalence of Depressive disorders,C2_Workplace closing,Niue,NIU,0.035593,percent,2019.0
59,Health,Prevalence of obesity,C2_Workplace closing,Niue,NIU,50.0,percent,2016.0
65,Health,Prevalence of total cancers,C2_Workplace closing,Niue,NIU,0.011615,percent,2019.0
72,Health,Prevalence of Respiratory infections and tuberculosis,C2_Workplace closing,Niue,NIU,0.335029,percent,2019.0
73,Health,Prevalence of COVID-19,C2_Workplace closing,Niue,NIU,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
90,Economics,"Trade, total as % of GDP",C2_Workplace closing,Niue,NIU,65.00378,percent,2018.0
95,Economics,"International tourism, receipts",C2_Workplace closing,Niue,NIU,8000000.0,US Dollar,2017.0
