rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C2_Workplace closing,Nepal,NPL,34.0,percent of population,2019.0
2,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C2_Workplace closing,Nepal,NPL,1.46599996,percent of total labor force,2020.0
3,Demographics,People using at least basic sanitation services (% of population),C2_Workplace closing,Nepal,NPL,62.0535954492586,proportion,2017.0
4,Governance,Personal Freedom Score ,C2_Workplace closing,Nepal,NPL,7.03,score,2018.0
5,Environment,Electric power consumption ,C2_Workplace closing,Nepal,NPL,146.4678648166647,kWh per capita,2014.0
6,Governance,Aggregate score for the Civil Liberties category,C2_Workplace closing,Nepal,NPL,31.0,score,2021.0
8,Environment,Electricity production from oil sources,C2_Workplace closing,Nepal,NPL,0.0,percent of total,2015.0
9,Social issues ,Press freedom score,C2_Workplace closing,Nepal,NPL,35.1,score,2020.0
10,Health,Prevalence of Diabetes,C2_Workplace closing,Nepal,NPL,0.048158,percent,2019.0
11,Demographics,Fixed broadband subscriptions,C2_Workplace closing,Nepal,NPL,2.8188,per 100 people,2019.0
12,Environment,Electricity production from nuclear sources ,C2_Workplace closing,Nepal,NPL,0.0,percent of total,2014.0
13,Health,"Immunization, DPT (% of children ages 12-23 months)",C2_Workplace closing,Nepal,NPL,93.0,percent,2019.0
14,Health,"Nurses and midwives (per 1,000 people)",C2_Workplace closing,Nepal,NPL,3.1084,Ones,2018.0
15,Social issues ,Life Ladder ,C2_Workplace closing,Nepal,NPL,5.268899917602539,score,2021.0
16,Social issues ,Proportion of women in managerial positions (%),C2_Workplace closing,Nepal,NPL,13.17,percent,2017.0
17,Environment,Electricity production from coal sources ,C2_Workplace closing,Nepal,NPL,0.0,percent of total,2015.0
18,Health,Summary exposure value tobacco,C2_Workplace closing,Nepal,NPL,20.30592,Rate (risk-weighted prevalence),2019.0
19,Health,Prevalence of chronic kidney disease,C2_Workplace closing,Nepal,NPL,0.064626,percent,2019.0
20,Health,Prevalence of down syndrome,C2_Workplace closing,Nepal,NPL,0.000122,percent,2019.0
21,Social issues ,Net migration,C2_Workplace closing,Nepal,NPL,208549.0,net total / data are 5 year estimates,2019.0
22,Health,Prevalence of anxiety disorders,C2_Workplace closing,Nepal,NPL,0.032948,percent,2019.0
23,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C2_Workplace closing,Nepal,NPL,83.9240036,Percentage of total population,2020.0
24,Demographics,Fixed telephone subscriptions,C2_Workplace closing,Nepal,NPL,799368.0,number,2019.0
